Date,Close/Last,Volume,Open,High,Low
04/19/2022,$104.76,4821776,$102.6633,$105.27,$101.895
04/18/2022,$102.965,3900128,$103.5283,$104.9723,$102.7283
04/14/2022,$104.4633,5736482,$105.00,$105.7766,$104.0516
04/13/2022,$104.835,7379529,$102.5083,$105.9466,$101.7516
04/12/2022,$101.9816,5395904,$102.5733,$104.4383,$101.665
04/11/2022,$101.8166,7319979,$100.3175,$103.1586,$99.5833
04/08/2022,$101.3716,5668352,$102.0933,$102.37,$100.5775
04/07/2022,$102.745,6510303,$100.6333,$103.4775,$100.6333
04/06/2022,$101.1333,8455545,$101.255,$102.275,$100.1866
04/05/2022,$103.5233,7378845,$104.6666,$105.2066,$101.81
04/04/2022,$104.6833,6980763,$102.6933,$104.96,$102.25
04/01/2022,$101.8516,8058135,$103.55,$105.0216,$100.9233
03/31/2022,$103.7516,9667198,$102.57,$105.9816,$102.4233
03/30/2022,$102.625,8874616,$102.275,$104.5983,$102.1166
03/29/2022,$102.7516,15066798,$103.7566,$103.96,$99.4233
03/28/2022,$104.2083,7957407,$102.8666,$104.915,$102.8266
03/25/2022,$103.7333,13463969,$104.075,$104.075,$100.535
03/24/2022,$103.6933,11228968,$100.8333,$103.8316,$100.1266
03/23/2022,$100.6733,11803343,$98.115,$103.29,$97.6666
03/22/2022,$99.57,14499210,$96.6666,$101.535,$96.6666
03/21/2022,$96.20,9301396,$95.8266,$96.3741,$93.435
03/18/2022,$96.17,13005335,$94.5966,$96.2533,$93.2716
03/17/2022,$94.0266,10626664,$92.0283,$94.56,$90.8333
03/16/2022,$92.32,11625569,$90.95,$92.6083,$87.9716
03/15/2022,$90.01,7617267,$88.2216,$90.3283,$84.8533
03/14/2022,$87.5516,9623500,$89.73,$90.8716,$85.925
03/11/2022,$91.005,7054863,$93.2033,$93.2033,$90.8416
03/10/2022,$91.975,6448155,$91.6083,$93.325,$90.6233
03/09/2022,$92.485,10389742,$89.7833,$93.5916,$89.5016
03/08/2022,$87.525,9467896,$88.50,$90.5983,$87.0016
03/07/2022,$88.9183,13939926,$93.255,$93.85,$88.4633
03/04/2022,$92.9183,11183578,$94.835,$96.2466,$91.9183
03/03/2022,$95.5683,8665803,$97.1316,$98.50,$94.8384
03/02/2022,$97.01,10404832,$97.2283,$97.6433,$94.65
03/01/2022,$96.125,16498831,$98.565,$99.8266,$95.2816
02/28/2022,$99.0416,22711551,$96.1461,$99.2166,$94.835
02/25/2022,$94.9583,22005183,$88.53,$95.165,$88.4066
02/24/2022,$89.99,30082980,$77.8433,$90.1116,$77.75
02/23/2022,$79.6016,26037772,$84.3666,$85.2266,$78.6716
02/22/2022,$79.2516,19244396,$80.1718,$81.1609,$77.7616
02/18/2022,$80.3616,10063528,$83.175,$83.4883,$80.2333
02/17/2022,$83.19,7322205,$86.605,$87.2583,$82.8333
02/16/2022,$87.735,5783594,$86.4766,$88.33,$85.7591
02/15/2022,$87.7333,7201347,$87.8366,$89.2716,$86.9666
02/14/2022,$86.8366,6824943,$84.3133,$87.8749,$84.3133
02/11/2022,$85.025,7041099,$88.6533,$89.3333,$84.4516
02/10/2022,$87.9583,5268398,$86.9283,$89.61,$86.8333
02/09/2022,$89.0816,6468615,$86.6666,$89.54,$86.4433
02/08/2022,$85.5416,7939887,$85.055,$86.3241,$84.1683
02/07/2022,$85.1633,4217240,$85.4516,$86.96,$84.92
02/04/2022,$85.9166,8936188,$81.8616,$86.5333,$81.335
02/03/2022,$82.0683,6310041,$82.9066,$84.87,$81.795
02/02/2022,$84.90,6326817,$86.1416,$86.3816,$84.2333
02/01/2022,$85.4766,8433189,$86.31,$86.6666,$83.8716
01/31/2022,$86.2333,10125040,$82.695,$86.5266,$82.695
01/28/2022,$82.695,8245905,$81.275,$83.3891,$80.0316
