Date,Close/Last,Volume,Open,High,Low
08/15/2022,$39.84,28841620,$40.14,$41.10,$38.86
08/12/2022,$40.76,29889590,$41.30,$41.53,$39.61
08/11/2022,$40.42,55567200,$42.82,$45.43,$39.66
08/10/2022,$40.61,39813060,$39.44,$40.87,$37.97
08/09/2022,$36.75,34712090,$38.75,$38.84,$36.31
08/08/2022,$39.77,29845890,$41.41,$42.45,$39.27
08/05/2022,$40.81,28771540,$39.27,$42.55,$39.04
08/04/2022,$41.02,31569740,$41.95,$42.59,$40.175
08/03/2022,$41.93,38072770,$38.30,$42.15,$38.30
08/02/2022,$37.74,29706950,$35.70,$38.98,$35.55
08/01/2022,$36.44,26421460,$34.90,$37.4201,$34.05
07/29/2022,$36.44,31716760,$34.90,$37.4201,$34.05
07/28/2022,$35.91,33198410,$34.70,$36.16,$33.60
07/27/2022,$35.24,79941450,$31.46,$35.48,$31.31
07/26/2022,$31.55,65071890,$31.81,$31.95,$30.55
07/25/2022,$36.71,19770530,$37.05,$37.43,$35.71
07/22/2022,$37.35,28254360,$39.40,$39.8588,$36.765
07/21/2022,$40.40,39578460,$37.97,$40.68,$37.85
07/20/2022,$38.49,42330760,$34.19,$38.84,$33.95
07/19/2022,$34.37,27254850,$34.02,$34.38,$32.04
07/18/2022,$32.54,28950700,$31.92,$34.20,$31.83
07/15/2022,$31.27,22398710,$31.29,$31.84,$30.02
07/14/2022,$30.67,24247450,$31.84,$32.25,$30.38
07/13/2022,$32.15,26325760,$31.35,$33.21,$30.28
07/12/2022,$32.38,21445020,$32.57,$33.48,$31.70
07/11/2022,$32.32,22564840,$34.76,$35.10,$32.04
07/08/2022,$35.57,22067220,$34.25,$36.75,$34.10
07/07/2022,$35.33,23042320,$32.84,$35.48,$32.30
07/06/2022,$33.04,25782270,$34.14,$35.31,$32.75
07/05/2022,$34.00,29167810,$30.84,$34.28,$29.72
07/01/2022,$31.41,20371650,$32.08,$33.06,$30.70
06/30/2022,$31.24,26019550,$32.65,$33.34,$30.86
06/29/2022,$33.05,30879360,$34.40,$34.9799,$32.47
06/28/2022,$35.026,44180900,$37.132,$38.049,$34.656
06/27/2022,$37.321,58165050,$39.248,$39.50,$35.829
06/24/2022,$38.523,46652850,$36.451,$38.7897,$36.383
06/23/2022,$36.383,43753140,$33.85,$36.527,$33.213
06/22/2022,$33.854,34666790,$32.438,$34.825,$32.253
06/21/2022,$32.825,31601470,$32.40,$33.682,$32.161
06/17/2022,$31.689,37008410,$30.69,$32.586,$30.631
06/16/2022,$30.523,40943120,$31.481,$31.931,$29.957
06/15/2022,$32.603,47766790,$30.57,$33.0975,$30.4798
06/14/2022,$30.354,38194380,$31.661,$32.077,$29.7641
06/13/2022,$31.294,40665600,$33.142,$34.014,$31.164
06/10/2022,$34.843,40300130,$35.50,$36.281,$33.931
06/09/2022,$37.139,34033960,$38.521,$39.752,$37.105
06/08/2022,$39.147,35179620,$38.10,$39.605,$37.709
06/07/2022,$38.074,47707190,$35.411,$38.132,$35.00
06/06/2022,$36.062,37864680,$36.70,$37.456,$35.453
06/03/2022,$35.366,50216440,$37.99,$38.5504,$34.827
06/02/2022,$39.887,40149760,$36.247,$40.10,$36.201
06/01/2022,$36.153,38709000,$37.964,$39.294,$35.188
05/31/2022,$37.512,36062350,$37.441,$38.74,$36.22
05/27/2022,$36.904,31134800,$35.677,$37.1815,$35.5635
05/26/2022,$35.132,30734190,$32.973,$35.7127,$32.535
05/25/2022,$33.311,37993500,$32.948,$33.675,$31.80
05/24/2022,$32.484,44375490,$35.641,$35.641,$31.90
05/23/2022,$36.849,40428500,$36.201,$36.879,$34.20
05/20/2022,$36.849,56642620,$36.201,$36.879,$34.20
05/19/2022,$39.133,76017630,$36.216,$41.37,$36.05
05/18/2022,$36.062,42404290,$36.306,$37.973,$35.502
05/17/2022,$37.264,47196270,$37.4008,$38.497,$34.6382
05/16/2022,$35.995,54134470,$39.776,$39.824,$35.695
05/13/2022,$40.248,61514180,$37.218,$40.863,$37.218
05/12/2022,$35.351,94273760,$31.361,$38.50,$30.806
05/11/2022,$31.859,63287490,$33.194,$34.60,$31.525
05/10/2022,$33.539,60862360,$35.49,$36.61,$31.80
05/09/2022,$34.004,64126780,$36.20,$37.171,$33.729
05/06/2022,$37.749,102695800,$40.106,$40.149,$35.513
05/05/2022,$41.309,113608300,$40.764,$42.488,$39.586
05/04/2022,$48.549,44707830,$45.766,$48.799,$43.91
