fund,ticker,r2,alpha
"DIVIDEND ASSETS CAPITAL, LLC",salesforce,0.0,100000.0
DOHENY ASSET MANAGEMENT /CA,apple,0.0,100000.0
DOHENY ASSET MANAGEMENT /CA,tesla,0.6902548500555992,13.509935211980265
Daiwa Securities Group Inc.,amazon,0.04178501871531459,100000.0
Disciplina Capital Management LLC,apple,0.2943154606478062,37834.62617131925
Dixon Mitchell Investment Counsel Inc.,amazon,0.7520442903271161,100000.0
Dixon Mitchell Investment Counsel Inc.,apple,0.45449434306357905,100000.0
Dixon Mitchell Investment Counsel Inc.,microsoft,0.22994737486590855,100000.0
E. Ohman J:or Asset Management AB,amazon,0.39129861187030246,100000.0
E. Ohman J:or Asset Management AB,microsoft,0.4337058094147127,100000.0
EADS & HEALD WEALTH MANAGEMENT,advanced_micro,0.0,100000.0
EADS & HEALD WEALTH MANAGEMENT,amazon,0.0,100000.0
EADS & HEALD WEALTH MANAGEMENT,meta,0.9359826940407607,5.5426645206631076
EADS & HEALD WEALTH MANAGEMENT,microsoft,0.0,100000.0
EADS & HEALD WEALTH MANAGEMENT,nvidia,0.0,100000.0
EADS & HEALD WEALTH MANAGEMENT,salesforce,0.5801566916777686,53.53566677410724
EMC Capital Management,amazon,0.5974313858811864,212.14517849106278
EMC Capital Management,meta,0.954956617021202,1.011637979766207
EUBEL BRADY & SUTTMAN ASSET MANAGEMENT INC,microsoft,0.0,100000.0
EVERENCE CAPITAL MANAGEMENT INC,amazon,0.0,100000.0
EVERENCE CAPITAL MANAGEMENT INC,apple,0.09584318224126898,7488.103857590015
EVERENCE CAPITAL MANAGEMENT INC,microsoft,0.0,100000.0
EVERENCE CAPITAL MANAGEMENT INC,nvidia,0.0,100000.0
EVERENCE CAPITAL MANAGEMENT INC,salesforce,0.6581750084285855,74.01959996915645
EVERENCE CAPITAL MANAGEMENT INC,tesla,0.0,100000.0
EXECUTIVE WEALTH GROUP LLC,apple,0.27412789915083313,32176.417502507353
EXECUTIVE WEALTH GROUP LLC,microsoft,0.21399958453054269,100000.0
"Eagle Capital Management, LLC",amazon,0.0,100000.0
"Eagle Capital Management, LLC",apple,0.0,100000.0
"Eagle Capital Management, LLC",microsoft,0.0,100000.0
"Eldridge Investment Advisors, Inc.",apple,0.2791052648412382,560.7169938205458
"Eldridge Investment Advisors, Inc.",microsoft,0.0,100000.0
Employees Retirement System of Texas,advanced_micro,0.0,100000.0
"Endurance Wealth Management, Inc.",apple,0.0,100000.0
"Endurance Wealth Management, Inc.",google,0.7882409715523387,68.26071834272386
"Endurance Wealth Management, Inc.",microsoft,0.0,100000.0
"Endurance Wealth Management, Inc.",palo_alto,0.7020741143961435,293.31662783900424
"Endurance Wealth Management, Inc.",salesforce,0.4658386217001811,28.00503894183631
Envoi LLC,apple,0.24272365421923614,92219.78823334322
Equinox Partners Investment Management LLC,meta,0.7303208681207216,100000.0
Erste Asset Management GmbH,amazon,0.47506784160801085,100000.0
Erste Asset Management GmbH,apple,0.5922760595647247,100000.0
Erste Asset Management GmbH,microsoft,0.6234320419970882,100000.0
Estabrook Capital Management,advanced_micro,0.7485980326006821,3612.3426997094302
Estabrook Capital Management,meta,0.8740012716456832,32176.417502507353
Estabrook Capital Management,microsoft,0.4083591863763799,100000.0
Estabrook Capital Management,tesla,0.585630860833697,4247.571552536894
"Evolution Advisers, Inc.",apple,0.5770252468482837,13.509935211980265
"Evolution Advisers, Inc.",microsoft,0.7254371875223885,6.010276782070382
"Evolution Advisers, Inc.",tesla,0.8432998029555,0.11357333583431052
"F&V Capital Management, LLC",amazon,0.9416372609077565,5.111433483440165
"F&V Capital Management, LLC",apple,0.9263149943142913,10.59560179277616
"FINANCIAL ADVISORY PARTNERS, LLC",apple,0.6517827805942069,52310.993080562585
"FINANCIAL ADVISORY PARTNERS, LLC",microsoft,0.9217930144452126,34891.012134067736
FIRST WILSHIRE SECURITIES MANAGEMENT INC,meta,0.8359343640541304,9.771241535346501
FIRST WILSHIRE SECURITIES MANAGEMENT INC,microsoft,0.351533611683838,180.41864093920717
FISHMAN JAY A LTD/MI,microsoft,0.48587396783638814,100000.0
FOSTER & MOTLEY INC,microsoft,0.0,100000.0
FOSTER DYKEMA CABOT & CO INC/MA,amazon,0.396158020061278,1482.020705798857
FOSTER DYKEMA CABOT & CO INC/MA,microsoft,0.6380487045349104,1742.6333860096508
FRONT BARNETT ASSOCIATES LLC,amazon,0.3294686488165992,2612.6752255633264
FRONT BARNETT ASSOCIATES LLC,microsoft,0.0,100000.0
FRONT BARNETT ASSOCIATES LLC,salesforce,0.0,100000.0
Farmers & Merchants Trust Co of Chambersburg PA,amazon,0.0,100000.0
Farmers & Merchants Trust Co of Chambersburg PA,apple,0.18615703071945466,153.43684089300132
Farmers & Merchants Trust Co of Chambersburg PA,microsoft,0.0,100000.0
Farmers & Merchants Trust Co of Chambersburg PA,nvidia,0.0,100000.0
Farmers National Bank,amazon,0.03314582683514933,100000.0
"Financial & Tax Architects, LLC",amazon,0.35751358934061106,100000.0
"Financial & Tax Architects, LLC",apple,0.23240385455025137,100000.0
"Financial & Tax Architects, LLC",asml,0.28908041374900106,92219.78823334322
"Financial & Tax Architects, LLC",meta,0.10960604835342902,100000.0
"Financial & Tax Architects, LLC",microsoft,0.0,100000.0
"Financial Connections Group, Inc.",amazon,0.8660031505653959,2.0970464013232326
"Financial Connections Group, Inc.",apple,0.898285947956709,6.51733960488242
"Financial Connections Group, Inc.",salesforce,0.7003340851713405,0.41504047578504744
"Financial Synergies Wealth Advisors, Inc.",amazon,0.030631664722949536,85044.89341802686
"First Fiduciary Investment Counsel, Inc.",apple,0.0,100000.0
"First Fiduciary Investment Counsel, Inc.",microsoft,0.0,100000.0
First PREMIER Bank,amazon,0.0,100000.0
First PREMIER Bank,microsoft,0.4349267516674655,659.3188271333541
"Focus Financial Network, Inc.",amazon,0.5728362716938278,100000.0
"Focus Financial Network, Inc.",apple,0.6686561239114117,0.01
"Focus Financial Network, Inc.",microsoft,0.5317027983219417,41026.581058271906
"Focus Financial Network, Inc.",palo_alto,0.6059582505876144,100000.0
"Focus Financial Network, Inc.",salesforce,0.8390732663628767,3612.3426997094302
"Frisch Financial Group, Inc.",amazon,0.4148014022612668,230.04301197729168
"Frisch Financial Group, Inc.",apple,0.0,100000.0
"Frisch Financial Group, Inc.",meta,0.9580502023998203,10.59560179277616
"Frisch Financial Group, Inc.",microsoft,0.0,100000.0
"Frisch Financial Group, Inc.",salesforce,0.0,100000.0
"Front Street Capital Management, Inc.",amazon,0.0,100000.0
"Front Street Capital Management, Inc.",microsoft,0.0,100000.0
"Front Street Capital Management, Inc.",tesla,0.6930973541781749,8.309941949353396
Fruth Investment Management,apple,0.3191850487704452,439.7603609302721
Fruth Investment Management,meta,0.32866671878408815,318.0625692794119
Fruth Investment Management,microsoft,0.3071837903724677,714.9428986597577
GFI Investment Counsel Ltd.,apple,0.0,100000.0
GFI Investment Counsel Ltd.,microsoft,0.06938061914119464,4247.571552536894
GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,amazon,0.0,100000.0
GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,microsoft,0.3117884434155721,212.14517849106278
"GW&K Investment Management, LLC",amazon,0.0,100000.0
"GW&K Investment Management, LLC",microsoft,0.4178439404901021,8119.844993184009
