ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001323255-20-000011	17664	0001323255	028-11397			APG Asset Management US Inc.
0001323255-20-000011	17663	0001434819	028-13074			APG Asset Management N.V.
0001801770-20-000003	26819	0001465109	028-13573			Neuberger Berman Group LLC
0001801770-20-000003	26820	0001054554	028-06668			OAK RIDGE INVESTMENTS LLC
0001801770-20-000003	26821	0001034524	028-03687			POLEN CAPITAL MANAGEMENT LLC
0001801770-20-000003	26822	0001056593	028-04691			SCHAFER CULLEN CAPITAL MANAGEMENT INC
0001801770-20-000003	26823	0000860644	028-02634			Aristotle Capital Management, LLC
0001046192-20-000019	28088	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001567619-20-015565	26638	0000921669	028-04333			ICAHN CARL C
0001801770-20-000003	26800	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001801770-20-000003	26801	0000829937	028-02259			Boston Trust Walden Co
0001801770-20-000003	26802	0001665605	028-17691			3EDGE Asset Management, LP
0001801770-20-000003	26803	0000810972	028-01911			BAIRD ROBERT W & CO INC /WI/
0001801770-20-000003	26804	0001409427	028-12579			Boston Common Asset Management, LLC
0001801770-20-000003	26805	0001599444	028-15799			CG Asset Management LLC
0001801770-20-000003	26806	0001348883	028-11611			Clearbridge Investments, LLC
0001801770-20-000003	26807	0000897378	028-03434			CONGRESS ASSET MANAGEMENT CO /MA
0001801770-20-000003	26808	0001424322	028-12643			Cubic Asset Management, LLC
0001801770-20-000003	26809	0001027760	028-05920			DELAWARE CAPITAL MANAGEMENT INC
0001801770-20-000003	26810	0001102578	028-05269			EARNEST PARTNERS LLC
0001801770-20-000003	26811	0000201772	028-00878			ESSEX INVESTMENT MANAGEMENT CO LLC
0001801770-20-000003	26812	0001088084	028-10312			GOLDMAN SACHS ASSET MANAGEMENT/
0001801770-20-000003	26813	0000928196	028-04434			HARDING LOEVNER LP
0001085146-20-002340	102728	0001447946	028-13237			CQS (US), LLC
0001567619-20-015571	89530	0000921669	028-04333			ICAHN CARL C
0001606587-20-000985	70913	0001504665	028-18973			DFPG Investments, LLC
0001606587-20-000985	70914	0001727592	028-18293			Squar Milner Financial Services LLC
0001046192-20-000022	32801	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001085146-20-002325	32501	0001167456	028-10114			CNH PARTNERS LLC
0001046192-20-000020	23692	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001046192-20-000018	21692	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001085146-20-002331	14228	0001004244	028-05194			NEW ENGLAND ASSET MANAGEMENT INC
0001567619-20-015569	14198	0000921669	028-04333			ICAHN CARL C
0001567619-20-015570	12670	0000921669	028-04333			ICAHN CARL C
0001568820-20-000002	15631	0001553733				Brave Warrior Advisors, LLC
0001567619-20-015562	13122	0000921669	028-04333			ICAHN CARL C
0001085146-20-002339	18843	0001692234	028-17598			Russell Investments Group, Ltd.
0001085146-20-002339	18842	0000820027	028-00139			AMERIPRISE FINANCIAL INC
0001046192-20-000021	25899	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001085146-20-002324	26213	0001167456	028-10114			CNH PARTNERS LLC
0001085146-20-002324	26212	0001167557	028-10120			AQR CAPITAL MANAGEMENT LLC
0001801770-20-000003	26818	0001259887	028-10665			LONDON CO OF VIRGINIA
0001801770-20-000003	26817	0001106129	028-03495			JENSEN INVESTMENT MANAGEMENT INC
0001801770-20-000003	26816	0001127761	028-06155			IRONWOOD INVESTMENT MANAGEMENT LLC
0001567619-20-015563	32526	0000921669	028-04333			ICAHN CARL C
0001801770-20-000003	26814	0001314620	028-11091			Hillman Capital Management, Inc.
0001801770-20-000003	26815	0000938506	028-04736			INSIGHT CAPITAL RESEARCH & MANAGEMENT INC
0001085146-20-002320	69017	0001705438	028-18532			Siris Capital Group, LLC
0001387131-20-007575	13442	0001687953				Internal server error. CIK may be invalid.
0001567619-20-015556	11552	0000921669	028-04333			ICAHN CARL C
0001567619-20-015554	108966	0000921669	028-04333			ICAHN CARL C
0001085146-20-002317	24937	0001509842	028-14763			PointState Capital LP
0001085146-20-002316	15252	0001692234	028-17598			Russell Investments Group, Ltd.
0001085146-20-002316	15251	0001637460	028-18778			Man Group plc
0001567619-20-015550	23870	0000921669	028-04333			ICAHN CARL C
0001085146-20-002315	34450	0001692234	028-17598			Russell Investments Group, Ltd.
0001345471-20-000041	30429	0001345471	028-12039			Trian Fund Management, L.P.
0001085146-20-002314	115256	0001637460	028-18778			Man Group plc
0000314998-20-000011	27543					Kemper Corp
0000950123-20-009142	33442		028-02610			RBS Partners, L.P.
0001541597-20-000003	39011	0001132597	028-17515			Itau Unibanco Holding S.A.
0001085146-20-002313	52951	0001352261	028-11672			GLG LLC
0001085146-20-002313	52950	0001637460	028-18778			Man Group plc
0000919574-20-005421	23152	0001317588	028-11161			ABRAMS BISON INVESTMENTS, LLC
0001567619-20-015541	18532	0001698051	028-17887			Point72 Europe (London) LLP
0001567619-20-015541	18531	0001599822	028-16027			Point72 Hong Kong Ltd
0001567619-20-015541	18530	0001603465	028-16258			Cubist Systematic Strategies, LLC
0001418812-20-000071	18376	0001351069	028-12033			ValueAct Capital Management, L.P.
0000919574-20-005419	72100	0001358253	028-11896			TIG Advisors, LLC
0000950123-20-009138	24924		028-06663			Sculptor Capital LP
0000919574-20-005418	92731	0001358253	028-11896			TIG Advisors, LLC
0001172661-20-001870	27238	0001469877	028-16918			HIGHLAND CAPITAL MANAGEMENT FUND ADVISORS, L.P.
0000950123-20-009134	42940		028-13627			Sculptor Capital II LP
0001567619-20-015538	31598	0001399770	028-12880			Kohlberg Kravis Roberts & Co. L.P.
0001172661-20-001869	29667	0001469877	028-16918			HIGHLAND CAPITAL MANAGEMENT FUND ADVISORS, L.P.
0001387131-20-007556	13090	0001687953				Winder Investment Pte Ltd
0001595888-20-000018	26080	0001595888	028-16162			JANE STREET GROUP, LLC
0001567619-20-015536	25658	0001399770	028-12880			Kohlberg Kravis Roberts & Co. L.P.
0001012975-20-000700	82693	0001586986	028-16049			Electron Capital Partners, LLC
0001730859-20-000006	22771		028-18608			SB INVESTMENT ADVISERS (UK) LTD
0001345471-20-000040	35117	0001345471	028-12039			TRIAN FUND MANAGEMENT, L.P.
0001595888-20-000017	25738	0001595888	028-16162			JANE STREET GROUP, LLC
0001012975-20-000699	73081	0001586986	028-16049			Electron Capital Partners, LLC
0001607621-20-000003	18017	0001375836	028-13191			Hound Partners Offshore Fund, LP
0001607621-20-000003	18016	0001353316	028-11815			Hound Partners, LLC
0001607621-20-000003	18018	0001607637	028-16134			Hound Partners Long Master, LP
0001172661-20-001866	28578	0001569532	028-15327			VISTA EQUITY PARTNERS MANAGEMENT, LLC
0001387131-20-007551	20463	0001687953				Internal server error. CIK may be invalid.
0001345471-20-000039	15200	0001345471	028-12039			Trian Fund Management, L.P.
0001714670-20-000009	18579					Kemper Corp
0001172661-20-001865	104515	0001281446	028-11743			GREAT POINT PARTNERS LLC
0001012975-20-000698	23666	0001586986	028-16049			Electron Capital Partners, LLC
0001567619-20-015529	31545	0001035674	028-10010			PAULSON & CO. INC.
0001595888-20-000016	31938	0001595888	028-16162			JANE STREET GROUP, LLC
0001172661-20-001864	12942	0001281446	028-11743			GREAT POINT PARTNERS LLC
0001469589-20-000007	30854	0001469589	028-13619			Q Global Advisors, LLC
0001345471-20-000038	18864	0001345471	028-12039			Trian Fund Management, L.P.
0001387131-20-007549	22474	0001687953				Internal server error. CIK may be invalid.
0001172661-20-001862	23679	0001055951	028-06774			ORBIMED ADVISORS LLC
0001172661-20-001858	25294	0001728850				LSP Investment Advisors, LLC
0001567619-20-015526	17733	0001079563	028-03499			HIGHFIELDS CAPITAL MANAGEMENT LP
0001595888-20-000015	21868	0001595888	028-16162			JANE STREET GROUP, LLC
0001172661-20-001857	23800	0001541901	028-15266			Encompass Capital Advisors LLC
0000919574-20-005415	14250	0001056831	028-06994			FAIRHOLME CAPITAL MANAGEMENT LLC
0001172661-20-001855	83489	0001541901	028-15266			Encompass Capital Advisors LLC
0001567619-20-015516	33952	0000070858	028-00158			BANK OF AMERICA CORP /DE/
0001104659-20-095612	24936	0001265131	028-15359			Hilltop Holdings Inc.
0000950123-20-009128	17973		28-14388			BDT Capital Partners, LLC
0001607637-20-000003	13512	0001353316	028-11815			Hound Partners, LLC
0001607637-20-000003	13513	0001375836	028-13191			Hound Partners Offshore Fund, LP
0001607637-20-000003	13514	0001607621	028-16135			Hound Partners Concentrated Master, LP
0001567619-20-015515	30819	0001702490	028-18498			Deer Park Road Corp
0001012975-20-000696	15552	0001512397	028-14346			Knighthead Capital Management, LLC
0001493152-20-015900	89415	0001543170	028-16511			SPRUCE HOUSE INVESTMENT MANAGEMENT LLC
0001418812-20-000069	28058	0001418814	028-13172			ValueAct Holdings, L.P.
0001104659-20-095606	29971	0001265131	028-15359			Hilltop Holdings Inc.
0001172661-20-001850	33514	0001086763	028-05785			FIRST FOUNDATION ADVISORS
0000950159-20-000208	88584	0001009258	028-05366			DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)
0001012975-20-000695	107741	0001512397	028-14346			Knighthead Capital Management, LLC
0001172661-20-001849	25734	0001079114	028-07484			GREENLIGHT CAPITAL INC
0000950123-20-009126	33143		028-7592			WADDELL & REED FINANCIAL, INC.
0001756272-20-000010	65676					Enstar Group LTD
0000902664-20-003076	31816	0001484836	028-13856			Centerbridge Partners, L.P.
0001167376-20-000014	15766	0001469589	028-13619			Q Global Advisors, LLC
0001167376-20-000014	15767	0001167376	028-10108			Scepter Holdings, Inc.
0000049196-20-000048	18625	0000049205	028-00633			HUNTINGTON NATIONAL BANK
0001567619-20-015507	30560	0001702490	028-18498			Deer Park Road Corp
0001104659-20-095601	117656	0001265131	028-15359			Hilltop Holdings Inc.
0000921895-20-002261	12508	0001334429	028-15403			BIGLARI CAPITAL CORP.
0001012975-20-000694	23484	0001512397	028-14346			Knighthead Capital Management, LLC
0001731393-20-000003	15640	0001719087	028-18524			Diametric Capital, LP
0001405086-20-000262	17670	0001749824	028-19277			INHERENT GROUP, LP
0001567619-20-015502	15953	0001702490	028-18498			Deer Park Road Corp
0001172661-20-001847	33427	0001079114	028-07484			GREENLIGHT CAPITAL INC
0001567619-20-015498	33871	0001791786	028-20282			Elliott Investment Management L.P.
0001104659-20-095594	34257	0001265131	028-15359			Hilltop Holdings Inc.
0001104659-20-095593	16686	0001259313	028-12990			Ares Management LLC
0000902664-20-003075	24402	0001029160	028-06420			SOROS FUND MANAGEMENT LLC
0001178913-20-002435	14592	0001603837	028-16590			Ion Asset Management Ltd.
0001104659-20-095591	35209	0001423994	028-12856			Ridgeback Capital Investments L.P.
0000921895-20-002260	48777	0001334429	028-15403			BIGLARI CAPITAL CORP.
0001104659-20-095590	14982	0001259313	028-12990			Ares Management LLC
0001172661-20-001846	12524	0001079114	028-07484			GREENLIGHT CAPITAL INC
0001567619-20-015494	33958	0001791786	028-20282			Elliott Investment Management L.P.
0001178913-20-002433	22148	0001603837	028-16590			Ion Asset Management Ltd.
0000902664-20-003074	18190	0001484836	028-13856			Centerbridge Partners, L.P.
0001375836-20-000003	32462	0001607637	028-16134			Hound Partners Long Master, LP
0001375836-20-000003	32463	0001607621	028-16135			Hound Partners Concentrated Master, LP
