ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000947871-25-000179	0	7	1064051000	
0001546172-25-000003	0	44	216582028	N
0001552781-25-000036	0	4	4862470585	Y
0002010145-25-000001	0	32	78181969	N
0000902664-25-001078	0	1	0	
0001754960-25-000148	0	27	197411795	N
0000884548-25-000001	0	163	1066869165	N
0001104659-25-014316	0	43	728583411	
0000950123-25-002827	0	6263	24797369844	N
0002010327-25-000001	0	59	143771260	N
0001104659-25-014314	0	2	293983638	
0001172661-25-001259	0	26	125851465	
0001172661-25-001257	0	116	353894320	
0001085146-25-001722	0	69	136199377	N
0001085146-25-001721	0	78	151583601	N
0001104659-25-014306	0	10	4943610970	
0001013594-25-000307	0	274	149483605	
0001577774-25-000001	2	97	987672262	N
0000947871-25-000178	0	0	0	
0000905148-25-000696	0	325	1346521403	
0000947871-25-000177	0	0	0	
0001067926-25-000003	0	45	1515229	N
0001085146-25-001720	0	977	9077484873	N
0001356954-25-000002	0	102	143468962	N
0000853758-25-000002	0	2124	40986747329	N
0001420506-25-000624	0	14	394876202	N
0001172661-25-001248	0	36	3649355764	
0001012975-25-000102	7	9	2102351655	N
0001104659-25-014290	1	379	3214479871	
0001386935-25-000001	0	437	1249542967	N
0001667731-25-000280	0	54	108535376	
0001420506-25-000622	0	10	97394383	N
0001472850-25-000003	0	12	642731904	N
0001398344-25-002948	0	430	1190917059	
0001595888-25-000068	6	14140	460393920203	N
0001493152-25-006950	0	35	480287272	
0001062993-25-002578	0	49	92818828	N
0001172661-25-001242	0	59	88448160	
0000932929-25-000002	0	125	169654832	N
0001140361-25-004866	0	516	48085049824	
0001172661-25-001236	0	569	8161279382	
0001104659-25-014275	3	17	663456548	
0001213900-25-014387	0	16	119558992	
0001213900-25-014388	0	1	0	Y
0001214659-25-002894	0	40	34024596	
0001906640-25-000001	0	99	129218330	N
0001162827-25-000001	0	52	613209283	N
0001911286-25-000001	0	4	995490	N
0000947871-25-000172	0	9	306515376	
0001493152-25-006936	0	98	187834111	
0001709323-25-000001	0	8	2711379783	N
0002056711-25-000001	0	46	40537510	N
0000947871-25-000169	4	62	11472584182	
0001892688-25-000098	0	39	631956844	N
0000950103-25-002070	3	4	2407694204	
0001104659-25-014252	0	2	258796491	
0002056764-25-000001	0	347	94720310	N
0001765380-25-000127	0	56	292071033	N
0001456421-25-000003	1	53	7244249711	N
0001062993-25-002571	0	143	2690620424	N
0001633037-25-000001	0	601	1577961785	N
0002056315-25-000007	0	53	75828621	N
0001398344-25-002937	0	2318	45204951	
0000950103-25-002069	1	2	49680616	
0001085146-25-001718	0	10	291908509	N
0001172661-25-001218	0	50	168033755	
0001085146-25-001717	0	1	334136769	N
0001594591-25-000001	0	8	275685704	N
0001591986-25-000003	0	15	66317158	N
0001257391-25-000002	0	270	3465645174	N
0001085146-25-001716	0	0	0	N
0000947871-25-000167	0	4	35130977	
0001213900-25-014355	0	0	0	
0001172661-25-001215	1	126	890570322	
0001085146-25-001715	0	215	577794126	N
0001172661-25-001213	0	14	3285904847	
0001085146-25-001713	0	43	7442469307	N
0001493152-25-006915	0	20	309043400	
0001949877-25-000004	0	24	249823645	N
0001085146-25-001712	0	108	244061924	N
0001892688-25-000097	0	12	158011958	N
0001172661-25-001212	0	78	408141678	
0001085146-25-001711	2	298	510852143	N
0001085146-25-001710	0	0	0	N
0001172661-25-001210	0	36	3330800144	
0001085146-25-001709	0	0	0	N
0000905148-25-000671	0	3	36574287	
0000950123-25-002817	0	238	5308850130	N
0001398344-25-002933	0	558	409675820	
0000905148-25-000670	0	1	0	
0000929638-25-000799	0	151	370650373	
0001493152-25-006912	0	223	601709452	
0001213900-25-014345	0	60	1174519254	
0000905148-25-000668	0	22	510742537	
0001787893-25-000002	0	25	464668056	N
0000905148-25-000667	1	17	488931500	
0000944733-25-000001	0	45	207054982	N
0001420506-25-000619	0	91	201769841	N
0001140361-25-004835	1	353	130927147	
0001892688-25-000096	0	33	282703721	N
0000717538-25-000018	2	486	1053463041	N
0001828776-25-000004	0	48	452160380	N
0000905148-25-000665	0	25	287760276	
0001104659-25-014229	4	34	2843557880	
0001104659-25-014228	0	3	124438323	
0001085146-25-001704	0	19	183665090	N
0001172661-25-001203	0	9	4118785703	
0000895345-25-000070	1	1	640293904	
0001085146-25-001703	2	462	4569575104	N
0001645721-25-000009	0	30	460741464	N
0002056795-25-000001	0	69	95132424	N
0000905148-25-000664	0	2	30380480	
0000902664-25-001075	1	15	3116080706	
0001172661-25-001201	0	2	44871898	
0001085146-25-001702	7	8973	77626306690	N
0001172661-25-001200	1	21	143265018	
0000902664-25-001074	0	65	187237264	
0001829126-25-001002	0	264	518342030	
0001493152-25-006904	0	26	694673503	
0000902664-25-001073	1	45	2887212375	
0001799964-25-000001	0	153	402346852	N
0000919574-25-001532	2	65	1426524855	
0001012975-25-000098	3	41	1922473273	N
0001892688-25-000095	0	22	176483792	N
0001807270-25-000002	0	35	131443270	N
0001104659-25-014225	0	212	1644791879	
0001104659-25-014223	0	137	2328640133	
0000905148-25-000662	1	3	244921765	
0000902664-25-001072	0	30	13465920499	
0001172661-25-001198	0	67	4326021453	
0001839882-25-009258	0	36	1045162147	
0000904454-25-000150	0	7	1622875999	
0001172661-25-001196	0	6	343076630	
0000902664-25-001070	0	718	3351705823	
0001104659-25-014221	0	16	219431795	
0001667731-25-000279	0	45	894841182	
0000902664-25-001069	1	190	6645608141	
0000905148-25-000660	0	14	185752274	
0001172661-25-001193	0	29	7002292818	
0001564702-25-000004	0	700	1129317269	N
0001085146-25-001700	0	1951	17196380886	N
0001622627-25-000016	0	40	195569194	N
0000902664-25-001067	2	5	1815516000	
0000902664-25-001066	0	4	167094411	
0001103882-25-000002	4	299	2238770539	N
0000902664-25-001064	0	17	2745712669	
0002056315-25-000006	0	90	191379518	N
0000899140-25-000326	4	15	1059160680	
0000902664-25-001063	0	17	248597715	
0000950123-25-002813	0	59	1380845949	N
0001849457-25-000001	0	17	999430078	N
0000902664-25-001061	0	17	410192774	
0001214659-25-002888	0	38	1023348505	
0001140361-25-004825	0	3	835640747	
0001892688-25-000094	0	6	1055769131	N
0001539497-25-000660	10	20	7415250387	Y
0000950142-25-000398	0	5	9600474174	
0001178913-25-000500	2	77	1717568329	
0001085146-25-001699	2	1	10535000	N
0000899140-25-000325	0	154	2517350343	
0001214659-25-002887	0	45	1245026873	
0001085146-25-001698	0	0	0	N
0001140361-25-004824	0	92	9058914748	
0000902664-25-001058	0	11	2033102865	
0000950123-25-002812	0	16	1691640015	N
0000950123-25-002801	0	34	1651736245	N
0000950123-25-002804	8	12	1280679184	N
0000950123-25-002802	3	2	4884883532	N
0001085146-25-001697	0	0	0	N
0001123292-25-000099	0	2	366024000	
0000905148-25-000658	0	95	3545596394	
0001172661-25-001182	0	60	108686281	
0001104659-25-014181	0	90	7514204405	
