ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000945621-24-000922	186703	0001003518	028-23074			AGF MANAGEMENT LTD
0000945621-24-000920	185350	0001003518	028-23074			AGF MANAGEMENT LTD
0001398344-24-020490	185395		028-00460			Pitcairn Company
0000945621-24-000918	186921	0001003518	028-23074			AGF MANAGEMENT LTD
0001398344-24-020485	187695	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
0001398344-24-020485	187696	0000897378	028-03434	000105161	801-23386	CONGRESS ASSET MANAGEMENT CO
0001398344-24-020485	187697	0001301743	028-11239	000135810	801-65436	CoreCommodity Management, LLC
0001398344-24-020485	187698	0000764532	028-01526	000109149	801-15164	FIDUCIARY MANAGEMENT INC /WI/
0001398344-24-020485	187699	0001391974	028-12448	000135143	801-66702	GSI Capital Advisors LLC
0001398344-24-020485	187700	0001812185	028-20267	000304792	801-117681	Level Four Capital Management, LLC
0001398344-24-020485	187701	0001696715	028-17884	000134086	801-66368	LEVEL FOUR ADVISORY SERVICES, LLC
0001398344-24-020485	187702	0001126328	028-10106			PRINCIPAL FINANCIAL GROUP INC
0001398344-24-020485	187703	0001218333	028-10400	000109008	801-55618	PRINCIPAL REAL ESTATE INVESTORS LLC
0001398344-24-020485	187704	0001027796	028-03791	000106847	801-50838	PZENA INVESTMENT MANAGEMENT LLC
0001398344-24-020485	187705	0001469751	028-13577	000146221	801-68810	RiverFront Investment Group, LLC
0001398344-24-020485	187706	0001290668	028-11076	000127447	801-62151	Sustainable Growth Advisers, LP
0001398344-24-020485	187707	0000850401	028-02494			TCW GROUP INC
0001398344-24-020485	187708	0001145263	028-06683	000106546	801-29075	TCW INVESTMENT MANAGEMENT Co LLC
0001398344-24-020485	187709	0001082045	028-04129	000105991	801-50672	WEATHERBIE CAPITAL, LLC
0001398344-24-020485	187710	0001177719	028-10220	000146990	801-69413	WESTFIELD CAPITAL MANAGEMENT CO LP
0000945621-24-000916	185077	0001003518	028-23074			AGF MANAGEMENT LTD
0001573679-24-000064	186798	0000928047	028-04428			MANUFACTURERS LIFE INSURANCE COMPANY, THE
0000945621-24-000914	186594	0001003518	028-23074			AGF MANAGEMENT LTD
0001573679-24-000063	185841	0000928047	028-04428			MANUFACTURERS LIFE INSURANCE COMPANY, THE
0001104884-24-000007	187022	0001104883				SIRIOS CAPITAL MANAGEMENT L P
0000945621-24-000912	185169	0001003518	028-23074			AGF MANAGEMENT LTD
0001954889-24-000005	186248		028-10986			MADISON ASSET MANAGEMENT, LLC
0001954889-24-000005	186249					Tidal Investments LLC
0001172661-24-004564	185798	0001103882	028-05431			Paloma Partners Management Co
0000893838-24-000085	186016	0001054074	028-07806			Bessemer Group Inc
0001573679-24-000062	184661	0000080255	028-00115	000105496	801-856	PRICE T ROWE ASSOCIATES INC /MD/
0001573679-24-000062	184660	0000354204	028-01186	000106482	801-16283	DIMENSIONAL FUND ADVISORS LP
0001573679-24-000062	184662	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001573679-24-000062	184669	0001254859	028-10490	000125142	801-61860	Manulife Investment Management (North America) Ltd
0001573679-24-000062	184668	0001082917	028-04145	000121942	801-61559	GW&K Investment Management, LLC
0001573679-24-000062	184667	0001075869	028-04413	000104973	801-21122	Allspring Global Investments, LLC
0001573679-24-000062	184663	0001386060	028-12484	000124982	801-61786	Boston Partners
0001573679-24-000062	184664	0001257442	028-11338	000111242	801-60103	SSGA FUNDS MANAGEMENT INC
0001573679-24-000062	184665	0000053417	028-00074	000107959	801-5608	JENNISON ASSOCIATES LLC
0001573679-24-000062	184666	0001034182	028-03673	000106435	801-42023	MANULIFE INVESTMENT MANAGEMENT (US) LLC
0001140361-24-046115	187476	0001000275	028-11396			Royal Bank of Canada
0000893838-24-000084	185625		028-07806			BESSEMER GROUP INC
0000893838-24-000083	184996	0001054074	028-07806			BESSEMER GROUP INC
0000893838-24-000082	186362	0001054074	028-07806			BESSEMER GROUP INC
0000893838-24-000081	185083	0001054074	028-07806			BESSEMER GROUP INC
0000893838-24-000080	184586	0001054074	028-07806			BESSEMER GROUP INC
0000893838-24-000079	185167	0001054074	028-07806			BESSEMER GROUP INC
0001573679-24-000061	185185	0001075869	028-04413	000104973	801-21122	Allspring Global Investments, LLC
0001573679-24-000061	185186	0001409427	028-12579	000123558	801-61564	Boston Common Asset Management, LLC
0001573679-24-000061	185187	0001305841	028-10968	000131556	801-63118	Epoch Investment Partners, Inc.
0001573679-24-000061	185188	0001082917	028-04145	000121942	801-61559	GW&K Investment Management, LLC
0001573679-24-000061	185189	0001254859	028-10490	000125142	801-61860	Manulife Investment Management (North America) Ltd
0001573679-24-000061	185190	0001290668	028-11076	000127447	801-62151	Sustainable Growth Advisers, LP
0001573679-24-000061	185191	0000884541	028-03125	000110901	801-17958	TRILLIUM ASSET MANAGEMENT, LLC
0001573679-24-000061	185192	0001993888	028-23450			Pictet Asset Management Holding SA
0001573679-24-000061	185193	0001211578	028-10481	000116837	801-60715	NORDEA INVESTMENT MANAGEMENT NORTH AMERICA INC
0001573679-24-000061	185173	0000928047	028-04428			MANUFACTURERS LIFE INSURANCE COMPANY, THE
0001573679-24-000061	185174	0001317947	028-11314	000134852	801-69068	Bain Capital Credit, LP
0001573679-24-000061	185175	0000354204	028-01186	000106482	801-16283	DIMENSIONAL FUND ADVISORS LP
0001573679-24-000061	185176	0001279913	028-10682	000124613	801-61792	MARATHON ASSET MANAGEMENT LP
0001573679-24-000061	185177	0001027796	028-03791	000106847	801-50838	PZENA INVESTMENT MANAGEMENT LLC
0001573679-24-000061	185178	0000080255	028-00115	000105496	801-856	PRICE T ROWE ASSOCIATES INC /MD/
0001573679-24-000061	185179	0001897612	028-22690	000314590	801-121434	T. Rowe Price Investment Management, Inc.
0001573679-24-000061	185180	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001573679-24-000061	185181	0001386060	028-12484	000124982	801-61786	Boston Partners
0001573679-24-000061	185182	0001109147	028-05615	000109605	801-56651	AXIOM INVESTORS LLC /DE
0001573679-24-000061	185183	0000053417	028-00074	000107959	801-5608	JENNISON ASSOCIATES LLC
0001573679-24-000061	185184	0001034182	028-03673	000106435	801-42023	MANULIFE INVESTMENT MANAGEMENT (US) LLC
0001398344-24-020479	186581	0000860644	028-02634	000109876	801-60014	Aristotle Capital Management, LLC
