ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001513779-24-000006	0	62	216839	N
0001214659-24-019241	0	47	206024303	
0001104659-24-119622	0	16	164511371	
0000749044-24-000006	0	464	741269	N
0001140361-24-047052	2	156	8702248581	
0002013339-24-000005	0	160	152748773	N
0002044851-24-000001	0	69	130637808	N
0001062993-24-019207	0	124	205128387	N
0001540656-24-000010	0	277	829659455	N
0000312069-24-000197	7	9208	376798970	N
0001420506-24-002589	0	1914	783216944	N
0000816788-24-000004	0	45	43240	N
0001768635-24-000010	0	211	321138017	N
0002023325-24-000004	0	1371	1030765121	N
0001967261-24-000004	0	55	146976018	N
0001869164-24-000010	0	188	265887967	N
0001800135-24-000006	0	73	306015618	N
0001080132-24-000006	0	93	251611893	N
0001172661-24-005341	0	260	1446407386	
0001835252-24-000004	0	150	416178263	N
0001646639-24-000007	0	129	1349455722	N
0001007280-24-000009	0	2208	23356411554	N
0002043186-24-000004	0	106	194836183	N
0001427119-24-000010	1	22	4279630403	N
0001835252-24-000003	0	168	279933488	N
0001054646-24-000007	0	303	1033031969	N
0001316580-24-000010	0	46	1602673762	N
0000943663-24-000274	2	726	3849917647	
0000869367-24-000005	0	81	1638847083	N
0001140361-24-047036	5	2313	32436261691	
0001420506-24-002587	0	1237	1634327602	N
0001964394-24-000004	0	764	301597099	N
0001172661-24-005340	0	169	394983366	
0000701059-24-000015	0	2567	27434229	N
0000950123-24-011954	7	12382	30430066702	N
0001892134-24-000006	0	53	2495000226	N
0000950123-24-011950	0	19	4711447632	N
0001826394-24-000005	0	61	117771825	N
0001642274-24-000006	0	13	178461	N
0001864123-24-000005	0	196	350317273	N
0001826394-24-000007	0	69	151374904	N
0001172661-24-005339	0	21	41975999	
0001398344-24-020936	0	89	119192388	
0001104659-24-119361	0	26	422193498	
0000950123-24-011920	2	380	3922668404	N
0001565332-24-000005	0	53	2517261789	N
0001826394-24-000016	0	73	107488208	N
0001731530-24-000006	0	46	344401082	N
0001594591-24-000004	0	11	228522238	N
0001665198-24-000013	0	1056	14077981887	N
0001756759-24-000007	0	196	143865729	N
0001595888-24-000063	5	14480	453340183626	N
0001826394-24-000019	0	83	131496010	N
0001119376-24-000006	0	11	40363	N
0001826394-24-000003	0	66	107440970	N
0000950123-24-011928	8	115	17694139755	N
0001767730-24-000005	0	133	332516	N
0001541496-24-000013	0	130	736197004	
0002005403-24-000004	0	3	179958291	N
0001826394-24-000010	0	92	168190984	N
0001826394-24-000021	0	86	155514726	N
0001826394-24-000020	0	90	150836239	N
0001398344-24-020942	0	1181	11634932347	
0001420506-24-002581	0	45	80938642	N
0000934999-24-000013	0	262	8221352154	N
0001772715-24-000011	2	1324	483646306	N
0001085146-24-005980	0	28	3024130891	N
0001826394-24-000018	0	76	113611416	N
0002044858-24-000001	1	744	170993190	N
0001600745-24-000006	0	1	692181	N
0001826394-24-000013	0	68	105154283	N
