ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001104659-24-059524	176196	0001845012	028-20619	000163822	801-115287	NewGen Asset Management Ltd
0001104659-24-059524	176195	0001167557	028-10120	000111883	801-55543	AQR CAPITAL MANAGEMENT LLC
0001104659-24-059524	176194	0001569205	028-15226	000160365	801-79120	Fundsmith LLP
0001104659-24-059524	176193	0001599814	028-15794	000168625	801-78514	Kopernik Global Investors, LLC
0000850401-24-000015	176129	0000850401	028-02494			TCW GROUP INC
0001104659-24-059459	176573	0001247497	028-12939			RIVERSTONE HOLDINGS LLC
0001062993-24-009808	176011	0001387508	028-12257	000158105	801-73598	PRELUDE CAPITAL MANAGEMENT, LLC
0001062993-24-009802	176382		028-16961	000154718	801-71802	UNIPLAN INVESTMENT COUSEL
0001062993-24-009802	176352		028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001062993-24-009802	176351		028-04879	000106432	801-40278	REINHART PARTNERS, INC.
0001062993-24-009802	176350		028-03663	000109644	801-57986	CIBC ASSET MANAGEMENT
0001062993-24-009802	176349		028-17249	000173347	801-80681	CLARIUS GROUP, LLC
0001062993-24-009802	176348		028-01911	000008158	801-7571	BAIRD ROBERT W & CO INC
0001062993-24-009802	176354		028-01822	000110489	801-11781	BECKER CAPITAL MANAGEMENT INC
0001062993-24-009802	176355		028-03143	000140444	801-13545	FOLGER NOLAN FLEMING DOUGLAS CAPITAL
0001062993-24-009802	176356		028-07602	000000199	801-45761	DAVIDSON DA & CO
0001062993-24-009802	176357		028-10663	000119278	801-60945	HAMLIN CAPITAL MANAGEMENT, LLC
0001062993-24-009802	176358		028-14122	000151736	801-70776	PATHSTONE FAMILY OFFICE, LLC
0001062993-24-009802	176359		028-22724	000311492	801-120488	CREATIVE CAPITAL MANAGEMENT INVESTMENTS LLC
0001062993-24-009802	176360		028-00158	000007691	801-14235	BANK OF AMERICA CORP
0001062993-24-009802	176361		028-03434	000105161	801-23386	CONGRESS ASSET MANAGEMENT CO
0001062993-24-009802	176362		028-10981	000000361	801-16048	GOLDMAN SACHS ASSET MANAGEMENT
