FILINGMANAGER_NAME,Quarter_Count,Average_Holdings_Per_Quarter,Max_Holdings_Single_Quarter
"IronBridge Private Wealth, LLC",14,2098127.1428571427,6013929
"Ironbridge Private Wealth, LLC",3,705.6666666666666,1029
"Ironsides Asset Advisors, LLC",21,248660.80952380953,875719
"Ironvine Capital Partners, LLC",21,9132613.904761905,27510377
"Ironwood Financial, llc",21,16867180.523809522,43168734
"Ironwood Wealth Management, LLC.",12,102.83333333333333,273
"Islet Management, LP",6,450398.8333333333,2598600
Israel Discount Bank of New York,20,718071.8,2677646
Itau Unibanco Holding S.A.,2,8595.0,9225
"Iyo Bank, Ltd.",13,12030.76923076923,16701
J Arnold Wealth Management Co,16,7748283.375,38428095
J. Goldman & Co LP,15,51374919.666666664,231664444
"J. L. Bainbridge & Co., Inc.",21,48699700.571428575,134116294
"J. W. Coons Advisors, LLC",20,11758641.65,46923296
"J.P. Marvel Investment Advisors, LLC",20,16869747.3,45390629
J.P. Morgan Private Wealth Advisors LLC,1,1453246094.0,1453246094
J.Safra Asset Management Corp,9,350952.1111111111,1704996
"J.W. COLE ADVISORS, INC.",21,45119034.85714286,140726472
J2 Capital Management Inc,7,526286.5714285715,941834
"JACKSON SQUARE CAPITAL, LLC",21,8981227.666666666,32238573
"JACKSON THORNTON ASSET MANAGEMENT, LLC",9,1029288.1111111111,3549578
"JACKSON THORNTON WEALTH MANAGEMENT, LLC",2,575690.5,1060278
JACOBS & CO/CA,21,45246.71428571428,62341
"JACOBS LEVY EQUITY MANAGEMENT, INC",21,496723998.71428573,1729038663
"JACOBSON & SCHMITT ADVISORS, LLC",17,124657.5294117647,413444
"JAG CAPITAL MANAGEMENT, LLC",21,28711905.14285714,132905358
JAMES INVESTMENT RESEARCH INC,19,7430088.0,30427433
"JAMES INVESTMENT RESEARCH, INC.",2,32710199.0,33604785
"JAMISON PRIVATE WEALTH MANAGEMENT, INC.",6,24661291.0,34042795
"JANICZEK WEALTH MANAGEMENT, LLC",9,4315517.222222222,10378504
"JARISLOWSKY, FRASER Ltd",9,11247555.555555556,13197885
JB Capital LLC,12,18837457.833333332,38207031
"JBF Capital, Inc.",10,4564891.1,6546020
JBGlobal.com LLC,1,2302493.0,2302493
"JBJ Investment Partners, LLC",9,1829.5555555555557,2479
JBR Co Financial Management Inc,5,6418035.8,7622785
JCIC Asset Management Inc.,20,10251478.05,28554391
JD CAPITAL MANAGEMENT LLC,3,14528.0,21726
JD Financial Services Inc.,5,568.6,716
JDC-JSC L.P.,3,989.3333333333334,1367
"JDH Wealth Management, LLC",1,2623901.0,2623901
JDM Financial Group LLC,9,4064049.5555555555,5086859
JENSEN INVESTMENT MANAGEMENT INC,21,341616024.8095238,1095464256
"JEPPSON WEALTH MANAGEMENT, LLC",18,9787581.944444444,24863750
"JERICHO FINANCIAL, LLP",1,7657290.0,7657290
"JFG Wealth Management, LLC",20,659891.55,5284864
"JFS WEALTH ADVISORS, LLC",21,11060523.333333334,34361035
JGP Global Gestao de Recursos Ltda.,2,145875.5,290955
"JGP Wealth Management, LLC",21,17409214.333333332,55422621
"JIM SAULNIER & ASSOCIATES, LLC",2,417235.5,434635
JJJ Advisors Inc.,10,2070.1,5698
JMAC ENTERPRISES LLC,13,5938528.538461538,10617426
"JMG Financial Group, Ltd.",21,312023.7619047619,1302474
JNB Advisors LLC,4,15038.5,21975
JNBA Financial Advisors,21,2813037.285714286,7686703
JOHN G ULLMAN & ASSOCIATES INC,21,1198050.8095238095,4305176
JOHNSON INVESTMENT COUNSEL INC,21,160408854.95238096,469077791
JONES FINANCIAL COMPANIES LLLP,17,66714513.52941176,366607584
"JOSH ARNOLD INVESTMENT CONSULTANT, LLC",13,42915848.538461536,116875385
JOURNEY STRATEGIC WEALTH LLC,12,103754298.0,210529336
"JOYN Advisors, Inc.",2,3389.5,3838
JPB Foundation,4,164400673.5,224054285
"JPL Wealth Management, LLC",4,7525370.75,11704464
JPMORGAN CHASE & CO,8,1037011794.125,3184261341
"JRM Investment Counsel, LLC",21,1523242.4285714286,4807895
JS Capital Management LLC,1,928.0,928
"JSF Financial, LLC",25,5224201.48,21563713
JT Stratford LLC,21,4216959.428571428,14880807
JTC Employer Solutions Trustee Ltd,14,17831.785714285714,23068
JTC Employer Solutions Trusteee Ltd,1,13394.0,13394
"JUMP TRADING, LLC",1,177135.0,177135
"JUNCTURE WEALTH STRATEGIES, LLC",1,1393.0,1393
JUPITER ASSET MANAGEMENT LTD,18,48333080.94444445,268183292
Jackson Creek Investment Advisors LLC,6,1448.3333333333333,1552
Jackson Financial Management,1,4644.0,4644
"Jackson Hole Capital Partners, LLC",21,6534436.428571428,18688632
"Jackson Wealth Management, LLC",20,14457343.3,50660000
"Jackson, Grant Investment Advisers, Inc.",21,1805879.1904761905,5300685
"Jacksonville Wealth Management, LLC",1,4594694.0,4594694
Jacobi Capital Management LLC,21,7840360.904761905,24933494
Jacobsen Capital Management,20,2272210.6,7765358
"Jaffetilchin Investment Partners, LLC",21,26816318.80952381,91309926
James Hambro & Partners,20,514700.85,2015997
James Hambro & Partners LLP,2,1158407.0,1168935
"James J. Burns & Company, LLC",10,13937.5,29080
"James Reed Financial Services, Inc.",1,1264121.0,1264121
Janney Capital Management LLC,13,17354.69230769231,22251
Janney Montgomery Scott LLC,14,732896.6428571428,1174601
January Capital Advisors LLC,3,2734.0,3200
"Jarislowsky, Fraser Ltd",16,9816.9375,13358
"Jasper Ridge Partners, L.P.",15,6783335.4,28969838
"Jeereddi Investments, LP",10,15262.9,20450
Jenkins Wealth,2,418450.0,835835
Jentner Corp,16,558388.9375,1365874
"Jessup Wealth Management, Inc",9,20965999.111111112,23909089
"Joel Adams & Associates, Inc.",1,1393086.0,1393086
"Joel Isaacson & Co., LLC",21,36246881.85714286,150304534
"Johanson Financial Advisors, Inc.",9,28555.666666666668,57543
"John W. Brooker & Co., CPAs",21,1335714.5238095238,4117173
"Johnson & White Wealth Management, LLC",8,3906.875,5137
"Johnson Bixby & Associates, LLC",17,4206332.882352941,9908142
"Johnson Financial Group, Inc.",1,774572.0,774572
"Johnson Financial Group, LLC",17,342961.4705882353,792397
"Johnson Midwest Financial, LLC",12,446261.4166666667,1922270
"Jolley Asset Management, LLC",2,4347.5,6004
Jordan Park Group LLC,5,679947.6,1753441
Jordan Park Trust Co LLC,1,584480.0,584480
Joseph Group Capital Management,13,1881574.1538461538,5122587
"Joseph P. Lucia & Associates, LLC",21,3548612.3333333335,10819833
"Joule Financial, LLC",11,786117.2727272727,1339814
"Journey Advisory Group, LLC",17,18557873.11764706,65730792
"Journey Beyond Wealth, LLC",1,257922.0,257922
"Jump Financial, LLC",14,15661358.214285715,102043284
Junson Asset Management (Hong Kong) Ltd,1,1791.0,1791
Junto Capital Management LP,1,30334469.0,30334469
Jupiter Wealth Management LLC,21,4710817.0,15132630
JustInvest LLC,8,40029.625,102585
K.J. Harrison & Partners Inc,21,17402403.04761905,45498975
KADENSA CAPITAL Ltd,8,17931487.625,58205548
KAHN BROTHERS GROUP INC,4,558000.0,699000
KAMES CAPITAL plc,6,258431.83333333334,705274
KANAWHA CAPITAL MANAGEMENT LLC,21,25624389.80952381,81770550
"KANE INVESTMENT MANAGEMENT, INC.",1,10578039.0,10578039
KARLINSKI ANDREW C,4,4149.5,12714
"KARPAS STRATEGIES, LLC",19,796530.2105263158,3302956
"KAVAR CAPITAL PARTNERS GROUP, LLC",17,17732418.94117647,59380060
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,21,21541676.0,125124474
KAYS FINANCIAL ADVISORY CORP /ADV,6,6178.166666666667,7245
"KB FINANCIAL PARTNERS, LLC",11,637.6363636363636,1154
"KC Investment Advisors, LLC",12,2398.8333333333335,6054
"KCL Capital, L.P.",2,6929.5,8940
KCM INVESTMENT ADVISORS LLC,21,72700713.57142857,230188854
KCS Wealth Advisory,16,7214590.0625,34129215
KDI CAPITAL PARTNERS LLC,8,418.5,937
"KDK Private Wealth Management, LLC",1,2156367.0,2156367
"KDT Advisors, LLC",1,5109820.0,5109820
KEATING INVESTMENT COUNSELORS INC,21,602471.0952380953,2313440
KEATING WEALTH MANAGEMENT LLC,2,2942506.5,3112666
"KEB ASSET MANAGEMENT, LLC",13,1641666.6153846155,3666018
KEELER & NADLER FINANCIAL PLANNING & WEALTH MANAGEMENT,7,1598354.7142857143,2063722
KELLEHER FINANCIAL ADVISORS,9,19100751.0,37904403
KELLY FINANCIAL GROUP LLC,1,2137701.0,2137701
KELLY LAWRENCE W & ASSOCIATES INC/CA,21,13275973.714285715,38701181
KEMPEN CAPITAL MANAGEMENT N.V.,12,2941.5,10200
KENFARB & CO.,8,2814078.625,6083072
KENNEDY CAPITAL MANAGEMENT LLC,7,25291750.0,48064112
KENNEDY INVESTMENT GROUP,9,13117632.777777778,18191650
KENNICOTT CAPITAL MANAGEMENT LLC,16,1598510.875,3698039
KENSICO CAPITAL MANAGEMENT CORP,1,32646100.0,32646100
"KESTRA PRIVATE WEALTH SERVICES, LLC",18,139077056.2222222,252278420
KEYNOTE FINANCIAL SERVICES LLC,4,9504717.0,10409899
KEYSTONE WEALTH PARTNERS,6,768.1666666666666,1094
"KEYVANTAGE WEALTH, LLC",1,5397843.0,5397843
KEYWISE CAPITAL MANAGEMENT (HK) Ltd,3,49579635.0,53727611
"KFA Private Wealth Group, LLC",21,1843949.0,5324678
"KFG WEALTH MANAGEMENT, LLC",9,4236553.555555556,5110122
"KG&L Capital Management,LLC",21,5138271.952380952,14150733
"KICKSTAND VENTURES, LLC.",6,515256.1666666667,857528
KIECKHEFER GROUP LLC,1,929559.0,929559
"KILEY JUERGENS WEALTH MANAGEMENT, LLC",21,13556857.142857144,39458261
KING LUTHER CAPITAL MANAGEMENT CORP,6,1258742600.6666667,1499516198
KINGS POINT CAPITAL MANAGEMENT,10,54514.0,71194
"KINGSWOOD WEALTH ADVISORS, LLC",7,51199042.14285714,78157493
KIRR MARBACH & CO LLC /IN/,6,305400.3333333333,356007
"KIRTLAND HILLS CAPITAL MANAGEMENT, LLC",4,3299469.75,4155698
"KITCHING PARTNERS, LLC",2,390166.5,455764
KKM Financial LLC,5,8573026.0,10609395
"KLCM Advisors, Inc.",21,5527183.428571428,19490492
"KLEIN PAVLIS & PEASLEY FINANCIAL, INC.",5,949979.2,1105342
KLINGENSTEIN FIELDS & CO LLC,3,14476.0,21270
KLINGENSTEIN FIELDS & CO LP,18,27362423.944444444,66867816
KLK CAPITAL MANAGEMENT LLC,9,2225399.111111111,5778914
KLP KAPITALFORVALTNING AS,1,1452286750.0,1452286750
"KLR INVESTMENT ADVISORS, LLC",6,2634236.6666666665,2991793
KM Capital Management Ltd.,4,369453.0,527256
"KMG FIDUCIARY PARTNERS, LLC",21,23042344.57142857,69311810
"KMT WEALTH MANAGEMENT, LLC",1,408936.0,408936
"KNIGHTSBRIDGE ASSET MANAGEMENT, LLC",21,4858061.714285715,33286610
KORNITZER CAPITAL MANAGEMENT INC /KS,21,42689504.52380952,126858515
KP Management LLC,5,9690946.0,11268900
KPP Advisory Services LLC,6,12535252.166666666,15395700
"KRAEMATON INVESTMENT ADVISORS, INC",13,3048268.6923076925,4948270
"KRAFT ASSET MANAGEMENT, LLC",11,232395.45454545456,537298
"KRS CAPITAL MANAGEMENT, LLC",4,11271.25,12770
"KRS Capital Management, LLC",9,13109711.111111112,16652067
KWB Wealth,17,1517759.0588235294,3986454
"KWMG, LLC",21,1338632.7142857143,6179936
Kades & Cheifetz LLC,6,7859537.833333333,9046934
Kaizen Financial Strategies,16,7154997.6875,15896122
Kampmann Melissa S.,6,7208869.5,10905050
"Kamunting Street Capital Management, L.P.",5,1372978.4,6848400
Kanen Wealth Management LLC,13,1654760.3846153845,2990804
Kapitalo Investimentos Ltda,7,455476.71428571426,895469
Kapstone Financial Advisors LLC,9,17792888.777777776,21573558
Karani Asset Management LLC,16,1491391.5625,7022528
"Karn, Couzens & Associates, Inc.",6,6541.666666666667,7781
Karp Capital Management Corp,12,13855.166666666666,23608
"Karpus Management, Inc.",1,340.0,340
Kathleen S. Wright Associates Inc.,12,371123.5833333333,2330511
"Kathmere Capital Management, LLC",21,6717977.904761905,40262075
"Kaufman Rossin Wealth, LLC",1,1067290.0,1067290
"Kavar Capital Partners, LLC",4,12700.0,16673
Kayak Investment Partners LLC,2,13518.5,14437
"Kaydan Wealth Management, Inc.",13,2271394.4615384615,3164277
Kaye Capital Management,9,4023863.4444444445,4688533
Kearns & Associates LLC,13,2739614.076923077,5190706
"Keebeck Alpha, LP",11,1525.3636363636363,2389
"Keel Point, LLC",21,6718880.761904762,27607824
Keeler THomas Management LLC,4,7089150.0,8120282
Keeler Thomas Management LLC,17,1999643.5294117648,7633083
"Keeley-Teton Advisors, LLC",20,416506.65,1241080
"Keene & Associates, Inc.",13,397131.76923076925,735465
Keener Financial Planning LLC,5,1061.2,1234
Kellett Schaffner Wealth Advisors LLC,5,483439.8,2404231
"Kellett Wealth Advisors, LLC",8,2849829.5,3410986
Kelly Financial Services LLC,24,2204367.1666666665,9458074
"Kelman-Lazarov, Inc.",21,1147378.238095238,3071547
Kemnay Advisory Services Inc.,21,4865645.714285715,13864272
Kendall Capital Management,21,1025383.3333333334,5158427
Kennebec Savings Bank,2,7963067.0,8026151
"Kennon-Green & Company, LLC",9,847698.8888888889,1395066
"Kensington Investment Counsel, LLC",16,5772742.4375,14233684
Kentucky Retirement Systems,21,64534363.809523806,261641571
Kentucky Retirement Systems Insurance Trust Fund,21,22677794.42857143,104886115
Kepos Capital LP,1,1081.0,1081
"Kera Capital Partners, Inc.",1,2816740.0,2816740
"KerberRose Wealth Management, LLC",1,2911.0,2911
"Kercheville Advisors, LLC",16,8452062.1875,18913156
Kerntke Otto McGlone Wealth Management Group,21,466444.0,1240000
"Kerrisdale Advisers, LLC",7,9666.142857142857,12311
Kerusso Capital Management LLC,3,4488129.0,4956313
"Kesler, Norman & Wride, LLC",17,7324058.705882353,17790419
"Kessler Investment Group, LLC",21,1745648.238095238,12920169
"Kestra Advisory Services, LLC",18,380850597.3333333,644184538
"Kestra Investment Management, LLC",3,9906225.333333334,15238417
Keudell/Morrison Wealth Management,21,5658316.714285715,17625433
"Key Bridge Compliance, LLC",1,13301468.0,13301468
"Key Client Fiduciary Advisors, LLC",13,6611117.692307692,12891562
Key Financial Inc,21,9391355.19047619,37854977
Key Square Capital Management LLC,3,38409.666666666664,64570
"Keyes, Stange & Wooten Wealth Management, LLC",5,2664702.8,3063874
Keystone Financial Group,20,24053816.45,140641526
"Keystone Financial Group, Inc.",1,244675.0,244675
"Keystone Financial Planning, Inc.",3,3252.0,3868
Keystone Financial Services,13,533291.2307692308,976746
"Keystone Wealth Services, LLC",13,9865930.0,18592616
Kidder Stephen W,13,207974.23076923078,2676818
"Kiely Wealth Advisory Group, Inc.",5,486609.8,535660
"Kiker Wealth Management, LLC",1,876916.0,876916
KilterHowling LLC,13,2789412.0,4507096
"Kimelman & Baird, LLC",4,53313044.25,75491812
King Wealth,16,16882.0625,23355
King Wealth Management Group,5,26730.6,34200
Kingdom Financial Group LLC.,7,1535677.4285714286,2196706
Kingfisher Capital LLC,20,1630003.55,18613705
Kings Path Partners LLC,3,353477.0,382391
Kingsbury Capital Investment Advisors LLC,3,8424.666666666666,9446
"Kingstone Capital Partners Texas, LLC",1,9012000.0,9012000
"Kingsview Wealth Management, LLC",32,33361435.59375,139550899
"Kinloch Capital, LLC",17,213554.88235294117,808220
"Kistler-Tiffany Companies, LLC",15,3156870.4,18875541
Kiwi Wealth Investments Limited Partnership,16,23518703.4375,99433875
"Klingman & Associates, LLC",21,19596811.57142857,62989118
Knights of Columbus Asset Advisors LLC,21,22096487.095238097,68658403
"Knollwood Investment Advisory, LLC",9,19480291.444444444,37521680
"Knowledge Leaders Capital, LLC",4,1060.75,1219
Knuff & Co LLC,21,13448168.523809524,41175309
"Koa Wealth Management, LLC",5,15525393.0,16776815
Kodai Capital Management LP,1,98065304.0,98065304
"Koesten, Hirschmann & Crabtree, INC.",9,2027137.4444444445,2370274
"Kohmann Bosshard Financial Services, LLC",21,3393498.095238095,10254336
"Kolinsky Wealth Management, LLC",13,3160268.5384615385,7668143
Kooman & Associates,9,1900396.7777777778,3238524
"Kopernik Global Investors, LLC",1,130000.0,130000
Kore Private Wealth LLC,12,44608.75,109056
Korea Investment CORP,21,1006279909.8095238,2891420439
"Koshinski Asset Management, Inc.",20,21090524.15,44260537
"Koss-Olinger Consulting, LLC",16,1642066.5625,5525212
"Kovack Advisors, Inc.",8,37850447.0,49466068
"Kovitz Investment Group Partners, LLC",5,521283853.4,1762159626
"Kowal Investment Group, LLC",16,4253521.5,11492884
"Kozak & Associates, Inc.",15,9214730.266666668,24374635
"Kraft, Davis & Associates, LLC",8,1218359.875,1374985
Krane Funds Advisors LLC,13,488748.0,4069112
Krilogy Financial LLC,21,17620781.23809524,56199778
"Krueger & Catalano Capital Partners, LLC",5,7625.0,9223
Kuhn & Co Investment Counsel,5,4131108.8,4869340
"Kula Investments, LLC",1,562987.0,562987
"Kure Advisory, LLC",5,1327962.0,1912439
L & S Advisors Inc,21,10800691.333333334,31601239
"L. Roy Papp & Associates, LLP",8,54445532.875,63276268
"L.K. Benson & Company, P.C.",1,811811.0,811811
L.M. KOHN & COMPANY,12,25817022.916666668,43034485
"L2 Asset Management, LLC",21,5493105.19047619,18994928
LA FINANCIERE DE L'ECHIQUIER,19,665308.1578947369,2606212
"LAFFER TENGLER INVESTMENTS, INC.",4,15466473.25,20545117
"LAIRD NORTON TRUST COMPANY, LLC",12,1445538.3333333333,5081036
"LAKE STREET ADVISORS GROUP, LLC",21,13393600.19047619,66078409
LAKE STREET FINANCIAL LLC,17,11028165.11764706,41625437
"LAKE STREET PRIVATE WEALTH, LLC",4,40967199.75,45873202
LANDAAS & CO /WI /ADV,21,2364599.8571428573,7329000
"LANDMARK WEALTH MANAGEMENT, INC.",5,6507904.4,8956021
"LANDSCAPE CAPITAL MANAGEMENT, L.L.C.",15,736343.7333333333,5131825
LANNEBO FONDER AB,6,34232.333333333336,39665
"LATEEF INVESTMENT MANAGEMENT, L.P.",3,265.3333333333333,329
LATHROP INVESTMENT MANAGEMENT CO,1,22643.0,22643
LATHROP INVESTMENT MANAGEMENT CORP,20,8598.9,22438
LAU ASSOCIATES LLC,1,20723.0,20723
LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE,20,1552593.35,5068250
LAZARD ASSET MANAGEMENT LLC,21,1242412.238095238,2997844
"LAZARI CAPITAL MANAGEMENT, INC.",7,33020874.42857143,43944167
LBP AM SA,7,160705107.0,207565876
LCM Capital Management Inc,17,4732011.235294118,11508820
LCNB CORP,20,3030841.55,8272374
"LEAVELL INVESTMENT MANAGEMENT, INC.",21,5979106.428571428,64380403
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,16,596524.25,9370127
LEE DANNER & BASS INC,17,3737524.9411764704,62679298
"LEE JOHNSON CAPITAL MANAGEMENT, LLC",13,5011458.153846154,11311408
"LEGACY FINANCIAL GROUP, INC.",9,7017835.888888889,10033266
"LEGACY SOLUTIONS, LLC",1,844783.0,844783
"LEIGH BALDWIN & CO., LLC",1,10547395.0,10547395
"LEO BROKERAGE, LLC",4,17354772.5,48766079
"LETKO, BROSSEAU & ASSOCIATES INC",8,390.875,1006
"LEUTHOLD GROUP, LLC",19,7201031.421052632,19714243
"LEVEL FOUR ADVISORY SERVICES, LLC",21,45347064.952380955,127113645
"LEVEL FOUR FINANCIAL, LLC",2,11862.0,13327
"LEVIN CAPITAL STRATEGIES, L.P.",1,12158.0,12158
LEVIN EASTERLY PARTNERS LLC,1,9564.0,9564
"LEWIS CAPITAL MANAGEMENT, LLC",8,1913329.5,4327024
LFA - Lugano Financial Advisors SA,16,398315.5625,1286215
LFS ASSET MANAGEMENT,2,3028.0,4249
"LGL PARTNERS, LLC",21,1882530.7142857143,5388641
LGT CAPITAL PARTNERS LTD.,21,3240214.714285714,9598599
LGT Financial Advisors LLC,9,1536903.4444444445,1780000
LGT Group Foundation,1,1754.0,1754
"LIBERTY ONE INVESTMENT MANAGEMENT, LLC",21,1447393.4285714286,5779053
LIBERTY SQUARE WEALTH PARTNERS LLC,1,18087592.0,18087592
LIBERTY WEALTH MANAGEMENT LLC,16,6721659.125,30335223
LIBRA WEALTH LLC,13,3545801.230769231,6636738
"LIFELONG WEALTH ADVISORS, INC.",1,1613022.0,1613022
"LIGHT STREET CAPITAL MANAGEMENT, LLC",3,14938107.666666666,16314415
LINCLUDEN MANAGEMENT LTD,5,3564.8,4349
LINCOLN CAPITAL CORP,21,4721613.761904762,15162499
LINCOLN NATIONAL CORP,13,56259467.307692304,142455844
LITTLE HOUSE CAPITAL LLC,20,7801945.15,26018891
"LITTLEJOHN FINANCIAL SERVICES, INC.",1,2163965.0,2163965
"LJI Wealth Management, LLC",9,13036333.111111112,16649916
LM Advisors LLC,5,4140008.8,20575954
"LMCG INVESTMENTS, LLC",12,45228152.916666664,68456318
"LMG Wealth Partners, LLC",9,14370349.888888888,18396528
LMR Partners LLP,15,124068225.6,761409838
"LOCKERMAN FINANCIAL GROUP, INC.",1,1116.0,1116
LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,21,68874694.66666667,270098004
"LOCUST WOOD CAPITAL ADVISERS, LLC",21,26389746.14285714,94731369
LODESTAR PRIVATE ASSET MANAGEMENT LLC,9,27411381.777777776,37114448
LOEWS CORP,1,338.0,338
LOGAN CAPITAL MANAGEMENT INC,21,35225761.52380952,92894053
LONDON CO OF VIRGINIA,21,290082998.6666667,858258777
LONESTAR CAPITAL MANAGEMENT LLC,1,93200000.0,93200000
LONGFELLOW INVESTMENT MANAGEMENT CO LLC,17,8470.29411764706,20284
"LORD, ABBETT & CO. LLC",21,719482.2857142857,1287828
LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,21,128790818.8095238,357306513
LOS ANGELES CAPITAL MANAGEMENT & EQUITY RESEARCH INC,4,1248487.25,1641476
LOS ANGELES CAPITAL MANAGEMENT LLC,17,880133329.0588236,1927431641
"LOUDON INVESTMENT MANAGEMENT, LLC",3,1903556.6666666667,3094792
LOUISBOURG INVESTMENTS INC.,5,690567.2,1088160
"LOUNTZIS ASSET MANAGEMENT, LLC",6,12501.833333333334,40186
LOWE BROCKENBROUGH & CO INC,21,26821314.95238095,75534193
"LOWERY THOMAS, LLC",12,829604.25,1973754
LPF Advisors LLC,5,589152.6,917289
LPL Financial LLC,21,1364976105.4761906,4922324281
LPWM LLC,21,362935.2380952381,1023964
"LRI Investments, LLC",4,16108883.75,19260794
"LS Investment Advisors, LLC",18,31800594.388888888,80770875
LSV ASSET MANAGEMENT,20,47500.85,110401
LTG Capital LLC,1,204.0,204
LTS One Management LP,1,50549.0,50549
LUCAS CAPITAL MANAGEMENT,5,8393.8,10850
"LUTS & GREENLEIGH GROUP, INC",8,3816054.5,6355582
"LVW Advisors, LLC",21,12107522.19047619,38266184
"LVZ Advisors, Inc.",19,407.05263157894734,891
"LVZ, Inc.",15,2472248.6666666665,6098693
"LWM Advisory Services, LLC",13,4074833.6923076925,8098440
"LWMG, LLC",8,11071823.75,21395546
"LWS Wealth Advisors, Inc.",17,272822.35294117645,1049000
"LYELL WEALTH MANAGEMENT, LP",21,14522116.80952381,46431553
LYNCH & ASSOCIATES/IN,21,3886105.8095238097,11729297
La Banque Postale Asset Management SA,2,115132484.5,125669630
LaFleur & Godfrey LLC,21,23604002.095238097,110715660
"LaSalle St. Investment Advisors, LLC",9,10150.333333333334,37822
"Lafayette Investments, Inc.",21,5405504.19047619,27167402
Laffer Tengler Investments,9,5655740.333333333,7682694
"Laffer Tengler Investments, Inc.",3,6866187.666666667,7805083
Laidlaw Wealth Management LLC,21,8558449.666666666,38530920
"Laird Norton Wetherby Trust Company, LLC",5,21317896.0,25703109
"Laird Norton Wetherby Wealth Management, LLC",5,148242977.2,163785185
"Lake Hills Wealth Management, LLC",13,1821420.8461538462,3220484
Lake Point Wealth Management,7,545.1428571428571,787
Lakeridge Wealth Management LLC,5,6207236.6,7234376
"Lakeshore Capital Group, Inc.",1,2361019.0,2361019
"Lakeshore Financial Planning, Inc.",6,6820374.833333333,8265912
"Lakeside Advisors, INC.",13,1489630.1538461538,2628567
"Lakeview Capital Partners, LLC",9,11911.666666666666,15876
Lakewood Asset Management LLC,9,4924037.888888889,6288342
"Landing Point Financial Group, LLC",1,9137144.0,9137144
Landmark Bank,1,1149.0,1149
"Landmark Financial Advisors, LLC",17,1453156.4117647058,5535003
"Landmark Wealth Management, LLC",11,2729.4545454545455,13300
"Landsberg, Bennett, & Dubbaneh LLC",8,12589.875,21578
Lane & Associates LLC,9,3390581.6666666665,4204958
Lane Generational LLC,13,660645.0,1248845
"Lanham O'Dell & Company, Inc.",13,690367.6923076923,2160842
Lannebo Fonder AB,11,46551.27272727273,55935
Lansing Street Advisors,11,1252906.7272727273,3871178
"Lantern Wealth Advisors, LLC",5,10316961.8,16412684
Lantz Financial LLC,21,2595917.904761905,12532212
Laraway Financial Advisors Inc,12,7240093.583333333,12098775
Laraway Financial Inc,1,9684.0,9684
Larson Financial Group LLC,21,11411540.0,72779988
"Latitude Advisors, LLC",17,1691783.0,4015885
"Latko Wealth Management, Ltd.",2,3276.5,3399
"Lattice Capital Management, LLC",13,8344017.615384615,17888502
"Lauer Wealth, LLC",8,564121.125,606267
Laurel Wealth Advisors LLC,21,11378499.333333334,34058272
"Laurel Wealth Advisors, Inc.",13,46197.92307692308,70114
Laurel Wealth Planning LLC,17,35978.705882352944,601446
Laurion Capital Management LP,21,326899507.28571427,2246851495
Laurus Investment Counsel Inc.,4,282.0,307
"Lauterbach Financial Advisors, LLC",13,1351751.5384615385,2460514
Lavaca Capital LLC,21,4694805.380952381,16438896
LeClair Wealth Partners LLC,1,11930510.0,11930510
LeJeune Puetz Investment Counsel LLC,9,2577501.111111111,12968396
Leading Edge Financial Planning LLC,9,983492.0,1368640
"Lebenthal Global Advisors, LLC",17,2433321.529411765,5765669
"Ledge Wealth Management, Inc.",8,2859344.875,4983509
Ledyard National Bank,21,22947026.04761905,64054181
Lee Capital Holdings LLC,13,404413.53846153844,5197200
Lee Financial Co,21,7129316.666666667,28790235
"Lee Financial Group Hawaii, Inc.",17,108990.0,361172
"Leelyn Smith, LLC",19,3193735.736842105,9096454
"Leeward Financial Partners, LLC",13,5921350.538461538,11431306
"Left Brain Wealth Management, LLC",9,4014600.111111111,7671126
"Legacy Advisors, LLC",21,10595507.904761905,43175164
"Legacy Bridge, LLC",21,894610.0,2364666
"Legacy CG, LLC",13,2999698.3076923075,5438371
"Legacy Capital Group California, Inc.",8,26812111.25,51649198
"Legacy Capital Partners, Inc.",10,22902.5,29444
"Legacy Capital Wealth Partners, LLC",14,2229447.1428571427,6138722
"Legacy Financial Advisors, Inc.",21,6660411.285714285,28959188
Legacy Financial Group LLC,11,426371151.27272725,2797010000
"Legacy Financial Strategies, LLC",21,2320325.523809524,7596123
"Legacy Investment Solutions, LLC",2,762593.0,775536
Legacy Private Trust Co.,21,14831855.666666666,47444823
Legacy Trust,9,20184791.888888888,24030555
"Legacy Wealth Asset Management, LLC",17,2198865.6470588236,5576165
"Legacy Wealth Management, Inc",4,527808.25,820627
"Legacy Wealth Management, LLC / MS",21,10647375.238095239,17320550
"Legacy Wealth Managment, LLC/ID",2,762593.0,775536
"Legacy Wealth Partners, Inc.",7,5765.285714285715,6991
"Legacy Wealth Planning, LLC",12,4181.583333333333,9526
"Legal Advantage Investments, Inc.",9,2374548.888888889,2996275
"Legend Financial Advisors, Inc.",20,846644.05,1998926
Lehman & Derafelo Financial Resources LLC,13,410096.6153846154,5255709
