FILINGMANAGER_NAME,Quarter_Count,Average_Holdings_Per_Quarter,Max_Holdings_Single_Quarter
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",9,14784715.333333334,19549128
"ARGUS INVESTORS' COUNSEL, INC.",21,2555405.523809524,10506371
ARK Investment Management LLC,11,69242.72727272728,349085
"ARKANSAS FINANCIAL GROUP, INC.",19,434237.6842105263,1618878
"ARMOR ADVISORS, L.L.C.",2,1333480.0,2598600
"ARMSTRONG ADVISORY GROUP, INC",9,18236347.555555556,20969015
ARMSTRONG HENRY H ASSOCIATES INC,8,14877482.25,25682115
ARP AMERICAS LP,1,293.0,293
"ARQ WEALTH ADVISORS, LLC",20,1310682.9,5681066
"ARRIEN INVESTMENTS, INC.",1,784760.0,784760
ARROW FINANCIAL CORP,11,4310.272727272727,11848
"ARS Investment Partners, LLC",21,34006189.47619048,94811977
"ARS Wealth Advisors Group, LLC",12,20115799.5,41784865
"ARS Wealth Advisors, LLC",30,9028.3,25307
"ARTHUR M. COHEN & ASSOCIATES, LLC",1,23462.0,23462
"ARVEST INVESTMENTS, INC.",5,3806343.6,4425211
ARVEST TRUST CO N A,11,19420619.0,36060002
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",21,753783737.2857143,15734541000
"ASB Consultores, LLC",12,535529.6666666666,1435513
ASHFORD CAPITAL MANAGEMENT INC,19,392111.2631578947,1014952
"ASHTON THOMAS SECURITIES, LLC",3,8041642.0,9561509
ASPIREON WEALTH ADVISORS,7,5457.0,6712
"ASPIRIANT, LLC",21,24972592.285714287,75161925
ASSET MANAGEMENT CORP /IL/ /ADV,14,1835717.142857143,13832274
ASSET PLANNING CORPORATION,17,633855.0,1589983
ASSET PLANNING SERVICES INC /LA/ /ADV,12,266.0833333333333,353
"ASSETMARK, INC",18,152212903.0,647160651
ASSOCIATED BANC-CORP,1,73598.0,73598
"ATALANTA SOSNOFF CAPITAL, LLC",21,61501386.333333336,346017535
ATHENA CAPITAL ADVISORS LLC,2,18080.5,19956
ATLANTA FINANCIAL ASSOCIATES LLC /ADV,5,2838.0,3549
"ATLANTIC FAMILY WEALTH, LLC",1,1942577.0,1942577
ATLAS CAPITAL ADVISORS INC.,1,19586099.0,19586099
ATLAS CAPITAL ADVISORS LLC,19,9863988.368421054,15577245
ATMOS CAPITAL GESTAO DE RECURSOS LTDA.,6,344889.0,2049906
ATRIA INVESTMENTS LLC,12,58458.25,80674
"ATTICUS WEALTH MANAGEMENT, LLC",21,4748554.047619048,19918877
ATWOOD & PALMER INC,21,10675665.57142857,32183784
"AUA CAPITAL MANAGEMENT, LLC",21,2854941.619047619,8554129
AUGUSTINE ASSET MANAGEMENT INC,21,11127282.42857143,35097866
AUXIER ASSET MANAGEMENT,21,2375108.619047619,6749320
"AVAII WEALTH MANAGEMENT, LLC",4,481315.75,1917493
AVALON CAPITAL MANAGEMENT,5,14682404.6,16125402
"AVANTAX ADVISORY SERVICES, INC.",21,80328917.61904761,300743063
AVENIR CORP,21,24546900.85714286,63430588
AVISO WEALTH MANAGEMENT,5,16664473.6,20172434
AVITY INVESTMENT MANAGEMENT INC.,13,43195525.307692304,84777269
AVIVA PLC,9,188303.44444444444,331264
"AWM CAPITAL, LLC",14,960262.5714285715,1941924
AXIOM INTERNATIONAL INVESTORS LLC /DE,5,106026.0,146748
AXIOM INVESTORS LLC /DE,16,106008265.3125,431679505
"AXQ CAPITAL, LP",7,884654.8571428572,1906047
AXS Investments LLC,16,2509211.75,5626876
"AXXCESS WEALTH MANAGEMENT, LLC",13,56333132.0,125102683
AZZAD ASSET MANAGEMENT INC /ADV,57,13601711.368421054,47403696
Aaron Wealth Advisors,2,9603.5,10044
Aaron Wealth Advisors LLC,14,17586593.785714287,44701586
Abacus FCF Advisors LLC,1,42931754.0,42931754
"Abacus Planning Group, Inc.",21,7902168.666666667,22644368
"Abacus Wealth Partners, LLC",17,6067553.0,15113620
"Abbot Financial Management, Inc.",21,4698682.428571428,14032059
"Abbrea Capital, LLC",19,1585382.105263158,29523880
"Abel Hall, LLC",5,3410318.6,4130732
Aberdeen Wealth Management LLC,21,2513426.6666666665,6978972
Abich Financial Wealth Management LLC,4,451726.25,705420
Able Wealth Management LLC,5,2367544.8,2949657
Abound Wealth Management,13,5074339.384615385,8646326
"Absolute Capital Management, LLC",2,11968.0,20562
Abundance Wealth Counselors,19,7874.368421052632,14282
Accel Wealth Management,17,2811237.294117647,7498854
Accelerate Investment Advisors LLC,2,3207126.5,3605860
"Accent Capital Management, LLC",5,21169465.8,24410057
Access Investment Management LLC,4,107379.0,140100
Accordant Advisory Group Inc,4,676988.0,1825919
Accredited Investors Inc.,21,20000613.714285713,60164810
"Accredited Wealth Management, LLC",1,2385989.0,2385989
"Accretive Wealth Partners, LLC",17,3686239.294117647,12851363
"Accurate Wealth Management, LLC",15,9936265.466666667,24267701
Accuvest Global Advisors,20,2908512.9,25084000
"Ackerman Capital Advisors, LLC",21,468689.4761904762,1440486
"Acorn Wealth Advisors, LLC",21,1507735.238095238,4760142
"Acorns Advisers, LLC",7,2592.714285714286,5429
"Acrisure Capital Management, LLC",1,264537.0,264537
"Acropolis Investment Management, LLC",21,7514243.0,36241342
Act Two Investors LLC,21,7417911.380952381,23421513
"Actinver Wealth Management, Inc.",5,3507.6,4140
Activest Wealth Management,14,7508368.714285715,32151731
Adalta Capital Management LLC,15,430619.86666666664,1456489
"Adams Asset Advisors, LLC",21,8159809.80952381,23545991
Adams Chetwood Wealth Management LLC,10,2349.2,3151
Adams Wealth Management,21,986897.5238095238,3353889
"Adaptive Financial Consulting, LLC",18,227720.05555555556,532674
Addenda Capital Inc.,21,12040376.57142857,37699729
Addison Advisors LLC,16,2672187.9375,5314053
Addison Capital Co,21,1300117.5238095238,6184810
"Adero Partners, LLC",7,22508078.85714286,33534500
Adirondack Research & Management Inc.,2,209.5,211
"Advance Capital Management, Inc.",13,3997616.076923077,8484694
Advanced Asset Management Advisors Inc,21,4202997.952380952,12771420
"Advanced Portfolio Management, LLC",8,4311848.375,5629979
Advantage Trust Co,5,142157.4,194076
Adviser Investments LLC,16,12229334.75,58516845
"Advisor OS, LLC",19,10392022.0,39385277
Advisor Resource Council,15,5150781.533333333,21250863
"AdvisorNet Financial, Inc",21,13255162.142857144,42368942
AdvisorShares Investments LLC,11,254374.9090909091,562707
"Advisors Asset Management, Inc.",19,51443242.94736842,133823697
"Advisors Capital Management, LLC",20,12938509.45,256526284
"Advisory Alpha, LLC",20,7811384.55,29795733
Advisory Resource Group,21,1844965.5714285714,6158866
"Advisory Services & Investments, LLC",8,436944.875,685544
"Advisory Services Network, LLC",20,62120769.4,210440855
"Advocacy Wealth Management Services, LLC",14,43430.78571428572,368737
"Aevitas Wealth Management, Inc.",13,599223.9230769231,7685012
"Affiance Financial, LLC",21,4177689.761904762,12933390
