ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001582202-20-000003,7301533,META FINL GROUP INC,COM,59100U108,,1328,73100,SH,,SOLE,,73100,0,0,meta finl group inc,Swiss National Bank,30-JUN-2020,,2020-06-30
0000810265-20-000004,16692899,META FINANCIAL GROUP INC ,Common Stock,59100U108,,1096,60318,SH,,SOLE,,60318,0,0,meta financial group inc ,NEW YORK STATE COMMON RETIREMENT FUND,30-JUN-2020,,2020-06-30
0000810265-20-000004,16691745,COMMERCIAL METALS COMPANY,Common Stock,201723103,,5318,260700,SH,,SOLE,,260700,0,0,commercial metals company,NEW YORK STATE COMMON RETIREMENT FUND,30-JUN-2020,,2020-06-30
0000810265-20-000004,16691145,A-MARK PRECIOUS METALS IN,Common Stock,00181T107,,99,5200,SH,,SOLE,,5200,0,0,a-mark precious metals in,NEW YORK STATE COMMON RETIREMENT FUND,30-JUN-2020,,2020-06-30
0001580642-21-004473,4992089,SILVERCREST METALS INC,COM,828363101,,81,9230,SH,,SOLE,,0,0,9230,silvercrest metals inc,"CWM, LLC",30-JUN-2020,,2020-06-30
0001085146-20-002091,10557807,SILVERCREST METALS INC,COM,828363101,,11,11500,SH,Put,SOLE,,11500,0,0,silvercrest metals inc,"HAP Trading, LLC",30-JUN-2020,,2020-06-30
0000919192-20-000005,9882806,KENNEMETAL INC                                                                  ,COM,489170100,,227,7907,SH,,SOLE,,7241,0,666,kennemetal inc                                                                  ,AMALGAMATED BANK,30-JUN-2020,,2020-06-30
0000919192-20-000005,9883317,COMMERCIAL METALS CO                                                            ,COM,201723103,,231,11321,SH,,SOLE,,10364,0,957,commercial metals co                                                            ,AMALGAMATED BANK,30-JUN-2020,,2020-06-30
0001655789-20-000005,13752070,COMMERCIAL METALS COC,OM,201723103,,501,24537,SH,,SOLE,,24537,0,0,commercial metals coc,Teza Capital Management LLC,30-JUN-2020,,2020-06-30
0001348183-20-000003,41569863,Wheaton Precious Metal  ,COM      ,962879102,,31,700,SH,,SOLE,,0,0,700,wheaton precious metal  ,"AlphaMark Advisors, LLC",30-JUN-2020,,2020-06-30
0001214659-20-006923,17370971,ETFS PRECIOUS METALS BASKET,PHYS PM BSKT,375558103,,12911,139338,SH,,SOLE,,0,0,139338,etfs precious metals basket,"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",30-JUN-2020,,2020-06-30
0001325447-20-000024,8344062,WHEATON PRECIOUS METALS CORP,COM,962879102,,960495,21804654,SH,,SOLE,,20656348,0,1148306,wheaton precious metals corp,"First Eagle Investment Management, LLC",30-JUN-2020,,2020-06-30
0001080107-20-000003,17368694,WHEATON PRECIOUS METALS CORP,COM,962879102,,206,4672,SH,,SOLE,0,4672,0,0,wheaton precious metals corp,D.A. DAVIDSON & CO.,30-JUN-2020,,2020-06-30
0001214659-20-006918,10177288,TRILOGY METALS INC NEW,COM,89621C105,,0,4,SH,,SOLE,,4,0,0,trilogy metals inc new,"MARK SHEPTOFF FINANCIAL PLANNING, LLC",30-JUN-2020,,2020-06-30
0001214659-20-006918,10177322,WHEATON PRECIOUS METALS CORP,COM,962879102,,22,500,SH,,SOLE,,500,0,0,wheaton precious metals corp,"MARK SHEPTOFF FINANCIAL PLANNING, LLC",30-JUN-2020,,2020-06-30
