ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001398344-24-014597,104434401,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,13592082,13290,SH,,SOLE,,1085,0,12205,asml holding n v,UNIO CAPITAL LLC,30-JUN-2024,,2024-06-30
0001398344-24-014598,104578158,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,253637,248,SH,,SOLE,,0,0,248,asml holding n v,MATRIX PRIVATE CAPITAL GROUP LLC,30-JUN-2024,,2024-06-30
0001696497-24-000005,104697612,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,42007,41,SH,,SOLE,,0,0,41,asml holding n v,"Stone House Investment Management, LLC",30-JUN-2024,,2024-06-30
0002011314-24-000004,104612951,ASML HOLDING N V N Y REGISTRY SHS,REGISTRY SHS,N07059210,,299,292,SH,,SOLE,,292,0,0,asml holding n v n y registry shs,LM Advisors LLC,30-JUN-2024,,2024-06-30
0001085146-24-003837,104737669,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,14266,12,SH,,SOLE,,12,0,0,asml holding n v,BANK OF NOVA SCOTIA,30-JUN-2024,,2024-06-30
0000897101-24-000370,104366653,ASML HOLDING NV,NY REG SHRS,N07059210,,9208,9003,SH,,SOLE,1,9003,0,0,asml holding nv,SIT INVESTMENT ASSOCIATES INC,30-JUN-2024,,2024-06-30
0001398344-24-014590,104700959,ASML HOLDING N V N Y REGISTRY SHS,ADR,N07059210,,2697,3,SH,,SOLE,,2,0,0,asml holding n v n y registry shs,Colonial Trust Co / SC,30-JUN-2024,,2024-06-30
0001172661-24-003365,104497408,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,67011315,65522,SH,,SOLE,,65522,0,0,asml holding n v,"Two Creeks Capital Management, LP",30-JUN-2024,,2024-06-30
0001398344-24-014588,104720442,ASML HOLDING N V N Y REGISTRY SHS,ADR,N07059210,,20455,20,SH,,SOLE,,20,0,0,asml holding n v n y registry shs,Colonial Trust Advisors,30-JUN-2024,,2024-06-30
0001172661-24-003361,104373343,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,92046,90,SH,,SOLE,,90,0,0,asml holding n v,EVERGREEN CAPITAL MANAGEMENT LLC,30-JUN-2024,,2024-06-30
0001214659-24-014413,104617343,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,Equity,N07059210,,3249362,3177,SH,,SOLE,,0,0,3249362,asml holding nv eur0.09 ny registry shs 2012,"BECK CAPITAL MANAGEMENT, LLC",30-JUN-2024,,2024-06-30
0001454027-24-000003,104180283,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,16803454,16430,SH,,SOLE,,16430,0,0,asml holding n v,Verition Fund Management LLC,30-JUN-2024,,2024-06-30
0001454027-24-000003,104180281,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3477282,3400,SH,Call,SOLE,,3400,0,0,asml holding n v,Verition Fund Management LLC,30-JUN-2024,,2024-06-30
0001765380-24-000305,103515219,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,462274,452,SH,,SOLE,0,0,0,452,asml holding n v,Hardy Reed LLC,30-JUN-2024,,2024-06-30
0001140334-24-000005,104308524,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,14394568,14075,SH,,SOLE,,8804,0,5271,asml holding n v,FLPUTNAM INVESTMENT MANAGEMENT CO,30-JUN-2024,,2024-06-30
0001791965-24-000006,104258730,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1469088,1436,SH,,SOLE,0,0,0,1436,asml holding n v,"Kingsview Wealth Management, LLC",30-JUN-2024,,2024-06-30
0000932540-24-000007,104504865,ASML HOLDING N V,N Y REGISTRY SHS,N07059900,,45409212,44400,SH,Call,SOLE,,44400,0,0,asml holding n v,"GROUP ONE TRADING, L.P.",30-JUN-2024,,2024-06-30
0000932540-24-000007,104504866,ASML HOLDING N V,N Y REGISTRY SHS,N07059950,,32829633,32100,SH,Put,SOLE,,32100,0,0,asml holding n v,"GROUP ONE TRADING, L.P.",30-JUN-2024,,2024-06-30
0001140361-24-037288,104176863,ASML HOLDING N V N Y REGISTRY SHS,NY REGISTRY SHS,N07059210,,2083301,2037,SH,,SOLE,,1372,0,665,asml holding n v n y registry shs,Fiduciary Trust Co,30-JUN-2024,,2024-06-30
0001512805-24-000022,104578147,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1852164,1811,SH,,SOLE,,1811,0,0,asml holding n v,"NFJ INVESTMENT GROUP, LLC",30-JUN-2024,,2024-06-30
0001992110-24-000006,104256722,ASML HOLDING NV NY REGISTRY,NY REG SH,N07059210,,7306805,7144,SH,,SOLE,,6390,0,754,asml holding nv ny registry,"Ramirez Asset Management, Inc.",30-JUN-2024,,2024-06-30
0002029317-24-000032,104532780,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,47046,46,SH,,SOLE,0,46,0,0,asml holding n v,"Glen Eagle Advisors, LLC",30-JUN-2024,,2024-06-30
0000749044-24-000004,104605035,ASML HOLDING NV,Ordinary Share,N07059210,,26,25,SH,,SOLE,,25,0,0,asml holding nv,RESOURCES MANAGEMENT CORP /CT/ /ADV,30-JUN-2024,,2024-06-30
0001567619-24-000364,104413643,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1,1,SH,,SOLE,,0,0,1,asml holding n v,"Transamerica Financial Advisors, Inc.",30-JUN-2024,,2024-06-30
0002000324-24-002095,104611173,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,3435350,3359,SH,,SOLE,,3339,0,20,asml holding n v,"Advisors Asset Management, Inc.",30-JUN-2024,,2024-06-30
0001398344-24-014672,104264932,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,438751,429,SH,,SOLE,,0,0,429,asml holding n v,"New Republic Capital, LLC",30-JUN-2024,,2024-06-30
0001398344-24-014668,104579599,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,5021604,4910,SH,,SOLE,,0,0,4910,asml holding n v,"Faithward Advisors, LLC",30-JUN-2024,,2024-06-30
0001062993-24-015050,104722817,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,9715935,9500,SH,,SOLE,,9500,0,0,asml holding n v,Polar Asset Management Partners Inc.,30-JUN-2024,,2024-06-30
0000826794-24-000003,104575640,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,511365,500,SH,,SOLE,,500,0,0,asml holding n v,CAMPBELL CAPITAL MANAGEMENT INC,30-JUN-2024,,2024-06-30
0000950123-24-008707,104567102,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1652407,1600,SH,Call,SOLE,,1600,0,0,asml holding n v,Balyasny Asset Management L.P.,30-JUN-2024,,2024-06-30
0000950123-24-008707,104567103,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,17866655,17300,SH,Put,SOLE,,17300,0,0,asml holding n v,Balyasny Asset Management L.P.,30-JUN-2024,,2024-06-30
0000950123-24-008707,104567104,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,195103134,190767,SH,,SOLE,,190767,0,0,asml holding n v,Balyasny Asset Management L.P.,30-JUN-2024,,2024-06-30
0001666905-24-000006,104310135,ASML HOLDING N V,CALL,N07059900,,10125027,9900,SH,Call,SOLE,,9900,0,0,asml holding n v,GARDA CAPITAL PARTNERS LP,30-JUN-2024,,2024-06-30
0001666905-24-000006,104310136,ASML HOLDING N V,PUT,N07059950,,8284113,8100,SH,Put,SOLE,,8100,0,0,asml holding n v,GARDA CAPITAL PARTNERS LP,30-JUN-2024,,2024-06-30
0001912584-24-000003,104684112,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,172842,169,SH,,SOLE,,50,0,119,asml holding n v,Tyler-Stone Wealth Management,30-JUN-2024,,2024-06-30
0001752724-24-174625,104698397,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1943187,1900,SH,Call,SOLE,,1900,0,0,asml holding n v,"CAPSTONE INVESTMENT ADVISORS, LLC",30-JUN-2024,,2024-06-30
0001752724-24-174625,104698888,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,14215947,13900,SH,Put,SOLE,,13900,0,0,asml holding n v,"CAPSTONE INVESTMENT ADVISORS, LLC",30-JUN-2024,,2024-06-30
0001752724-24-174625,104699166,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1377617,1347,SH,,SOLE,,1347,0,0,asml holding n v,"CAPSTONE INVESTMENT ADVISORS, LLC",30-JUN-2024,,2024-06-30
0001398344-24-014660,104177815,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,416251,407,SH,,SOLE,,0,0,407,asml holding n v,AlphaCore Capital LLC,30-JUN-2024,,2024-06-30
