REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,HIMENSION CAPITAL (SINGAPORE) PTE. LTD.,320803501
31-DEC-2024,"HF Advisory Group, LLC",2206359
31-DEC-2024,"HFG Wealth Management, LLC",204030
31-DEC-2024,"HHM Wealth Advisors, LLC",2477495
31-DEC-2024,"HIGHLAND CAPITAL MANAGEMENT, LLC",46135329
31-DEC-2024,HIGHLINE WEALTH PARTNERS LLC,23194132
31-DEC-2024,HILL ISLAND FINANCIAL LLC,1371720
31-DEC-2024,"HILLTOP WEALTH ADVISORS, LLC",663903
31-DEC-2024,"Guardian Financial Partners, LLC",1343842
31-DEC-2024,"Guardian Asset Advisors, LLC",7237022
31-DEC-2024,Gryphon Financial Partners LLC,11776404
31-DEC-2024,"Graham Capital Management, L.P.",27100259
31-DEC-2024,Goepper Burkhardt LLC,1714021
31-DEC-2024,Gold Investment Management Ltd.,331696
31-DEC-2024,Golden State Equity Partners,26854920
31-DEC-2024,"Golden State Wealth Management, LLC",11567171
31-DEC-2024,"Goldstein Advisors, LLC",5494612
31-DEC-2024,"Goldstone Financial Group, LLC",3386027
31-DEC-2024,Goldstream Capital Management Ltd,32687334
31-DEC-2024,"Good Life Advisors, LLC",53053500
31-DEC-2024,"Goodman Advisory Group, LLC",13186655
31-DEC-2024,Goodman Financial Corp,441277
31-DEC-2024,Gordian Advisors LLC,318568
31-DEC-2024,Gordian Capital Singapore Pte Ltd,27699428
31-DEC-2024,"Gotham Asset Management, LLC",270597707
31-DEC-2024,"Gould Capital, LLC",1424820
31-DEC-2024,Gouws Capital LLC,691594
31-DEC-2024,Governors Lane LP,23500750
31-DEC-2024,"Gradient Capital Advisors, LLC",3833778
31-DEC-2024,"Goelzer Investment Management, Inc.",13632586
31-DEC-2024,GoalVest Advisory LLC,3487108
31-DEC-2024,"GoalFusion Wealth Management, LLC",732999
31-DEC-2024,"Global Endowment Management, LP",17570772
31-DEC-2024,Gladstone Institutional Advisory LLC,51061453
31-DEC-2024,Glass Jacobson Investment Advisors llc,2797904
31-DEC-2024,Glass Wealth Management Co LLC,7440606
31-DEC-2024,"Gleason Group, Inc.",57533
31-DEC-2024,"Glen Eagle Advisors, LLC",22790143
31-DEC-2024,Glenview Trust co,444783923
31-DEC-2024,"Global Assets Advisory, LLC",11098317
31-DEC-2024,"Global Financial Private Client, LLC",2678683
31-DEC-2024,"Global X Japan Co., Ltd.",44348332
31-DEC-2024,"Global Retirement Partners, LLC",67716005
31-DEC-2024,"Global Strategic Investment Solutions, LLC",2753541
31-DEC-2024,"Global Trust Asset Management, LLC",1568484
31-DEC-2024,Global View Capital Management LLC,1158622
31-DEC-2024,"Global Wealth Management Investment Advisory, Inc.",12424124
31-DEC-2024,"Global Wealth Management, LLC",300188
31-DEC-2024,Global Wealth Strategies & Associates,1454790
31-DEC-2024,Gradient Investments LLC,87636614
31-DEC-2024,Grand Alliance Asset Management Ltd,22560720
31-DEC-2024,"Gruss & Co., LLC",1074320
31-DEC-2024,Grandview Asset Management LLC,52396
31-DEC-2024,"Great Point Wealth Advisors, LLC",365135
31-DEC-2024,Great Waters Wealth Management,5438769
31-DEC-2024,"Greater Midwest Financial Group, LLC",514088
31-DEC-2024,"Green Alpha Advisors, LLC",1626833
31-DEC-2024,Greencape Capital Pty Ltd,155087627
31-DEC-2024,Greenfield Savings Bank,4869355
31-DEC-2024,Greenland Capital Management LP,9996413
31-DEC-2024,"Greenline Partners, LLC",144630
31-DEC-2024,"Greenspring Advisors, LLC",793923
31-DEC-2024,Greenwich Wealth Management LLC,61385
31-DEC-2024,"Grey Fox Wealth Advisors, LLC",951059
31-DEC-2024,"Greykasell Wealth Strategies, Inc.",2443541
31-DEC-2024,"Greystone Financial Group, LLC",4472575
31-DEC-2024,"Griffith & Werner, Inc.",3224283
31-DEC-2024,"Ground Swell Capital, LLC",751755
31-DEC-2024,Grove Bank & Trust,10997411
31-DEC-2024,"Grove Street Fiduciary, LLC",758921
31-DEC-2024,"Great Lakes Retirement, Inc.",41607412
31-DEC-2024,"Great Diamond Partners, LLC",5497295
31-DEC-2024,Graypoint LLC,57113068
31-DEC-2024,Grant Private Wealth Management Inc,7782911
31-DEC-2024,"Graney & King, LLC",581776
31-DEC-2024,"Grange Capital, LLC",3374859
31-DEC-2024,"Granite Bay Wealth Management, LLC",1720
31-DEC-2024,Granite FO LLC,47002
31-DEC-2024,"Granite Group Advisors, LLC",700591
31-DEC-2024,"Granite Harbor Advisors, Inc.",6460676
31-DEC-2024,"Granite Investment Partners, LLC",42941510
31-DEC-2024,"Grant Street Asset Management, Inc.",526394
31-DEC-2024,Gray Wealth Management Inc.,1686021
31-DEC-2024,"Grant/GrossMendelsohn, LLC",3169646
31-DEC-2024,"Grantham, Mayo, Van Otterloo & Co. LLC",13829453
31-DEC-2024,Grantvest Financial Group LLC,889581
31-DEC-2024,Graphene Investments SAS,5425316
31-DEC-2024,Grassi Investment Management,446594
31-DEC-2024,"Gratus Wealth Advisors, LLC",7792043
31-DEC-2024,"Graves Light Lenhart Wealth, Inc.",752695
31-DEC-2024,Flagstone Financial Management,463494
31-DEC-2024,Five Oceans Advisors,6277655
31-DEC-2024,"Duncan Williams Asset Management, LLC",1253410
31-DEC-2024,"Emerald Advisors, LLC",1926808
31-DEC-2024,"Empirical Asset Management, LLC",6801230
31-DEC-2024,"Empirical Finance, LLC",116299840
31-DEC-2024,"Empirical Financial Services, LLC d.b.a. Empirical Wealth Management",85752958
31-DEC-2024,Employees Retirement System of Texas,52875386
31-DEC-2024,"Empower Advisory Group, LLC",373396279
31-DEC-2024,"Empowered Funds, LLC",9416549
31-DEC-2024,Emprise Bank,5469632
31-DEC-2024,Enclave Advisors LLC,9361775
31-DEC-2024,Encompass More Asset Management,3246335
31-DEC-2024,Engineers Gate Manager LP,14713350
31-DEC-2024,Enhancing Capital LLC,5170165
31-DEC-2024,"Ensign Peak Advisors, Inc",3318285086
31-DEC-2024,Enterprise Bank & Trust Co,14358153
31-DEC-2024,"Entropy Technologies, LP",12415782
31-DEC-2024,"EntryPoint Capital, LLC",388635
31-DEC-2024,"Envestnet Portfolio Solutions, Inc.",160477194
31-DEC-2024,"Equita Financial Network, Inc.",839607
31-DEC-2024,"Empire Financial Management Company, LLC",2411064
31-DEC-2024,Embree Financial Group,10961996
31-DEC-2024,Elemental Capital Partners LLC,6646818
31-DEC-2024,"Elyxium Wealth, LLC",4289862
31-DEC-2024,"Elevate Capital Advisors, LLC",272770
31-DEC-2024,"Elevated Capital Advisors, LLC",3006907
31-DEC-2024,"Eley Financial Management, Inc",8422132
31-DEC-2024,Elgethun Capital Management,670562
31-DEC-2024,Elios Financial Group Inc.,638922
31-DEC-2024,Elite Life Management LLC,1876181
31-DEC-2024,"Elite Wealth Management, Inc.",57980134
31-DEC-2024,"Elk River Wealth Management, LLC",6759488
31-DEC-2024,Ellenbecker Investment Group,2616385
31-DEC-2024,"Ellevest, Inc.",3907973
31-DEC-2024,"Ellis Investment Partners, LLC",1051383
31-DEC-2024,"Ellsworth Advisors, LLC",10609430
31-DEC-2024,"Elm3 Financial Group, LLC",7364252
31-DEC-2024,"Elmwood Wealth Management, Inc.",2706307
31-DEC-2024,Elo Mutual Pension Insurance Co,303683943
31-DEC-2024,"Elser Financial Planning, Inc",1634455
31-DEC-2024,"Elwood & Goetz Wealth Advisory Group, LLC",403139
31-DEC-2024,"Erickson Financial Group, LLC",281338
31-DEC-2024,Erste Asset Management GmbH,407868220
31-DEC-2024,"Essential Planning, LLC.",12300379
31-DEC-2024,Essex LLC,4505654
31-DEC-2024,"Executive Wealth Management, LLC",24875997
31-DEC-2024,"Exeter Financial, LLC",347543
31-DEC-2024,"ExodusPoint Capital Management, LP",435422
31-DEC-2024,"F&V Capital Management, LLC",233
31-DEC-2024,F/M Investments LLC,92250739
31-DEC-2024,FACTORY MUTUAL INSURANCE CO,399129755
31-DEC-2024,"FAGAN ASSOCIATES, INC.",22091787
31-DEC-2024,"FAIRFIELD, BUSH & CO.",2092911
31-DEC-2024,"FAIRVIEW CAPITAL INVESTMENT MANAGEMENT, LLC",1308709
31-DEC-2024,FARMERS & MERCHANTS INVESTMENTS INC,8928674
31-DEC-2024,FARMERS & MERCHANTS TRUST Co OF LONG BEACH,1620343
31-DEC-2024,FARMERS TRUST CO,861605
31-DEC-2024,"FAS Wealth Partners, Inc.",17738923
31-DEC-2024,FC Advisory LLC,277445
31-DEC-2024,FCA CORP /TX,1695143
31-DEC-2024,FCG Investment Co,9381768
31-DEC-2024,"FDx Advisors, Inc.",3889
31-DEC-2024,Exchange Bank,1601812
31-DEC-2024,"Evolution Wealth Advisors, LLC",2277968
31-DEC-2024,"Everstar Asset Management, LLC",980720
31-DEC-2024,"Evanson Asset Management, LLC",6865325
31-DEC-2024,Essex Savings Bank,371979
31-DEC-2024,Estabrook Capital Management,2610598
31-DEC-2024,"Estate Counselors, LLC",3741319
31-DEC-2024,"Etesian Wealth Advisors, Inc.",3226854
31-DEC-2024,Ethic Inc.,285560967
31-DEC-2024,"Ethos Financial Group, LLC",4311935
31-DEC-2024,Eukles Asset Management,18467138
31-DEC-2024,"EverSource Wealth Advisors, LLC",23585975
31-DEC-2024,"Evernest Financial Advisors, LLC",9064600
31-DEC-2024,"Evercore Wealth Management, LLC",280780381
31-DEC-2024,Everest Management Corp.,2198193
31-DEC-2024,"Evergreen Advisors, LLC",412136
31-DEC-2024,Evergreen Private Wealth LLC,132736
31-DEC-2024,"Evergreen Wealth Management, LLC",1323478
31-DEC-2024,"Evergreen Wealth Solutions, LLC",6595354
31-DEC-2024,"Everhart Financial Group, Inc.",26661608
31-DEC-2024,"Elequin Capital, LP",118227842
31-DEC-2024,"Element Wealth, LLC",491380
31-DEC-2024,Fisher Funds Management LTD,37806488
31-DEC-2024,EFG Asset Management (North America) Corp.,23672379
31-DEC-2024,EHRLICH FINANCIAL GROUP,432953
31-DEC-2024,"EIGHT 31 FINANCIAL, LLC",1366804
31-DEC-2024,EJF Capital LLC,268580
31-DEC-2024,"ELCO Management Co., LLC",2761271
31-DEC-2024,"ELEMENT POINTE ADVISORS, LLC",12546312
31-DEC-2024,"ELEVATE WEALTH ADVISORY, INC",609696
31-DEC-2024,"ELEVATION WEALTH PARTNERS, LLC",1589848
31-DEC-2024,ELEVATUS WELATH MANAGEMENT,19768049
31-DEC-2024,ELKHORN PARTNERS LIMITED PARTNERSHIP,40
31-DEC-2024,ELLERSON GROUP INC /ADV,17390701
31-DEC-2024,EMC Capital Management,2552
31-DEC-2024,"EMERALD ADVISERS, LLC",9387998
31-DEC-2024,EMERALD MUTUAL FUND ADVISERS TRUST,2750259
31-DEC-2024,EMORY UNIVERSITY,439397
31-DEC-2024,"ENCOMPASS WEALTH ADVISORS, LLC",1652151
31-DEC-2024,"ENDEAVOR PRIVATE WEALTH, INC.",1745770
31-DEC-2024,"ENTREWEALTH, LLC",593025
31-DEC-2024,EHP Funds Inc.,2282930
31-DEC-2024,EFG Asset Management (Americas) Corp.,16371094
31-DEC-2024,Elefante Mark B,3571443
31-DEC-2024,EDMOND DE ROTHSCHILD HOLDING S.A.,179542238
31-DEC-2024,"Dupree Financial Group, LLC",220813
31-DEC-2024,Dynamic Advisor Solutions LLC,49328146
31-DEC-2024,Dynamic Technology Lab Private Ltd,1725000
31-DEC-2024,"Dynamic Wealth Strategies, LLC",361912
31-DEC-2024,"Dynasty Wealth Management, LLC",345052
31-DEC-2024,"E Fund Management (Hong Kong) Co., Ltd.",108
31-DEC-2024,"E&G Advisors, LP",5822412
31-DEC-2024,E. Ohman J:or Asset Management AB,282119118
31-DEC-2024,EADS & HEALD WEALTH MANAGEMENT,7033
31-DEC-2024,EAGLE GLOBAL ADVISORS LLC,46972650
31-DEC-2024,"EAGLE ROCK INVESTMENT COMPANY, LLC",202013
31-DEC-2024,EAGLE WEALTH STRATEGIES LLC,1295389
31-DEC-2024,EARNEST PARTNERS LLC,1511165
31-DEC-2024,EASTERN BANK,213188498
31-DEC-2024,ECLECTIC ASSOCIATES INC /ADV,2858545
31-DEC-2024,ECOFI INVESTISSEMENTS SA,124422
31-DEC-2024,EDGEWOOD MANAGEMENT LLC,2296377129
31-DEC-2024,ENVESTNET ASSET MANAGEMENT INC,2754147935
31-DEC-2024,ENZI WEALTH,2387240
31-DEC-2024,"EP Wealth Advisors, LLC",191763297
31-DEC-2024,EPG Wealth Management LLC,13809459
31-DEC-2024,"EXENCIAL WEALTH ADVISORS, LLC",31456785
31-DEC-2024,Eagle Bay Advisors LLC,1407487
31-DEC-2024,Eagle Bluffs Wealth Management LLC,8309865
31-DEC-2024,Eagle Ridge Investment Management,217281
