FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
Compass Wealth Management LLC,,,,,,,,,,,,inf,25.58,119.37,-50.66,16.56,16.42,15.04,-2.41,-3.35
"Compound Global Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
"Comprehensive Financial Consultants Institutional, Inc.",,,,,,,,inf,-4.07,-6.96,3.36,105588.39,32.27,14.67,-4.45,21.78,14.62,7.95,-5.42,0.12
"Comprehensive Financial Planning, Inc./PA",,,,,,,,,,,,,,,,,,,,inf
"Comprehensive Wealth Management, LLC",,,,inf,2.42,-0.64,2.97,29.56,-34.95,-15.39,-5.77,164.74,13.46,18.15,-8.4,15.28,-2.16,1.47,-3.63,2.2
"Compton Financial Group, LLC",,,,inf,9.47,14.9,3.97,16.3,-10.73,-11.63,-9.43,102969.01,29.99,18.14,-7.26,21.78,5.16,6.25,-3.71,-2.03
"Compton Wealth Advisory Group, LLC",,26.3,4.25,12.33,9.24,15.22,0.88,24.98,-5.94,-19.45,-8.61,102493.77,28.88,12.54,-9.31,13.14,16.51,9.15,0.6,1.45
"Concentric Capital Strategies, LP",,,,,,,,,inf,-100.0,,inf,-100.0,inf,58.55,53.51,30.19,-32.84,51.48,-55.23
Concentrum Wealth Management,,28.97,3.28,5.89,6.7,14.84,5.7,44.38,-5.95,-16.71,96.69,111067.67,16.3,21.6,0.36,208.18,-37.11,8.9,0.17,1.81
"Concord Asset Management, LLC/VA",,,,,,,,inf,-6.51,-15.6,-9.42,19.76,94.91,23.16,6.75,52.51,29.64,-7.52,9.75,1.91
Concord Investment Counsel Inc.,,,,,,,,,,,,,,,,,inf,-100.0,,
Concord Wealth Partners,,,,inf,25.73,14.99,-25.92,88.59,-3.33,-2.13,-10.13,83340.71,26.37,48.07,108.6,35.03,-33.17,10.27,3.28,2.87
"Concorde Asset Management, LLC",,17.35,6.58,-38.87,64.34,-15.48,8.62,-40.0,81.54,-56.68,71.1,102534.39,-32.11,121.79,1.61,28.3,10.07,3.11,3.21,-5.54
Concorde Financial Corp,,,,,,,,inf,-33.17,-100.0,inf,99894.59,-10.14,3.25,-82.62,523.17,-80.62,458.03,-4.48,-1.84
"Concurrent Investment Advisors, LLC",,,,,,,,,,,,,,,,inf,11.43,40.17,-0.35,2.0
"Conestoga Capital Advisors, LLC",,29.06,2.22,6.72,-11.82,14.18,4.04,20.35,-8.3,-16.68,-9.36,83983.35,18.69,18.12,-7.87,19.09,3.22,-1.09,-3.73,-2.05
Confluence Wealth Management LLC,,28.74,-32.42,-100.0,,,,,,,,,,,,,,,,
"Confluence Wealth Services, Inc.",,,,,,,,inf,-8.75,-100.0,inf,102482.46,27.71,18.99,-5.35,24.66,15.7,14.62,-10.26,3.75
Congress Park Capital LLC,,40.33,-1.54,3.03,5.63,13.62,2.03,17.1,0.68,-14.25,-8.23,103986.24,-5.12,17.43,-6.92,26.43,-0.93,5.28,-5.9,-3.45
Congress Wealth Management LLC / DE /,,,,,,,,,,inf,-8.21,-100.0,inf,-100.0,,,,inf,-100.0,
"Connecticut Wealth Management, LLC",,32.48,62.98,11.58,6.46,-16.78,26.41,10.27,-12.38,-8.86,-3.33,111456.55,25.06,39.76,37.13,54.4,12.46,7.63,-1.97,-0.73
"Connective Capital Management, LLC",,,,,,,,,,,,inf,20.22,18.12,-7.28,19.09,123.76,-13.85,-52.79,3.73
"Connective Portfolio Management, LLC",,,,,,,,inf,-59.96,66.61,-54.66,102878.06,102.39,-31.71,-7.27,56.62,11.88,-24.06,-5.88,0.29
"Connectus Wealth, LLC",,,,,,,,inf,-17.22,63.75,-4.76,91098.16,-9.53,28.2,-9.81,20.95,-49.19,-100.0,,
Connolly Sarah T.,,,,inf,5.51,15.81,1.4,75.6,-5.68,-15.0,-10.54,104640.86,22.82,17.51,-17.51,-96.14,-100.0,,,
"Connor, Clark & Lunn Investment Management Ltd.",,40.94,19.8,5.8,2.26,11.55,-11.44,27.41,-23.97,-35.13,-16.02,96738.17,33.41,101.24,-11.53,6.92,5.7,19.3,-50.03,-0.8
"Conrad Siegel Investment Advisors, Inc.",,,,,,,,inf,9.62,-16.85,-27.3,88865.44,2.52,55.41,18.49,28.72,-10.16,6.23,-1.8,-0.87
"Conservest Capital Advisors, Inc.",,21.74,25.97,6.44,5.33,15.17,-1.0,19.96,-8.74,-7.0,-100.0,inf,20.29,27.06,-7.76,18.17,13.68,0.0,0.0,-3.3
"Consilium Wealth Advisory, LLC",,,,,,,,inf,-12.55,-9.95,-3.07,89014.46,19.2,39.79,-3.8,26.22,15.13,8.63,-0.99,-2.79
Consolidated Investment Group LLC,,110.87,3.34,91.92,5.99,39.51,4.07,19.29,4.59,-3.82,2.83,2.96,20.22,18.12,-15.49,8.31,11.87,6.24,-3.72,-2.04
Consolidated Planning Corp,,24.65,3.39,6.67,9.63,12.9,4.47,20.52,-6.11,926.4,-10.94,107119.58,10.52,22.34,-6.54,18.82,-36.72,14.06,2.06,13.09
Consolidated Portfolio Review Corp,,,,,,,,,,,,,inf,18.81,-8.98,13.59,-7.83,13.72,-29.89,118.34
Constant Guidance Financial LLC,,,,,,,,,,,,,,,inf,204.02,30.35,90.34,-56.17,-9.71
Constitution Capital LLC,,,,inf,20.85,27.88,-14.18,37.25,-25.48,-22.85,-9.25,98715.49,15.68,17.45,-10.87,42.11,15.49,10.11,-8.57,-4.64
Consulta Ltd,,inf,-100.0,,,,,,,,inf,71155.68,20.22,18.12,-7.28,19.09,11.88,6.23,11.3,22.44
"Continuum Advisory, LLC",,44.04,62.22,15.39,109.12,142143.28,7.95,16.44,25.87,2.59,-3.75,104.17,21.21,19.76,-55.35,12.18,-2.8,8.41,3.83,-0.81
Contour Asset Management LLC,,,,,,,,,,,,,inf,183.61,-33.87,330.8,-70.65,-15.76,-56.57,-100.0
"Convergence Financial, LLC",,,,,,,,,,,,,,,,inf,-100.0,inf,-6.65,-2.76
"Convergence Investment Partners, LLC",,15.8,-11.1,-3.43,-5.89,9.96,-3.73,14.7,-3.04,-17.58,-8.5,89172.04,-99.87,14.89,-2.05,23.69,14.21,148269.71,-40.57,-23.43
"Cook Wealth, LLC",,,,,,,,,,,,,,,,,inf,81.21,3.43,3.0
"Cooksen Wealth, LLC",,,,,,,,,,,,,,,,inf,-100.0,,,
"Coombe, Bender & Co LLC",,,,,,,,,,inf,-100.0,,,,,,inf,-100.0,,
Cooper Financial Group,,46.13,3.7,33.85,-12.52,25.74,6.06,11.25,86.82,-55.48,-4.71,105397.85,17.07,28.79,-4.44,22.72,17.88,7.27,-2.8,6.22
"Coordinated Financial Services, Inc.",,,,,,,,,,,,,,,,,,,,inf
