FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"AMARA FINANCIAL, LLC.",,,,,,,,,,,,,,,,,,,,inf
AMERICAN FINANCIAL & TAX STRATEGIES INC,,,,,,,,,,,,,,,,inf,-29.25,14.83,28.58,53.12
AMERICAN INTERNATIONAL GROUP INC,,113.05,99.84,-100.0,,,,,,,,,,,,,,,,
"AMERICAN INTERNATIONAL GROUP, INC.",,,,inf,-1.13,-0.43,122.79,-34.35,1.79,-38.73,21.49,45972.66,69.52,28.11,-7.21,3.74,-100.0,,,
AMERICAN NATIONAL BANK,,,,,,inf,14.24,36.26,26.61,-34.48,39.35,-50.9,144058.24,26.18,25.22,-37.26,519.1,-47.79,-100.0,
AMERICAN NATIONAL BANK & TRUST,,,,,,,,,,,,,,,,,,,inf,60.35
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
AMF Pensionsforsakring AB,,200.13,118.65,69.5,-1.4,-0.62,20.73,-100.0,,,,,,,,,,,,
AMF Tjanstepension AB,,,,,,,,inf,5.45,-40.9,5.39,46492.47,67.4,5.33,-4.43,-35.23,-30.38,-5.1,74.14,12.45
AMG National Trust Bank,,127.74,94.57,55.45,-15.39,-4.28,13.38,40.3,1.91,-35.11,20.44,46604.72,69.16,-56.04,-6.04,4.25,-30.28,674.23,-83.34,60.07
AMICA MUTUAL INSURANCE CO,,,,,inf,1.77,29.15,36.28,9.36,-29.18,-2.87,-47.13,77.06,-15.24,-4.42,-0.69,41.49,-59.76,32.19,54.36
AMP Capital Investors Ltd,,,,,inf,-100.0,,,,,,,,,,,,,,
AMUSSEN HUNSAKER ASSOCIATES LLC,,,inf,-100.0,,,inf,111.06,-65.71,-1.74,-9.19,-100.0,,inf,-21.32,21.14,-100.0,,,
ANDERSON FISHER LLC,,60.09,35.29,64.6,-100.0,,,,,,,,,,,,,,,
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,inf,-31.23,25.03,38437.62,73.81,21.46,6.41,-15.26,17.49,44.36,59.54,64.97
"ANGLEPOINT ASSET MANAGEMENT, LTD.",,,inf,-100.0,,,,,,,,,,,,,,,,
ANTIPODES PARTNERS Ltd,,,,,,,,,,,,,,,,,,inf,-100.0,
APCM Wealth Management for Individuals,,,,,,inf,32.2,550.18,1.82,-35.12,18.21,-100.0,,,,,,,,
APEIRON CAPITAL Ltd,,,,inf,-22.56,1.76,-48.03,-100.0,,,,inf,-100.0,,,,inf,-100.0,inf,215.72
APPALOOSA LP,,-65.65,-100.0,,,,,,,,,,inf,-100.0,,,,,,
APPLETON PARTNERS INC/MA,,,,,,,inf,658.02,-23.15,-35.06,18.33,-57.43,68.32,26.18,-4.9,23.9,-66.37,2.94,-17.71,24.65
"APPLIED RESEARCH INVESTMENTS, LLC",,,,inf,16.79,1.76,9.61,26.0,-87.88,-53.13,-100.0,,,,,,,,,
ARBOR CAPITAL MANAGEMENT INC /ADV,,,,,,,,inf,-100.0,,,,,,,,,,,
"ARBOR TRUST WEALTH ADVISORS, LLC",,111.93,98.51,61.88,-100.0,inf,13.1,-58.71,1.92,-39.62,16.73,47755.28,150.14,-16.87,-5.2,-1.73,-31.46,-19.62,0.0,30.99
ARCADIA INVESTMENT ADVISORS LLC,,,,inf,-100.0,inf,14.09,213.15,1.97,-37.51,21.28,-7.12,68.41,26.18,-2.21,-2.94,-14.63,-6.72,16.11,-12.12
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,,,,,inf,14.63,34.04,3.17,-38.46,20.0,46091.67,68.42,26.18,-4.41,-50.35,-29.25,-100.0,,
ARDSLEY ADVISORY PARTNERS LP,,,,inf,-100.0,inf,-100.0,,,,inf,-100.0,,,,,,,inf,-100.0
"ARGI Investment Services, LLC",,101.88,116.37,172.27,-36.55,4.88,-31.99,34.01,16.18,-29.96,29.79,-54.81,-100.0,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,inf,464.52,40.12,-3.8,-0.11,-22.1,70.62,33.8,52.7
ARISTEIA CAPITAL LLC,,-100.0,,,,,,,,,,,,,,,,,,
"ARK & TLK INVESTMENTS, LLC",,,,,,,,,,,,,,,,inf,-100.0,,,inf
ARK Investment Management LLC,,146.03,91.35,98.21,32.46,-4.43,-17.0,-33.55,-15.62,-36.29,-1.11,52516.69,98.07,12.35,-19.51,-7.42,-3.65,15.52,14.16,10.58
"ARKANSAS FINANCIAL GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
"ARMOR ADVISORS, L.L.C.",,,,,,,,,inf,-100.0,,,,,,,,,,inf
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,102.17,15.08,-10.89,2.23,0.0,-41.48,34.73,-7.23
"ARQ WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,,,,inf
ARROW FINANCIAL CORP,,106.02,29.24,-100.0,,,,,inf,-40.91,23.08,-56.25,-100.0,,,,,,,
"ARS Investment Partners, LLC",,,,,,,,,,,inf,-100.0,,,,,,,inf,236.76
"ARS Wealth Advisors Group, LLC",,,,,,,inf,72.23,-14.79,-39.12,154.67,23439.82,209.35,31.55,-1.56,2.42,-40.36,-16.9,23.24,72.88
"ARS Wealth Advisors, LLC",,,inf,85.62,-9.96,-15.78,-100.0,,,,,,,,,,,,,
"ARTHUR M. COHEN & ASSOCIATES, LLC",,91.49,91.87,39.01,-4.21,49.7,-24.94,28.2,-5.26,-35.34,18.66,46335.62,68.98,24.95,-7.21,-6.86,-47.75,2.97,-7.73,25.0
ARVEST TRUST CO N A,,,,,,,,inf,10.87,-24.34,14.02,57801.07,34.75,20.75,-24.44,35.38,-35.3,-14.08,-100.0,
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",,inf,75.67,67.22,-5.47,-10.77,20.0,70.27,4.45,-33.85,9.13,40635.85,52.78,27.33,94841.49,-99.88,-29.25,2.72,38.96,46.09
"ASB Consultores, LLC",,,,,,,,inf,31.29,-49.65,11.6,55932.85,98.21,22.11,-23.84,-21.88,165.97,-31.72,27.21,-100.0
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,inf,14.66,66.48
"ASPIRIANT, LLC",,,inf,87.35,-14.83,1.74,14.07,71.83,-6.89,-36.67,19.74,69662.5,198.77,31.01,18.58,-23.75,-29.74,7.38,30.38,24.21
ASSET MANAGEMENT CORP /IL/ /ADV,,-100.0,inf,39.34,-19.06,1.74,14.0,39.1,7.75,-32.44,32.18,319453.0,-52.31,-100.0,,,,,,
ASSET PLANNING CORPORATION,,,,inf,-100.0,,,,,,,,,,,,,,,
"ASSETMARK, INC",,-97.92,300.0,504.17,20374.48,-6.46,-96.63,678.74,140.51,-19.06,16.19,-100.0,,,inf,-1.62,195.69,25.08,32.35,75.74
"ATALANTA SOSNOFF CAPITAL, LLC",,,,,inf,3.17,15.37,-100.0,inf,302.03,20.34,9416.11,215.9,-61.33,70.49,13.04,-48.72,-100.0,inf,53.13
ATHENA CAPITAL ADVISORS LLC,,-100.0,,,,,,,,,,,,,,,,,,
ATLANTA FINANCIAL ASSOCIATES LLC /ADV,,inf,225.1,98.46,0.0,-100.0,,,,,,,,,,,,,,
ATLAS CAPITAL ADVISORS INC.,,,,,,,,,,,,,,,,,,,,inf
ATLAS CAPITAL ADVISORS LLC,,,,,inf,43.67,14.09,36.27,-100.0,inf,20.57,-53.56,68.42,26.18,-5.89,-0.7,-100.0,inf,-100.0,
ATMOS CAPITAL GESTAO DE RECURSOS LTDA.,,,,,,,,,,,,inf,19.55,-100.0,,,,,,
ATRIA INVESTMENTS LLC,,2737.67,-21.27,44.7,0.22,-15.99,43.9,24.49,8.76,-12.36,22.55,-100.0,,,,,,,,
"ATTICUS WEALTH MANAGEMENT, LLC",,-18.33,118.37,81.62,-21.96,0.44,98.69,-43.83,232.55,-32.25,0.0,63912.88,-36.85,52.95,98.76,-52.08,-37.83,-10.86,31.8,54.36
ATWOOD & PALMER INC,,410.81,98.41,68.53,-5.38,1.67,128.29,-31.12,-40.27,-30.12,12.78,46297.78,69.91,27.51,-4.41,-1.73,-29.25,12.57,32.22,54.36
AUGUSTINE ASSET MANAGEMENT INC,,,,,,,,,inf,-100.0,,,,,,,,,,inf
"AVAII WEALTH MANAGEMENT, LLC",,,,,,,,,inf,-27.46,-100.0,inf,-100.0,,,,,,,
AVALON CAPITAL MANAGEMENT,,,,,,,,,,,,,,,,inf,-29.25,12.79,32.22,54.36
"AVANTAX ADVISORY SERVICES, INC.",,110.93,468.77,-29.55,-19.21,10.85,4.13,63.08,7.93,-19.25,15.28,54364.72,71.49,25.92,-29.87,8.34,-28.97,50.86,49.57,54.25
AVISO WEALTH MANAGEMENT,,,,,,,,,,,,,,,,inf,-23.37,13.24,32.4,52.47
AVITY INVESTMENT MANAGEMENT INC.,,,,,,,,inf,1.79,-100.0,inf,-100.0,,,,inf,-100.0,,,inf
AVIVA PLC,,,,,inf,7.29,31.95,232.02,-100.0,,,,,,,,,,,
"AWM CAPITAL, LLC",,,,,,,inf,-3.46,-7.62,-100.0,,,,,,,,,,inf
AXIOM INTERNATIONAL INVESTORS LLC /DE,,,inf,182.36,-100.0,,,,,,,,,,,,,,,
AXIOM INVESTORS LLC /DE,,,,,inf,103.14,-48.12,51.62,7.35,-42.39,35.83,23338.95,88.68,10.18,-14.72,-13.54,-60.3,-23.77,-11.13,74.6
"AXQ CAPITAL, LP",,,,,,,,,,,,,,,inf,14.58,-100.0,,,
AXS Investments LLC,,,,,inf,14.73,-100.0,inf,-1.5,-58.83,76.89,61381.78,38.71,46.66,-60.5,-17.42,77.57,218.45,-100.0,
"AXXCESS WEALTH MANAGEMENT, LLC",,,,,,,,inf,16.55,-33.02,22.22,67094.62,-9.36,29.55,34.94,-3.84,-19.05,41.64,11.2,58.68
AZZAD ASSET MANAGEMENT INC /ADV,,89.97,119.95,65.53,3.03,15.04,5.11,23.34,3.43,-17.59,51.68,-39.66,131.07,47.5,-20.09,-6.97,-26.43,64.28,37.0,154.65
Aaron Wealth Advisors,,,,inf,-14.32,-100.0,,,,,,,,,,,,,,
Aaron Wealth Advisors LLC,,,,,,inf,22.35,111.15,2.35,-31.09,-100.0,inf,125.94,69.79,12.08,-6.33,1.61,22.92,91.48,92.91
"Abacus Planning Group, Inc.",,,,inf,0.0,0.0,16.6,59.38,-12.85,-22.0,22.44,-100.0,inf,4.12,-4.64,0.09,-100.0,inf,76.73,54.8
"Abacus Wealth Partners, LLC",,,,inf,104.29,-7.05,-5.06,35.78,-0.33,-41.46,14.61,-89.85,368.67,-100.0,inf,99.93,-55.54,13.16,39.41,42.81
"Abbot Financial Management, Inc.",,,,,,,,,,inf,-100.0,,inf,17.55,8.07,-0.7,22.44,26.84,32.22,54.08
"Abbrea Capital, LLC",,inf,-23.78,379.32,54.35,14.02,23.84,33.68,3.8,-43.21,14.66,36495.9,-99.82,34.2,8.1,19.45,-16.95,-32.28,-100.0,
"Abel Hall, LLC",,,,,,,,,,,,,,,,inf,-38.25,33.99,39.5,64.42
Abich Financial Wealth Management LLC,,,,,,,,,,,,,,,,inf,-78.51,202.52,212.6,-100.0
Able Wealth Management LLC,,,,,,,,,,,,,,,,inf,-100.0,,,
Abound Wealth Management,,,,,,,,inf,0.67,-36.56,42.59,-53.24,76.41,33.23,-5.02,3.03,-34.47,12.72,43.11,49.22
"Absolute Capital Management, LLC",,,,,,,,inf,-100.0,,inf,-100.0,,,,,,,,
Abundance Wealth Counselors,,,,,inf,269.59,16.45,29.2,48.12,-26.5,20.76,2.03,1.72,29.47,-1.65,-0.63,-32.86,18.76,25.68,61.73
Accel Wealth Management,,,,inf,67.35,10.37,-11.6,40.0,-12.95,-24.1,3.38,49413.73,90.33,44.33,-3.33,3.38,-100.0,,inf,76.69
Accelerate Investment Advisors LLC,,,,,,,,,,,,,,,,,,,inf,55.6
"Accent Capital Management, LLC",,,,,,,,,,,,,,,,inf,-100.0,inf,32.23,54.34
Accredited Investors Inc.,,100.18,141.83,123.06,30.43,2.09,14.2,35.48,104.47,-49.8,17.36,39053.76,98.7,13.22,-3.01,-24.42,-51.33,-66.7,71.73,5.84
"Accredited Wealth Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"Accurate Wealth Management, LLC",,,,,,inf,100.79,24.61,294.4,-47.51,150.75,32070.61,72.48,72.65,-5.76,-10.83,-35.62,76.46,-15.85,71.79
Accuvest Global Advisors,,inf,-100.0,,inf,47.93,20.91,-8.27,125.03,-82.67,-75.22,476476.58,398.68,-90.88,423.28,-100.0,,,,
"Acorn Wealth Advisors, LLC",,,inf,-8.59,-2.49,-0.57,13.39,39.95,2.51,-34.5,27.01,47057.89,66.99,28.07,-2.95,-9.03,-22.77,12.44,27.66,60.64
"Acorns Advisers, LLC",,,,,,,,,,,,,,inf,137.23,65.98,26.85,58.05,47.37,77.69
"Acropolis Investment Management, LLC",,105.94,99.04,72.95,0.84,1.25,14.5,40.74,0.17,-36.27,18.75,43944.12,69.11,29.29,-3.48,-11.32,-32.91,11.88,132.07,-11.37
"Actinver Wealth Management, Inc.",,,inf,-100.0,,,,,,,,,,,,,,,,
