FILINGMANAGER_NAME,SNOW,PLTR,GOOGL,MSFT,ASML,AAPL,AMZN,CRM,TSLA,META,SHOP,NVDA,PANW,AMD
36 SOUTH CAPITAL ADVISORS LLP,0.0,0.0,0.0,0.35855867999999996,0.0,0.082316,0.039134680000000005,0.12607118,0.0,0.0,0.0,0.0,0.0,0.0
"360 Financial, Inc.",0.35623119999999997,0.020662000000000003,0.0,30.02015033,0.0,-59.259991660000004,-255.94643491000005,0.00443,-536.9496302800002,0.71501654,0.0,206.77630751999996,0.0,0.9477536899999999
361 CAPITAL LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3Chopt Investment Partners, LLC",0.0,0.0,0.0,0.29229029,0.0,0.25280047,1.3517885200000002,-0.7145380000000001,-0.01645399999999996,1.03793833,0.0,2.0622059199999994,0.0,0.0
"3D ASSET MANAGEMENT, INC",0.0,0.0,0.0,0.0,0.0,-0.1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3D/L Capital Management, LLC",0.0,0.0,0.0,-0.05885,0.0,-257.5730865000001,0.050688000000000004,0.0,0.066398,0.0,0.0,0.0,0.0,0.0
"3EDGE Asset Management, LP",0.0,0.0,0.0,0.0,0.0,0.06001600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3G Capital Partners LP,0.65459486,0.0,0.0,0.5633447500000002,0.0,0.0,-304.93081277999994,0.0,0.0,0.45987150000000004,0.0,-1.15615732,0.0,0.0
3G Sahana Capital Management LP,0.0,0.0,0.0,-0.17924439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40 North Management LLC,0.19986521000000002,0.0,0.0,0.02679010000000001,0.0,0.0,0.05661042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400 Capital Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5138647399999998,0.0,0.0,0.0,0.0
44 WEALTH MANAGEMENT LLC,0.0,0.0,0.0,31.58047983000001,407.7682284,-57.21928277000001,-170.83058216999996,0.0,0.5057406,0.4552314399999999,0.0,0.0011412,0.0,0.0
"49 WEALTH MANAGEMENT, LLC",0.0,0.0,0.0,0.06406472999999999,0.0,0.13216849000000003,0.013539409999999995,-0.0202908,0.6365946699999999,0.25933174999999997,0.0,1.63747632,0.004673589999999999,0.0
4J Wealth Management LLC,0.0,0.0,0.0,17.999175870000006,0.0,-50.93589569000001,-187.49146601,0.0,0.84363778,-93.50797217,0.84417422,246.35905371999993,0.0,0.0
4Thought Financial Group Inc.,0.0,0.0,0.0,0.04371024999999999,0.0,0.0030342399999999936,0.0,0.0,-0.33857042,0.0,0.0,0.0,0.0,0.0
"4WEALTH ADVISORS, INC.",0.0,0.0,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.00443,0.010872,0.00045599999999999997,0.0,0.0021160000000000003,0.0,-0.0052759999999999994
"55I, LLC",0.0,0.2572184,0.0,0.024408189999999972,-0.06692799999999999,0.27446464,0.56223566,-0.034715750000000004,1.4130807100000002,-0.25725776,0.0,-0.54379005,0.0,-0.56540142
"5T Wealth, LLC",0.0,0.020662000000000003,0.0,-0.00040999999999999994,0.0,0.0014960000000000002,0.0035479999999999995,0.0,0.0,0.00045599999999999997,0.0,0.0021160000000000003,0.0012939999999999998,0.0
"5th Street Advisors, LLC",0.0,0.0,0.0,0.019753999999999997,0.0,-50.723646039999984,0.0,0.0,1.31343473,0.0,0.0,0.1877045,0.0,0.0
6 Meridian,0.0,0.0,0.0,-0.057354999999999996,0.0,0.006562600000000002,0.06325253,0.0,-0.14205624,0.18620855999999997,0.0,0.47932747,0.0,0.0
