ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001909089-23-000002,85202635,NVIDIA CORPORATION,COM,67066G104,,3708230,13350,SH,,SOLE,,13350,0,0,nvidia corporation,"Barrier Capital Management, LLC",31-MAR-2023,,2023-03-31
0001420506-23-001161,85194319,NVIDIA CORPORATION,COM,67066G104,,8200881,29524,SH,,SOLE,,29524,0,0,nvidia corporation,Sassicaia Capital Advisers LLC,31-MAR-2023,,2023-03-31
0000810121-23-000002,84538527,NVIDIA CORPORATION,COM,67066G104,,3312829,11927,SH,,SOLE,NONE,0,0,11927,nvidia corporation,"HARBOUR INVESTMENTS, INC.",31-MAR-2023,,2023-03-31
0001951757-23-000312,89200915,NVIDIA CORPORATION,COM,67066G104,,216970,777,SH,,SOLE,,0,0,777,nvidia corporation,Imprint Wealth LLC,31-MAR-2023,,2023-03-31
0001172661-23-002270,85090855,NVIDIA CORPORATION,COM,67066G104,,204341442,735650,SH,,SOLE,,439971,0,295679,nvidia corporation,"CI Private Wealth, LLC",31-MAR-2023,,2023-03-31
0001580642-23-002722,92335041,NVIDIA CORPORATION,COM,67066G104,,2513,100,SH,Call,SOLE,,0,0,100,nvidia corporation,Creative Planning,31-MAR-2023,,2023-03-31
0001580642-23-002722,92335042,NVIDIA CORPORATION,COM,67066G104,,10070,13700,SH,Put,SOLE,,0,0,13700,nvidia corporation,Creative Planning,31-MAR-2023,,2023-03-31
0000861177-23-000005,85577140,NVIDIA,EQUITY US CM,67066G104,,1395794,5025,SH,,SOLE,1,0,0,5025,nvidia,UBS ASSET MANAGEMENT AMERICAS INC,31-MAR-2023,,2023-03-31
0000861177-23-000005,85577143,NVIDIA,EQUITY US CM,67066G104,,1694436166,6100141,SH,,SOLE,7,3852924,0,2247217,nvidia,UBS ASSET MANAGEMENT AMERICAS INC,31-MAR-2023,,2023-03-31
0001606507-23-000002,90728931,NVIDIA CORPORATION,COM,67066G104,,1452841,5230,SH,,SOLE,,0,0,5230,nvidia corporation,"Arlington Capital Management, Inc.",31-MAR-2023,,2023-03-31
0001346378-23-000003,91464572,Nvidia Corp,Common Stock,67066G104,,4210487,15158,SH,,SOLE,,15108,0,50,nvidia corp,"Baldwin Investment Management, LLC",31-MAR-2023,,2023-03-31
0001753384-23-000005,89134973,NVIDIA CORPORATION,COM,67066G104,,31475785,113316,SH,,SOLE,,113316,0,0,nvidia corporation,Analog Century Management LP,31-MAR-2023,,2023-03-31
0001135428-23-000054,89193998,NVIDIA CORPORATION COM,Stock,67066G104,,906364,3263,SH,,SOLE,,3263,0,0,nvidia corporation com,"Mill Creek Capital Advisors, LLC",31-MAR-2023,,2023-03-31
0001764968-23-000002,90069832,NVIDIA CORPORATION,COM,67066G104,,926939,3337,SH,,SOLE,0,0,0,3337,nvidia corporation,Advisory Resource Group,31-MAR-2023,,2023-03-31
0001007280-23-000007,89634758,Nvidia Corp,COM,67066G104,,382252,1376147,SH,,SOLE,,1376147,0,0,nvidia corp,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,31-MAR-2023,,2023-03-31
0000892712-23-000100,88327589,NVIDIA CORPORATION,COM,67066G104,,2398266,8634,SH,,SOLE,,8634,0,0,nvidia corporation,MARIETTA INVESTMENT PARTNERS LLC,31-MAR-2023,,2023-03-31
0001062574-23-000004,90658382,NVIDIA CORP,COM,67066G104,,29592,106535,SH,,SOLE,,106535,0,0,nvidia corp,Weiss Multi-Strategy Advisers LLC,31-MAR-2023,,2023-03-31
0001799677-23-000003,87322628,NVIDIA CORPORATION,COM,67066G104,,292214,1052,SH,,SOLE,,1037,0,15,nvidia corporation,"Detalus Advisors, LLC",31-MAR-2023,,2023-03-31
0001965814-23-000004,87567360,NVIDIA CORPORATION,COM,67066G104,,1293297,4656,SH,,SOLE,0,0,0,4656,nvidia corporation,"BOS Asset Management, LLC",31-MAR-2023,,2023-03-31
