FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ATWOOD & PALMER INC,,,,,,,,,,,,,,,,inf,28.27,5.36,-18.48,-16.79
AUGUSTINE ASSET MANAGEMENT INC,,,,,,,,,,,,,,,,,,,,inf
AUXIER ASSET MANAGEMENT,,,,,,,,inf,-100.0,,,,,inf,-100.0,inf,28.21,5.39,-10.88,83.38
"AVANTAX ADVISORY SERVICES, INC.",,,,inf,288.71,41.7,18.45,15.39,-8.03,-6.0,-6.57,124939.12,34.05,12.97,-7.2,34.88,38.31,199.94,-16.24,-17.6
"AXQ CAPITAL, LP",,,,,,,,,,,,,,,,inf,-100.0,inf,-100.0,
AXS Investments LLC,,,,,,,,,,,,,inf,5.46,-63.29,9.43,28.21,854.79,-100.0,
"AXXCESS WEALTH MANAGEMENT, LLC",,,,,,,,inf,1.92,-22.31,-13.39,151499.81,32.25,4.38,-27.5,115.51,37.23,240.83,-17.72,-85.47
AZZAD ASSET MANAGEMENT INC /ADV,,17.28,4.92,36.12,23.63,6.92,-19.44,5.62,-15.18,46.37,20.13,-22.27,23.17,7.01,-25.39,30.5,29.82,-5.99,-17.67,86.03
Aaron Wealth Advisors LLC,,,,,,,inf,39.71,69.82,-55.58,-100.0,inf,40.36,7.53,-8.28,47.78,178.25,16.65,1.4,-9.67
"Abacus Planning Group, Inc.",,40.61,0.31,32.2,41.92,-100.0,,inf,-100.0,,,,,inf,-100.0,inf,14.11,5.38,34.95,-18.18
"Abacus Wealth Partners, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"Abbrea Capital, LLC",,,,inf,44.1,12.12,7.84,36.59,-15.96,-28.82,-12.58,131227.72,-99.88,41.63,-18.79,28.73,28.12,-1.7,-100.0,
"Abel Hall, LLC",,,,,,,,,,,,,,,,inf,32.84,18.05,-30.06,-7.78
Abich Financial Wealth Management LLC,,,,,,,,,,,,,,,,,inf,5.39,-100.0,
Able Wealth Management LLC,,,,,,,,,,,,,,,,inf,-100.0,,,
Abound Wealth Management,,,,,,,,,,,inf,-100.0,,inf,-18.79,71.46,-3.85,-29.74,103.69,-16.82
"Absolute Capital Management, LLC",,,,,,,,inf,-100.0,,inf,-100.0,,,,,,,,
Absolute Gestao de Investimentos Ltda.,,,,,,,,,,,,,,,,,,,,inf
Abundance Wealth Counselors,,,,,,,,,,,,inf,25.78,7.45,-18.21,29.33,40.44,13.62,-15.07,-6.65
Accel Wealth Management,,,,inf,26.67,10.53,4.76,9.09,-16.67,-30.0,42.86,114645.0,24.58,-100.0,,,,,,
"Accent Capital Management, LLC",,,,,,,,,,,,,,,,inf,28.21,123.17,-18.53,-100.0
Account Management LLC,,-100.0,,,,,,,,,,,,,,,,,,
"Account Management, LLC",,inf,-100.0,,,,,,,,,,,,,,,,,
