REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Slow Capital, Inc.",3272806
31-DEC-2024,"SlateStone Wealth, LLC",285
31-DEC-2024,Spire Wealth Management,1726335
31-DEC-2024,"Stablepoint Partners, LLC",1138567
31-DEC-2024,Strategic Advisors LLC,1091821
31-DEC-2024,Stiles Financial Services Inc,2960104
31-DEC-2024,Strait & Sound Wealth Management LLC,853261
31-DEC-2024,"Stonegate Investment Group, LLC",61896192
31-DEC-2024,Stonebrook Private Inc.,903630
31-DEC-2024,"Stonebridge Financial Planning Group, LLC",357901
31-DEC-2024,"Stonebridge Financial Group, LLC",106295
31-DEC-2024,Stonebridge Capital Advisors LLC,7958008
31-DEC-2024,"Stone House Investment Management, LLC",239647
31-DEC-2024,"Stokes Family Office, LLC",479416
31-DEC-2024,"Steward Partners Investment Advisory, LLC",25470082
31-DEC-2024,"Stamos Capital Partners, L.P.",4412459
31-DEC-2024,"Sterling Investment Advisors, Ltd.",638858
31-DEC-2024,Sterling Capital Management LLC,5665776
31-DEC-2024,"Stephens Consulting, LLC",1208
31-DEC-2024,"SteelPeak Wealth, LLC",29036105
31-DEC-2024,"State of Tennessee, Department of Treasury",67649165
31-DEC-2024,State of New Jersey Common Pension Fund D,71714352
31-DEC-2024,"State of Alaska, Department of Revenue",22353
31-DEC-2024,"Stanley-Laman Group, Ltd.",267973
31-DEC-2024,"SIMON QUICK ADVISORS, LLC",710857
31-DEC-2024,SILVERCREST ASSET MANAGEMENT GROUP LLC,1327120
31-DEC-2024,"SILVER OAK SECURITIES, INCORPORATED",1057646
31-DEC-2024,"Quantum Private Wealth, LLC",3578669
31-DEC-2024,"REAP Financial Group, LLC",124011
31-DEC-2024,"RE Dickinson Investment Advisors, LLC",4515
31-DEC-2024,"RD Lewis Holdings, Inc.",330209
31-DEC-2024,"Quotient Wealth Partners, LLC",674067
31-DEC-2024,Quinn Opportunity Partners LLC,2307935
31-DEC-2024,"Quest 10 Wealth Builders, Inc.",23916
31-DEC-2024,"Quent Capital, LLC",1207779
31-DEC-2024,Qube Research & Technologies Ltd,324655487
31-DEC-2024,"Quantum Financial Advisors, LLC",267791
31-DEC-2024,"REGATTA CAPITAL GROUP, LLC",2539980
31-DEC-2024,Quantinno Capital Management LP,9514846
31-DEC-2024,"Quadcap Wealth Management, LLC",492099
31-DEC-2024,Qtron Investments LLC,1795785
31-DEC-2024,"Qsemble Capital Management, LP",665794
31-DEC-2024,QUATTRO FINANCIAL ADVISORS LLC,4726134
31-DEC-2024,QUADRANT CAPITAL GROUP LLC,1814387
31-DEC-2024,"QRG CAPITAL MANAGEMENT, INC.",21301162
31-DEC-2024,Putney Financial Group LLC,401627
31-DEC-2024,"RED LIGHTHOUSE INVESTMENT MANAGEMENT, LLC",300405
31-DEC-2024,RENAISSANCE TECHNOLOGIES LLC,142108227
31-DEC-2024,"Pure Financial Advisors, LLC",511854
31-DEC-2024,RMR Wealth Builders,4619492
31-DEC-2024,RS CRUM INC.,308015
31-DEC-2024,"RPG Investment Advisory, LLC",15686393
31-DEC-2024,ROYAL LONDON ASSET MANAGEMENT LTD,87431184
31-DEC-2024,ROTHSCHILD INVESTMENT LLC,4547864
31-DEC-2024,ROMANO BROTHERS AND COMPANY,1640207
31-DEC-2024,ROMAN BUTLER FULLERTON & CO,424087
31-DEC-2024,ROANOKE ASSET MANAGEMENT CORP/ NY,11512
31-DEC-2024,RNC CAPITAL MANAGEMENT LLC,5266919
31-DEC-2024,RIVER GLOBAL INVESTORS LLP,1814266
31-DEC-2024,RESOURCES MANAGEMENT CORP /CT/ /ADV,16
31-DEC-2024,RITHOLTZ WEALTH MANAGEMENT,2621700
31-DEC-2024,"RIK SAYLOR FINANCIAL, INC.",205101
31-DEC-2024,RICHARDSON FINANCIAL SERVICES INC.,111583
31-DEC-2024,"RICHARDS, MERRILL & PETERSON, INC.",167294
31-DEC-2024,RHUMBLINE ADVISERS,362040114
