ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001427514-22-000006,74765137,AMAZON COM INC,COM,023135106,,36110,319560,SH,,SOLE,,278385,0,41175,amazon com inc,"Dana Investment Advisors, Inc.",30-SEP-2022,,2022-09-30
0001081019-22-000008,74734029,AMAZONCOM INC,COMMON STOCK,023135106,,1727620,15288676,SH,,SOLE,,15288676,0,0,amazoncom inc,CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,30-SEP-2022,,2022-09-30
0000831571-22-000006,74816833,Amazon Inc,COM,023135106,,11447,107780,SH,,SOLE,,107780,0,0,amazon inc,ST GERMAIN D J CO INC,30-SEP-2022,,2022-09-30
0001062993-22-022068,73855389,AMAZON COM INC,COM,023135106,,3880420,34340,SH,,SOLE,,34340,0,0,amazon com inc,DE BURLO GROUP INC,30-SEP-2022,,2022-09-30
0001765380-22-000170,74796153,AMAZON COM INC COM,Stock,023135106,,7561,66910,SH,,SOLE,,66910,0,0,amazon com inc com,"FourThought Financial, LLC",30-SEP-2022,,2022-09-30
0001973259-23-000002,92457000,AMAZON COM INC,COM,023135106,,2216464,17436,SH,,SOLE,0,0,0,17436,amazon com inc,"Buck Wealth Strategies, LLC",30-SEP-2022,,2022-09-30
0001973259-23-000002,92456999,AMAZON COM INC,COM,023135106,,682380,5368,SH,,SOLE,0,0,0,5368,amazon com inc,"Buck Wealth Strategies, LLC",30-SEP-2022,,2022-09-30
0001999828-23-000027,94229494,AMAZON COM INC COM,Stock,023135106,,2736860,24220,SH,,SOLE,0,24220,0,0,amazon com inc com,Sutton Wealth Advisors Inc.,30-SEP-2022,,2022-09-30
0001374170-23-000043,92949314,AMAZON COM INC,COM,023135106,,10621513083,93995691,SH,,SOLE,,93995691,0,0,amazon com inc,NORGES BANK,30-SEP-2022,14-NOV-2022,2022-09-30
0001085146-23-004288,94065143,AMAZON COM INC,COM,023135106,,271200,2400,SH,,SOLE,,0,0,2400,amazon com inc,"Werlinich Asset Management, LLC",30-SEP-2022,,2022-09-30
