FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
AKRE CAPITAL MANAGEMENT LLC,,,,,,inf,11.03,-6.3,-15.34,-15.89,-12.12,-100.0,,,,,,,,
ALBION FINANCIAL GROUP /UT,,99.16,56.14,37.86,-100.0,inf,15.23,-5.14,-16.24,-24.33,-9.6,85196.71,70.24,-11.46,21.77,29.36,24.58,-15.08,6.04,-7.0
ALERUS FINANCIAL  NA,,29.95,12.3,-3.81,-21.96,54.1,11.13,-3.71,-11.07,-100.0,,,,,,,,,,
ALGERT GLOBAL LLC,,,,,,,,,,,,,,,,,,,,inf
ALKEON CAPITAL MANAGEMENT LLC,,-100.0,inf,30.97,-100.0,,,,inf,-22.69,-12.6,-100.0,,,,,,,,
ALLSTATE CORP,,15.47,20.78,-15.91,-13.19,23.36,6.3,207.3,-45.02,-46.7,-34.82,172064.41,-87.44,5.98,-4.01,23.24,13.26,-20.68,-71.92,4054.78
ALLSTATE INVESTMENT MANAGEMENT CO,,,,,,,,,,,,inf,-100.0,,,,,,,
ALPHA WINDWARD LLC,,,inf,-100.0,,,,,,,,,,,,,,,,
"ALPHASIMPLEX GROUP, LLC",,17.88,46.13,-100.0,,,,,,,,,,,,,,,,
"ALPINE WOODS CAPITAL INVESTORS, LLC",,inf,50.67,-11.28,-100.0,,,,,,,,,,,inf,-57.26,-100.0,,
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,inf,-100.0,,,,,,,,inf,-100.0,,inf
ALTFEST L J & CO INC,,,,inf,52.2,52.29,13.6,-26.01,39.39,0.1,1.52,-22.94,55.41,4.77,-3.28,8.56,-23.38,-46.2,-2.07,116955.11
AM INVESTMENT STRATEGIES LLC,,inf,-6.91,-16.23,-9.07,4.54,10.2,7.68,-11.88,-34.65,8.25,-9.68,-100.0,,,,,,,
AM Squared Ltd,,,,,,,,,,,,inf,-5.55,-79.86,-100.0,,,,,
AMALGAMATED BANK,,-46.82,30.45,-10.91,-9.04,428.82,12.03,98.08,-19.37,-61.68,-11.52,-5.78,49.6,4.84,-6.0,23.56,-1.25,-15.45,8.88,20.41
AMARILLO NATIONAL BANK,,,,,,,,inf,-15.91,24.32,-100.0,,,,,,,,,
AMERICAN INTERNATIONAL GROUP INC,,31.87,29.85,-100.0,,,,,,,,,,,,,,,,
"AMERICAN INTERNATIONAL GROUP, INC.",,,,inf,-8.34,12.13,133.35,-54.6,-18.03,-23.54,-14.59,89009.09,51.17,3.14,-6.29,34.02,-100.0,,,
AMERICAN NATIONAL BANK,,30.43,34.0,-11.44,-5.06,30.77,28.05,1.06,-6.99,-22.18,-7.25,116.67,152856.49,5.75,-3.11,30.29,14.46,-56.18,-100.0,
AMERICAN NATIONAL BANK & TRUST,,,,,,,,,,,,,,,,,,,inf,18.41
AMERICAN NATIONAL INSURANCE CO,,-100.0,inf,-11.46,-4.88,15.12,10.93,-84.72,-100.0,,,,,,,,,,,
AMERICAN NATIONAL INSURANCE CO /TX/,,inf,-100.0,,,,,,,,,,,,,,,,,
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
AMF Pensionsforsakring AB,,14.64,60.34,-19.98,-3.95,115.82,-24.37,-100.0,,,,,,,,,,,,
AMF Tjanstepension AB,,,,,,,,inf,-15.77,-0.53,-37.74,63757.87,87.58,-17.8,-23.96,-5.32,68.47,306.35,110.84,-49.12
AMG National Trust Bank,,inf,57.68,172.86,-50.11,14.1,15.44,-11.37,-18.58,-30.13,-4.15,45549.48,35.91,188.14,43.85,41.8,17.5,-12.43,2.12,21.87
AMI ASSET MANAGEMENT CORP,,22.17,-20.24,-12.67,-11.99,9.46,34.11,-6.05,-15.82,-23.07,-16.26,-44.12,309163.18,4.76,-3.75,29.04,17.6,-16.24,4.69,19.31
AMICA MUTUAL INSURANCE CO,,,,,,,,,inf,57.17,-7.35,12.07,13.73,-2.71,-4.02,18.59,128.91,-65.26,-0.91,16.34
AMJ Financial Wealth Management,,inf,16.15,-9.13,-52.4,16.53,23.02,29.13,-91.1,-100.0,,,,,,,,,,
AMP Capital Investors Ltd,,,,,inf,-100.0,,,,,,,,,,,,,,
AMS Capital Ltda,,-100.0,inf,94.81,62.29,7.61,-100.0,inf,-100.0,,,,,,,,inf,-4.93,-100.0,
"AMUNDI ASSET MANAGEMENT US, INC.",,,,,inf,-100.0,,,,,,,,,,,,,,
AMUNDI PIONEER ASSET MANAGEMENT INC,,66.95,57.09,68.53,-100.0,,,,,,,,,,,,,,,
AMUSSEN HUNSAKER ASSOCIATES LLC,,,inf,-100.0,inf,123.49,121.34,-2.16,-53.38,-9.94,-11.56,59442.57,41.82,3.69,-6.62,28.86,-100.0,,,
ANCHOR CAPITAL ADVISORS LLC,,,,,,,,,,inf,-17.09,89526.92,84.31,-3.57,-7.42,21.21,-5.66,-14.66,4.55,15.99
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,inf,-3.02,-15.59,81149.15,83.3,10.5,20.35,39.96,30.82,-31.66,17.0,25.72
"ANGLEPOINT ASSET MANAGEMENT, LTD.",,,inf,-11.46,-56.65,-100.0,,,,,,,,,,,,,,
