ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001398344-24-002204,96863437,TESLA INC,COM,88160R101,,1232958,4962,SH,,SOLE,,0,0,4962,tesla inc,Northwest Financial Advisors,31-DEC-2023,,2023-12-31
0001750924-24-000002,96857646,TESLA INC,COM,88160R101,,258668,1041,SH,,SOLE,,1041,0,0,tesla inc,"VisionPoint Advisory Group, LLC",31-DEC-2023,,2023-12-31
0000752798-24-000001,97124808,TESLA INC,NOTE  2.000% 5/1,88160RAG6,,0,0,SH,,SOLE,,0,0,0,tesla inc,"CONCOURSE FINANCIAL GROUP SECURITIES, INC.",31-DEC-2023,,2023-12-31
0000752798-24-000001,97124807,TESLA INC,PUT,88160R951,,0,0,SH,Put,SOLE,,0,0,0,tesla inc,"CONCOURSE FINANCIAL GROUP SECURITIES, INC.",31-DEC-2023,,2023-12-31
0000752798-24-000001,97124806,TESLA INC,CALL,88160R901,,0,0,SH,Call,SOLE,,0,0,0,tesla inc,"CONCOURSE FINANCIAL GROUP SECURITIES, INC.",31-DEC-2023,,2023-12-31
0000752798-24-000001,97124805,TESLA INC,COM,88160R101,,5956562,23972,SH,,SOLE,,0,0,0,tesla inc,"CONCOURSE FINANCIAL GROUP SECURITIES, INC.",31-DEC-2023,,2023-12-31
0000937589-24-000001,96869506,TESLA INC,COM,88160R101,,241,969,SH,,SOLE,,969,0,0,tesla inc,HERITAGE INVESTORS MANAGEMENT CORP,31-DEC-2023,,2023-12-31
0001525947-24-000001,97005466,TESLA INC,COM,88160R101,,35284,142,SH,,SOLE,,142,0,0,tesla inc,"Kessler Investment Group, LLC",31-DEC-2023,,2023-12-31
0001911470-24-000001,97055233,TESLA INC,COM,88160R101,,608279,2448,SH,,SOLE,0,0,0,2448,tesla inc,"ETF Store, Inc.",31-DEC-2023,,2023-12-31
0001518364-24-000001,96947896,TESLA INC,COM,88160R101,,9360490,37669,SH,,SOLE,,37093,0,576,tesla inc,Accredited Investors Inc.,31-DEC-2023,,2023-12-31
0001965307-24-000001,97219216,TESLA INC,COM,88160R101,,340,1370,SH,,SOLE,,0,0,1370,tesla inc,"Prossimo Advisors, LLC",31-DEC-2023,,2023-12-31
0001769031-24-000005,97264377,TESLA INC,COM,88160R101,,537462,2163,SH,,SOLE,,0,0,2163,tesla inc,"Van Leeuwen & Company, LLC",31-DEC-2023,,2023-12-31
0001728436-24-000001,97101674,TESLA INC,COM,88160R101,,59138,238,SH,,SOLE,,0,0,238,tesla inc,"Sanctuary Wealth Management, L.L.C.",31-DEC-2023,,2023-12-31
0001172661-24-000504,96834170,TESLA INC,COM,88160R101,,2626852,10572,SH,,SOLE,,0,0,10572,tesla inc,"Berger Financial Group, Inc",31-DEC-2023,,2023-12-31
0001172661-24-000505,97285704,TESLA INC,COM,88160R101,,429373,1728,SH,,SOLE,,0,0,1728,tesla inc,"Lebenthal Global Advisors, LLC",31-DEC-2023,,2023-12-31
0001172661-24-000510,97345627,TESLA INC,COM,88160R101,,659714,2655,SH,,SOLE,,0,0,2655,tesla inc,"BARON SILVER STEVENS FINANCIAL ADVISORS, LLC",31-DEC-2023,,2023-12-31
0001965271-24-000001,96869735,TESLA INC,COM,88160R101,,1156493,4654,SH,,SOLE,,0,0,4654,tesla inc,WATERSHED PRIVATE WEALTH LLC,31-DEC-2023,,2023-12-31
0001172661-24-000512,97391266,TESLA INC,COM,88160R101,,1149002,4624,SH,,SOLE,,4624,0,0,tesla inc,"CALTON & ASSOCIATES, INC.",31-DEC-2023,,2023-12-31
0000905148-24-000449,96893370,TESLA INC,COM,88160R101,,7454400,30000,SH,,SOLE,,30000,0,0,tesla inc,Grand Alliance Asset Management Ltd,31-DEC-2023,,2023-12-31
0001398344-24-002228,97299256,TESLA INC,COM,88160R101,,53920,217,SH,,SOLE,,217,0,0,tesla inc,"St. Johns Investment Management Company, LLC",31-DEC-2023,,2023-12-31
0001019754-24-000001,97103449,TESLA INC,COM,88160R101,,648,2602,SH,,SOLE,,2602,0,0,tesla inc,Smithfield Trust Co,31-DEC-2023,,2023-12-31
0001104659-24-011458,97052809,"TESLA, INC.",Common stock,88160R101,,1279920,5151,SH,,SOLE,,5151,0,0,"tesla, inc.","Principal Street Partners, LLC",31-DEC-2023,,2023-12-31
0001085146-24-000802,96844010,TESLA INC,COM,88160R101,,459440,1849,SH,,SOLE,,0,0,1849,tesla inc,"IAMS WEALTH MANAGEMENT, LLC",31-DEC-2023,,2023-12-31
0001665198-24-000001,96898457,TESLA INC,COM,88160R101,,280534,1129,SH,,SOLE,0,436,0,693,tesla inc,"Kovitz Investment Group Partners, LLC",31-DEC-2023,,2023-12-31
0001766156-24-000002,97373603,TESLA INC,COM,88160R101,,256726,1026,SH,,SOLE,,0,0,1026,tesla inc,"Salomon & Ludwin, LLC",31-DEC-2023,,2023-12-31
0001690531-24-000001,97367997,TESLA INC,COM,88160R101,,746186,3003,SH,,SOLE,Clearwater Capital Partners,0,0,3003,tesla inc,"Clearwater Capital Advisors, LLC",31-DEC-2023,,2023-12-31
0000829407-24-000001,97040957,TESLA INC,COM,88160R101,,1260145,5071,SH,,SOLE,Montag,0,0,5071,tesla inc,MONTAG A & ASSOCIATES INC,31-DEC-2023,,2023-12-31
0001715740-24-000002,96945709,TESLA INC COM,Stock,88160R101,,671890,2704,SH,,SOLE,,2704,0,0,tesla inc com,"Bogart Wealth, LLC",31-DEC-2023,,2023-12-31
0001951757-24-000224,97102046,TESLA INC,COM,88160R101,,490500,1974,SH,,SOLE,,0,0,1974,tesla inc,"Sovereign Financial Group, Inc.",31-DEC-2023,,2023-12-31
0002010453-24-000001,97260539,TESLA INC,COM,88160R101,,421422,1696,SH,,SOLE,,1696,0,0,tesla inc,"PATRICK M SWEENEY & ASSOCIATES, INC",31-DEC-2023,,2023-12-31
0002000490-24-000001,97219724,"Tesla Motors, Inc.",COM,88160R101,,310,1246,SH,,SOLE,,0,0,1246,"tesla motors, inc.","GUNN & Co INVESTMENT MANAGEMENT, INC.",31-DEC-2023,,2023-12-31
0001951757-24-000225,96882380,TESLA INC,COM,88160R101,,5620369,22619,SH,,SOLE,,22619,0,0,tesla inc,"Summit Trail Advisors, LLC",31-DEC-2023,,2023-12-31
0001951757-24-000226,97338468,TESLA INC,COM,88160R101,,3516986,14154,SH,,SOLE,,0,0,14154,tesla inc,Wealthcare Advisory Partners LLC,31-DEC-2023,,2023-12-31
0001085146-24-000766,97347649,TESLA INC,COM,88160R101,BBG001SQKGD7,4952,200,SH,Put,SOLE,,0,0,2,tesla inc,"Private Advisor Group, LLC",31-DEC-2023,,2023-12-31
0001085146-24-000766,97347648,TESLA INC,COM,88160R101,BBG001SQKGD7,46498026,189181,SH,,SOLE,,0,0,189181,tesla inc,"Private Advisor Group, LLC",31-DEC-2023,,2023-12-31
0001085146-24-000771,97259387,TESLA INC,COM,88160R101,BBG001SQKGD7,53302936,214516,SH,,SOLE,,214516,0,0,tesla inc,Maryland State Retirement & Pension System,31-DEC-2023,,2023-12-31
0001085146-24-000772,97288167,TESLA INC,COM,88160R101,BBG001SQKGD7,298176,1200,SH,,SOLE,,1200,0,0,tesla inc,Machina Capital S.A.S.,31-DEC-2023,,2023-12-31
0002010765-24-000001,97032810,TESLA INC,COM,88160R101,,268607,1081,SH,,SOLE,0,386,0,695,tesla inc,Fielder Capital Group LLC,31-DEC-2023,,2023-12-31
0001085146-24-000777,97020707,TESLA INC,COM,88160R101,BBG001SQKGD7,9625121,38736,SH,,SOLE,2,0,0,38736,tesla inc,LINCOLN NATIONAL CORP,31-DEC-2023,,2023-12-31
0001085146-24-000777,97020706,TESLA INC,COM,88160R101,BBG001SQKGD7,2249489,9053,SH,,SOLE,3,0,0,9053,tesla inc,LINCOLN NATIONAL CORP,31-DEC-2023,,2023-12-31
0001764387-24-000001,96824727,TESLA INC,COM,88160R101,,19514228,78534,SH,,SOLE,0,739,0,77796,tesla inc,"Apollon Wealth Management, LLC",31-DEC-2023,,2023-12-31
0001941040-24-000084,97046345,TESLA INC,COM,88160R101,,1767911,7115,SH,,SOLE,,0,0,7115,tesla inc,"Peregrine Asset Advisers, Inc.",31-DEC-2023,,2023-12-31
0001085146-24-000779,97180052,TESLA INC,COM,88160R101,BBG001SQKGD7,707901,2849,SH,,SOLE,,0,0,2849,tesla inc,CAPITAL PERFORMANCE ADVISORS LLP,31-DEC-2023,,2023-12-31
0001085146-24-000780,96867737,TESLA INC,COM,88160R101,BBG001SQKGD7,1431739,5762,SH,,SOLE,,0,0,5762,tesla inc,N.E.W. Advisory Services LLC,31-DEC-2023,,2023-12-31
0001085146-24-000782,96825853,TESLA INC,COM,88160R101,BBG001SQKGD7,10943331,44041,SH,,SOLE,,43134,0,907,tesla inc,"Empirical Financial Services, LLC d.b.a. Empirical Wealth Management",31-DEC-2023,,2023-12-31
0001085146-24-000783,97063978,TESLA INC,COM,88160R101,BBG001SQKGD7,2191097,8818,SH,,SOLE,,3443,0,5375,tesla inc,WELCH & FORBES LLC,31-DEC-2023,,2023-12-31
0001085146-24-000784,96873608,TESLA INC,COM,88160R101,BBG001SQKGD7,228391,919,SH,,SOLE,,919,0,0,tesla inc,"Aviance Capital Partners, LLC",31-DEC-2023,,2023-12-31
