FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"ALPINE WOODS CAPITAL INVESTORS, LLC",,-14.4,30.03,18.58,-7.73,12.3,3.32,49.64,-27.13,-20.27,1.0,-22.94,26.92,17.79,-11.2,110447.19,-65.95,40.64,2.93,7.41
ALTA CAPITAL MANAGEMENT LLC/,,36.68,-2.23,13.16,-17.31,10.9,-47.93,23.85,-4.75,-37.16,-3.49,89374.69,20.33,12.26,-14.59,10.08,-12.54,31.0,4.52,3.7
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,inf,-20.05,-20.88,3.37,94651.49,4.47,-7.27,-8.37,10.59,1.72,30.97,3.56,3.27
ALTFEST L J & CO INC,,46.6,20.59,12.07,-11.09,9.77,1.3,22.15,-7.74,-2.68,4.17,-7.66,31.48,99.84,-3.5,10.94,-11.08,23.92,8.54,107074.38
AM INVESTMENT STRATEGIES LLC,,inf,25.46,16.22,-2.46,12.95,3.42,28.17,-1.9,-22.2,1.41,-5.69,23.1,15.77,-11.16,13.25,-9.21,22.99,7.77,1.17
AM Squared Ltd,,,,,,,,,,,,,,,,,inf,-100.0,,
AMALGAMATED BANK,,-43.36,21.56,13.86,-13.6,321.23,-1.14,189.01,2.8,-62.26,3.7,-7.68,29.59,13.74,-15.66,6.04,-22.86,20.87,14.04,5.26
"AMARA FINANCIAL, LLC.",,,,,,,,,,,,,,,,,,,inf,7.59
AMERICAN ASSET MANAGEMENT INC.,,,,,,,,,,,,inf,26.91,17.63,-23.73,30.18,-10.93,19.9,10.63,7.48
AMERICAN FINANCIAL & TAX STRATEGIES INC,,,,,,,,,,,,,,,,inf,-10.93,23.94,-7.71,7.48
AMERICAN INTERNATIONAL GROUP INC,,29.97,20.38,-100.0,,,,,,,,,,,,,,,,
"AMERICAN INTERNATIONAL GROUP, INC.",,,,inf,-11.63,8.7,104.14,-37.98,-5.07,-24.08,-2.65,88676.28,26.81,18.59,-14.04,10.9,-100.0,,,
AMERICAN NATIONAL BANK & TRUST CO /VA/,,,,,,,,,,,,,,,,,inf,-100.0,,
AMERICAN NATIONAL INSURANCE CO,,-100.0,inf,14.45,-13.97,11.96,3.23,-82.25,-100.0,,,,,,,,,,,
AMERICAN NATIONAL INSURANCE CO /TX/,,inf,-100.0,,,,,,,,,,,,,,,,,
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
