FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",,-44.24,128.97,90.21,12.62,5.69,9.45,-0.45,-65.84,-14.51,32.18,345145.55,-11.28,-17.55,-27.17,81.9,-59.79,9.87,-10.43,18.56
Daiwa Securities Group Inc.,,0.0,101.32,15.25,-8.93,11.17,6.42,1.95,4.44,-30.69,9.3,-14.53,30.33,35.84,-6.24,31.46,63.07,27.21,8.88,32.91
Dakota Community Bank & Trust NA,,,,,,,,,,,inf,-70.68,368698.72,25.07,-6.02,27.21,-11.14,3.14,-3.58,49.78
Dakota Wealth Management,,53.91,32.66,11.83,-1.98,16.7,1.08,8.18,3.22,-42.45,18.68,52675.37,26.78,150.19,7.88,-100.0,,,,
Dale Q Rice Investment Management Ltd,,,,,,,,,,,,,,,,,,,,inf
"Dana Investment Advisors, Inc.",,41.27,5.38,8.9,-3.98,1.88,-2.57,0.31,3.38,-25.27,7.15,70502.1,21.83,20.15,2.03,16.99,21.07,118.16,-52.47,16.82
"Danda Trouve Investment Management, Inc.",,50.0,31.06,-19.08,-100.0,,inf,1.48,-2.19,-33.55,-100.0,,,,,,,,,
"Daner Wealth Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"Daniels&Tansey,LLP",,,,inf,-4.51,18.18,7.08,1.44,-3.12,-33.63,8.37,-100.0,inf,30.75,-7.01,-100.0,,,,
Dantai Capital Ltd,,,,,,,,,,,,,,inf,153.54,40.42,18.72,7.13,6.68,-100.0
Darden Wealth Group Inc,,,,,,,,,,,,,,,,inf,19.86,4.08,-2.81,20.51
"Darrow Company, Inc.",,,,,,,,inf,-47.26,-36.24,-100.0,,,,,inf,18.72,7.13,-3.58,17.74
Darsana Capital Partners LP,,,,,,inf,-4.51,-100.0,,,,,,,,,,,,
"Darwin Advisors, LLC",,,inf,-2.01,68.53,0.84,-13.44,-9.39,-19.84,-18.96,-100.0,,,,,,,,,
"Darwin Wealth Management, LLC",,,,,,,,,,,inf,80555.87,-4.01,29.12,-0.18,36.35,3.87,-100.0,inf,-100.0
Dash Acquisitions Inc.,,,,inf,455.12,129.87,4.08,47.71,5.0,-33.45,13.26,70769.02,36.82,35.85,2.31,19.51,21.83,13.92,4.69,26.8
David J Yvars Group,,,,inf,-2.83,12.26,-3.95,171.06,-94.35,-32.85,273.33,6461.35,112.28,26.19,4.1,31.13,22.15,7.5,-4.1,13.77
David Kennon Inc,,,,,,,,,,,inf,71424.75,32.07,28.44,-4.56,19.52,24.31,9.73,-3.58,17.74
David Loasby,,,inf,27.94,-6.63,-100.0,,,,,,,,,,,,,,
David R. Rahn & Associates Inc.,,41.5,7.83,8.86,-5.41,11.46,40.31,9.07,-24.44,-15.05,5.2,61925.32,21.2,25.32,-1.32,-100.0,,,,
David Wealth Management LLC,,,,,,,,,,,,,,,,,,,,inf
Davidson Capital Management Inc.,,46.22,-19.31,6.45,-51.11,13.68,-1.76,5.3,0.68,-99.8,36033.33,132.47,72.18,26.2,4.47,19.52,36735.73,31.09,7.45,20.37
"Davidson Kahn Capital Management, LLC",,,,,,,,,,,,,,,,,,,,inf
Davidson Kempner Capital Management LP,,160.84,15.15,77.39,-17.92,47.06,-100.0,inf,456.65,-100.0,inf,-100.0,,inf,-85.17,872.37,1.21,12.31,-100.0,inf
"Davies Financial Advisors, Inc.",,,,,,,,,,,,,,,,,inf,9.19,-6.1,4.33
Davis Capital Management,,58.82,-100.0,,,,,,,,,,,,,inf,16.0,8.85,-3.08,15.69
"Davis Investment Partners, LLC",,,,,,,,,,,,inf,-9.07,89.92,9.16,9.25,34.04,79.64,-18.14,32.33
Davis Selected Advisers,,,,,,,,,,,,inf,30.48,25.79,-11.95,12.81,95.18,-46.85,-31.53,10.36
Davy Global Fund Management Ltd,,35.33,14.15,-0.45,13.39,3.16,-19.35,-87.85,-100.0,,,,,,,,,,,
"Day & Ennis, LLC",,43.86,16.2,5.63,-2.96,12.49,3.11,1.53,-2.07,-32.21,14.77,79653.22,22.95,10.09,-2.49,19.61,-100.0,,,
"DeDora Capital, Inc.",,31.22,9.54,6.26,-2.33,12.44,-4.56,-0.88,-0.08,-33.09,6.04,74533.69,22.84,28.18,-5.51,18.2,135.46,-46.1,-3.52,15.6
"Dean, Jacobson Financial Services, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
"Deane Retirement Strategies, Inc.",,42.42,14.89,1.85,-1.82,7.41,-3.45,1.79,-1.75,3103.57,-97.88,75057.89,145.93,26.21,7670.59,11.39,-40.5,5.63,-98.69,5349.43
"Decatur Capital Management, Inc.",,41.5,42.71,1.05,-49.68,11.18,-56.04,0.09,8.55,-34.84,6.39,-25.66,103309.65,24.41,-2.49,28.81,17.55,10.16,-3.47,16.03
"Dechtman Wealth Management, LLC",,,,,,,,,,,,,,inf,-99.82,19.56,235900.62,-45.28,-3.34,17.74
"DecisionMap Wealth Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"DecisionPoint Financial, LLC",,,,,,,,,,,,inf,22.3,26.21,-11.35,284.75,17.67,12.38,1.29,60.81
Decker Retirement Planning Inc.,,,,,,,,,,,,,,,,,,,,inf
DeepCurrents Investment Group LLC,,-100.0,,,,,,,,,,,,,,,,inf,-100.0,
"Defender Capital, LLC.",,41.32,-100.0,inf,-52.54,11.21,-4.45,1.47,95.41,-65.41,6.26,70111.62,22.84,29.77,-2.49,16.71,19.08,71.8,-9.48,17.7
Defined Financial Planning LLC,,,,,,,,,,,,,,,,,,,,inf
Degroof Petercam Asset Management,,,,,,,,,,,,,,,,inf,23.5,-100.0,,
DekaBank Deutsche Girozentrale,,,,inf,-100.0,,,,,,,,,,,,,,,
"Del-Sette Capital Management, LLC",,,,,,,,inf,-32.77,181.19,11.22,52261.53,-61.92,26.21,-29.79,19.52,18.72,3.45,-3.58,17.33
Delaney Dennis R,,41.59,-100.0,,,,,,,,inf,75300.0,35.85,26.15,5.24,35.09,19.42,7.03,2.37,-13.77
"Delos Wealth Advisors, LLC",,,,,,inf,-14.67,6.42,2.38,-36.69,26.81,38933.83,81.78,124.23,-42.44,10.09,25.98,17.68,-1.02,24.66
"Delphi Financial Group, Inc.",,,,inf,-4.99,11.18,-4.51,1.5,-2.22,-34.84,6.39,74236.28,22.96,26.21,-2.49,19.52,18.72,7.13,-3.58,17.74
Delphia (USA) Inc.,,,,,,,,inf,6.76,-21.98,-100.0,,,,,,,,,
Delta Financial Advisors LLC,,34.56,16.67,13.45,-2.62,12.27,0.03,2.06,-2.21,-15.24,6.29,-100.0,,,,,,,,
"Delta Financial Group, Inc.",,,,,,,,,,,,inf,18.89,-100.0,inf,21.26,18.05,9.87,-0.32,18.95
Delta Global Management LP,,,,,,,,,,,,,,,,inf,60.99,16.35,-67.64,18.18
"Delta Investment Management, LLC",,286.11,-45.01,4.82,-14.43,11.84,107.89,34.69,48.38,-17.34,-12.41,92701.45,22.48,10.7,-15.98,-2.44,10.97,7.55,-0.23,3.89
"Demars Financial Group, LLC",,inf,-100.0,inf,-2.38,14.58,0.28,7.18,5.27,-28.52,57.44,97326.68,6.92,23.42,-25.52,-60.59,-9.74,4.55,-3.26,-99.46
Dempze Nancy E,,40.16,14.84,39.45,-3.04,23.92,-4.65,-4.69,1.17,-57.62,9.82,75176.48,31.36,27.11,34.03,33.23,14.27,11.8,22.03,17.05
Dentgroup LLC,,,,,,,,,,,inf,92320.59,22.96,26.21,0.6,-100.0,,,,
"Denver PWM, LLC",,,,,,,,,,,,,,,,,inf,-18.17,69.16,-54.07
Derbend Asset Management,,,,,,inf,-3.87,26.32,0.0,-3.35,7.35,74759.21,33.79,28.0,-2.49,23.67,20.41,-100.0,,
Deseret Mutual Benefit Administrators,,,,,,inf,-7.76,21.24,-3.87,-20.8,-4.6,49067.44,45.75,34.05,-7.93,-8.79,12.92,4.06,0.11,18.21
Desjardins Global Asset Management Inc.,,,,,,,,inf,-3.04,-49.56,4.72,-29.72,277.71,43245.71,95.41,-10.08,-100.0,,,
Destination Wealth Management,,43.06,10.08,5.7,1.9,9.97,36.07,5.93,0.73,-33.1,11.13,67522.37,47.29,25.38,-4.27,17.18,15.72,2.19,-2.4,14.51
"Destiny Wealth Partners, LLC",,,,,,,inf,7.25,6.98,-28.46,8.51,82929.61,36.24,26.46,-3.01,14.23,22.94,-11.73,-1.17,19.6
"Detalus Advisors, LLC",,40.85,7.58,4.73,-1.63,8.65,-4.5,-3.12,-7.7,-32.17,7.77,93911.86,16.87,26.27,-2.49,9.43,26.69,22.99,-3.9,17.34
"Deuterium Capital Management, LLC",,,,,,,,inf,-29.55,-89.11,-100.0,inf,-37.5,14031.39,-72.34,-100.0,,,,
"DiMeo Schneider & Associates, L.L.C.",,,,inf,-100.0,,,,,,,,,,,,,,,
"DiNuzzo Private Wealth, Inc.",,,,,,,,,,,,,,,,inf,-40.37,54.35,42.7,21.75
"Diligent Investors, LLC",,36.39,20.03,6.66,13.25,-6.19,0.0,41.43,-27.16,-26.35,14.92,73764.65,24.39,34.89,0.8,12.37,25.4,11.63,6.95,19.79
Disciplina Capital Management LLC,,,,inf,58.33,33.42,-4.51,26.88,4.29,-34.84,4.07,-25.66,11.18,223.32,-2.49,19.53,18.72,7.13,-17.15,17.74
"Disciplined Equity Management, Inc.",,,,,,,,inf,-2.21,-34.84,6.44,-24.19,120299.39,26.21,-2.49,70.73,-16.89,7.13,-3.58,17.74
"Disciplined Investments, LLC",,41.67,64.71,-7.14,30.77,11.76,236.84,38.28,84.18,309.51,-2.4,3284.5,172.26,-28.99,-100.0,,,,,
"Disciplined Investors, L.L.C.",,,,,,,,,,,,,,,,,,,,inf
"Divergent Planning, LLC",,,,inf,4.49,5.02,-9.22,3.38,-2.55,-100.0,,,,inf,2.93,49.51,68.1,3.85,-5.61,5.17
"Diversified Enterprises, LLC",,,,,,,,,,,,,,,,,,,inf,52.55
"Diversified Portfolios, Inc.",,30.63,171.38,48.16,-20.41,20.8,-7.14,3.17,-10.8,-54.28,56.85,93192.58,35.05,20.48,-8.17,25.57,20.44,81.33,-2.94,19.81
Diversified Trust Co,,47.33,40.91,8.1,-1.67,9.69,-2.12,3.13,-2.01,-36.74,8.38,-21.82,127022.71,32.21,1.8,20.99,30.97,16.47,-8.8,20.73
"Diversified, LLC",,,,inf,-1.78,-28.75,-4.59,1.51,-0.18,-31.46,1.54,87770.83,2.33,21.8,13.5,20.28,15.34,48.16,-1.85,-100.0
"Diversify Advisory Services, LLC",,,,,,,,,,,,,,,,,inf,64.81,-41.2,13.16
Dixon Hughes Goodman Wealth Advisors LLC,,,,,,,,inf,57.06,-100.0,,,,,,,,,,
Dixon Mitchell Investment Counsel Inc.,,,,,,inf,67.63,73.6,3.83,-35.91,6.15,27.52,24.53,25.85,-9.68,17.12,17.0,11.23,0.68,2.45
"Dodds Wealth, LLC",,,,,,,,,,,,,,,,inf,30.0,22.79,-1.81,25.91
Dodge & Cox,,116.36,6.09,-17.17,-4.99,6.54,-4.48,1.47,-2.23,-34.82,86075.9,119445.85,49.91,25.64,-3.83,133.87,-41.43,6.72,-3.88,17.01
Dogwood Wealth Management LLC,,,,,,,,,,,,,,,,inf,20.46,-100.0,inf,-100.0
"Doman Group, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
"Domani Wealth, LLC",,34.09,0.96,5.8,-2.93,58.31,-9.48,1.13,-4.0,-41.69,4.19,73184.54,13.45,-100.0,,,,,,
"Dominguez Wealth Management Solutions, Inc.",,,,,,,,,,,,,,inf,2.99,58.94,9.41,22.34,-1.75,17.17
"Donald L. Hagan, LLC",,22.39,14.33,3.47,-5.15,-7.34,-13.2,1.35,413.0,-38.21,16.4,-100.0,,,,,,,inf,20.54
Donoghue Forlines LLC,,,,inf,-20.11,-100.0,,,,,,,,,,,inf,73.51,-100.0,
"Donor Advised Charitable Giving, Inc.",,,,,,,,,,,,,,,,,,,inf,17.74
"Dorsal Capital Management, LLC",,-16.95,-20.91,-100.0,,,inf,103.0,83.09,-38.64,-1.28,9192.04,2195.33,-36.14,-100.0,,,,,
"Dorsal Capital Management, LP",,,,,,,,,,,,,,,inf,69.44,-14.17,-17.29,5.79,5.82
Dorsey Wright & Associates,,inf,24.82,222.85,-100.0,,,,,,,,,,,,,,,
DoubleLine ETF Adviser LP,,,,,,,,,,,,inf,35.3,4.53,-4.74,28.7,-100.0,inf,-100.0,
Dougherty Wealth Advisers LLC,,41.13,14.29,3.5,-5.07,11.2,-4.58,1.44,-2.13,-34.78,6.3,74241.46,18.12,26.21,-2.49,19.52,5.09,11.85,-3.58,17.74
"Douglas Lane & Associates, LLC",,55.19,14.92,2.35,-4.13,12.86,-2.23,5.75,2.14,-34.11,5.61,56942.15,27.14,43.37,-7.97,17.96,18.0,7.44,-3.23,19.23
"Douglass Winthrop Advisors, LLC",,52.51,16.81,18.14,0.32,20.22,6.51,4.53,6.54,-31.47,9.75,-19.64,29.4,124920.84,-2.38,21.05,18.97,7.58,-1.46,19.99
Doyle Wealth Management,,38.2,8.32,5.41,-5.05,13.31,-3.1,2.16,2.98,-32.76,7.31,-100.0,,,,,,,,
"Drake & Associates, LLC",,,,,,,,,,inf,19.02,98421.41,17.43,38.09,-1.59,19.11,20.23,-28.22,17.94,71.86
"Draper Asset Management, LLC",,,,inf,-3.29,13.63,-1.64,3.78,-0.22,-36.19,6.29,74955.19,10.9,25.17,-5.5,19.82,18.01,3.28,-1.24,16.46
Drexel Morgan & Co.,,41.03,14.55,3.17,-4.62,11.29,-100.0,,,,,,,,,,inf,33.32,-3.58,17.74
Driehaus Capital Management LLC,,,,,,,,,,,,,,inf,33.24,6.82,7.22,169.88,-66.52,21.12
"Drucker Wealth 3.0, LLC",,,,,,,,,,,,,,,,,,inf,1.3,0.0
Dubuque Bank & Trust,,,,inf,-100.0,,,,,,,,,,,,,,,
Dubuque Bank & Trust Co,,,,,,inf,-100.0,,,,,,,,inf,-100.0,,,,
"Duncan Williams Asset Management, LLC",,,,,,,,,,,,,,,,,inf,13.94,28.51,95.11
"Dunhill Financial, LLC",,,,,,,,,,,,,,inf,-2.29,-3.44,17.53,8.57,16.18,66.1
"Dupree Financial Group, LLC",,,,,,,,,,,,,,,,inf,17.12,-13.58,-5.54,-34.37
Dynamic Advisor Solutions LLC,,53.19,33.59,9.36,-17.7,28.28,12.81,-2.44,0.99,-30.78,-4.36,83490.12,34.49,24.66,7.32,21.6,16.72,21.82,-0.89,12.87
Dynamic Technology Lab Private Ltd,,,,,inf,126.46,-27.32,-7.09,-12.98,-27.49,-100.0,inf,-2.41,-17.49,116.63,-1.27,-69.83,26.52,47010.68,159.77
"Dynamic Wealth Strategies, LLC",,,,,,,,,,,,,,,,inf,-99.87,7.02,-3.58,120406.19
"Dynasty Wealth Management, LLC",,,,,,,,,,,,,,,,,inf,10.38,-22.99,-28.93
