ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001855205-24-000049,106440999,SALESFORCE INC,COM,79466L302,,147429,539,SH,,SOLE,,0,0,539,salesforce inc,"Frazier Financial Advisors, LLC",30-SEP-2024,,2024-09-30
0000950123-24-010457,106763277,SALESFORCE INC,COM,79466L302,BBG000BN2GH0,32655245,119306,SH,,SOLE,,119306,0,0,salesforce inc,MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,30-SEP-2024,,2024-09-30
0001855205-24-000048,107954234,SALESFORCE INC,COM,79466L302,,101546,371,SH,,SOLE,,0,0,371,salesforce inc,"Cassady Schiller Wealth Management, LLC",30-SEP-2024,,2024-09-30
0001839307-24-000004,107055100,SALESFORCE INC COM,Stock,79466L302,,260298,951,SH,,SOLE,0,951,0,0,salesforce inc com,GoalVest Advisory LLC,30-SEP-2024,,2024-09-30
0001714678-24-000004,107632444,SALESFORCE INC.,Common,79466L302,,431,1575,SH,,SOLE,,1575,0,0,salesforce inc.,Beaton Management Co. Inc.,30-SEP-2024,,2024-09-30
0001811480-24-000009,106348784,SALESFORCE INC,COM,79466L302,,14094207,51493,SH,,SOLE,,0,0,51493,salesforce inc,SIGNATURE ESTATE & INVESTMENT ADVISORS LLC,30-SEP-2024,,2024-09-30
0000914933-24-000013,107793416,salesforce.com Inc,Com,79466L302,,2629806,9608,SH,,SOLE,0,9608,0,0,salesforce.com inc,CONNABLE OFFICE INC,30-SEP-2024,,2024-09-30
0001420506-24-002236,106812734,SALESFORCE INC,COM,79466L302,BBG001SDLP09,245328,895,SH,,SOLE,,0,0,895,salesforce inc,"BluePointe Capital Management, LLC",30-SEP-2024,,2024-09-30
0001162044-24-001211,105874021,SALESFORCE INC COM,COM,79466L302,,204549,747,SH,,SOLE,,747,0,0,salesforce inc com,Archer Investment Corp,30-SEP-2024,,2024-09-30
0001572838-24-000015,105840273,SALESFORCE INC,COM,79466L302,,3213355,11740,SH,,SOLE,,11740,0,0,salesforce inc,"Empowered Funds, LLC",30-SEP-2024,,2024-09-30
0001690370-24-000005,107262836,SALESFORCE INC,COM,79466L302,,13561899,49548,SH,,SOLE,0,1480,0,48068,salesforce inc,OneDigital Investment Advisors LLC,30-SEP-2024,,2024-09-30
0001568235-24-000012,105833721,SALESFORCE INC,COM,79466L302,,389,1423,SH,,SOLE,,1423,0,0,salesforce inc,King Wealth Management Group,30-SEP-2024,,2024-09-30
0001104659-24-114608,107636020,Salesforce.com Inc,COM,79466L302,,1328315,4853,SH,,SOLE,,4845,0,8,salesforce.com inc,DEARBORN PARTNERS LLC,30-SEP-2024,,2024-09-30
0001811240-24-000005,107354557,SALESFORCE INC,COM,79466L302,,1200574,4386,SH,,SOLE,0,0,0,4386,salesforce inc,Souders Financial Advisors,30-SEP-2024,,2024-09-30
0001849614-24-000009,108016051,Salesforce Inc,Common Stock,79466L302,,473668,1731,SH,,SOLE,,0,0,1731,salesforce inc,"ENCOMPASS WEALTH ADVISORS, LLC",30-SEP-2024,,2024-09-30
0000950123-24-010380,107602917,SALESFORCE,COMMON STOCK,79466L302,,8705074,31804,SH,,SOLE,,31701,0,103,salesforce,Simmons Bank,30-SEP-2024,,2024-09-30
0000950123-24-010380,107602918,SALESFORCE,COMMON STOCK,79466L302,,23265,85,SH,,SOLE,2,0,0,85,salesforce,Simmons Bank,30-SEP-2024,,2024-09-30
0002025925-24-000003,106813178,SALESFORCE INC,COM,79466L302,,51420,200,SH,,SOLE,,0,0,200,salesforce inc,Breakwater Investment Management,30-SEP-2024,,2024-09-30
0001316617-24-000014,107897757,Salesforce Inc.,Common Stock,79466L302,,1846721,6747,SH,,SOLE,0,0,0,6747,salesforce inc.,SATURNA CAPITAL CORP,30-SEP-2024,,2024-09-30
0001822587-24-000005,106962288,SALESFORCE INC COM,Common Stock,79466L302,,97755,327,SH,,SOLE,,0,0,327,salesforce inc com,Cornerstone Planning Group LLC,30-SEP-2024,,2024-09-30
0000903783-24-000006,106935960,Salesforce Inc,Com,79466L302,,8485,31,SH,,SOLE,0,31,0,0,salesforce inc,OLD SECOND NATIONAL BANK OF AURORA,30-SEP-2024,,2024-09-30
0001609674-24-000006,107957804,SALESFORCE INC,COM,79466l302,,298344,1090,SH,,SOLE,,1090,0,0,salesforce inc,"Mengis Capital Management, Inc.",30-SEP-2024,,2024-09-30
0001839882-24-037811,107258415,SALESFORCE INC,COM,79466L302,,7689882,28095,SH,,SOLE,,28095,0,0,salesforce inc,"Grafton Street Partners Fund, LP",30-SEP-2024,,2024-09-30
0001062993-24-018306,105827644,SALESFORCE INC,COM,79466L302,,1729847,6320,SH,,SOLE,,3866,0,2454,salesforce inc,Rossmore Private Capital,30-SEP-2024,,2024-09-30
0001085146-24-005376,106416872,SALESFORCE INC,COM,79466L302,BBG001SDLP09,1523113,5565,SH,,SOLE,,5565,0,0,salesforce inc,"OBERMEYER WOOD INVESTMENT COUNSEL, LLLP",30-SEP-2024,,2024-09-30
0001085146-24-005374,107193622,SALESFORCE INC,COM,79466L302,BBG001SDLP09,5342682,19520,SH,,SOLE,,19520,0,0,salesforce inc,"Bouvel Investment Partners, LLC",30-SEP-2024,,2024-09-30
0001085146-24-005373,106359120,SALESFORCE INC,COM,79466L302,BBG001SDLP09,343583,1255,SH,,SOLE,,1255,0,0,salesforce inc,"Main Street Financial Solutions, LLC",30-SEP-2024,,2024-09-30
0001085146-24-005372,107992267,SALESFORCE INC,COM,79466L302,BBG001SDLP09,539047,1969,SH,,SOLE,,0,0,1969,salesforce inc,"D'Orazio & Associates, Inc.",30-SEP-2024,,2024-09-30
0001085146-24-005372,107992268,SALESFORCE INC,COM,79466L302,BBG001SDLP09,273710,1000,PRN,Call,SOLE,,0,0,1000,salesforce inc,"D'Orazio & Associates, Inc.",30-SEP-2024,,2024-09-30
0001085146-24-005368,106051869,SALESFORCE INC,COM,79466L302,BBG001SDLP09,11280958,41215,SH,,SOLE,,41215,0,0,salesforce inc,ICICI Prudential Asset Management Co Ltd,30-SEP-2024,,2024-09-30
0001085146-24-005367,105871178,SALESFORCE INC,COM,79466L302,BBG001SDLP09,2521585,9213,SH,,SOLE,,0,0,9213,salesforce inc,"Kovack Advisors, Inc.",30-SEP-2024,,2024-09-30
0001085146-24-005364,107794292,SALESFORCE INC,COM,79466L302,BBG001SDLP09,1833857,6700,SH,,SOLE,,6700,0,0,salesforce inc,Parametrica Management Ltd,30-SEP-2024,,2024-09-30
0001085146-24-005360,107364461,SALESFORCE INC,COM,79466L302,BBG001SDLP09,11860402,43332,SH,,SOLE,,43332,0,0,salesforce inc,OPPENHEIMER & CO INC,30-SEP-2024,,2024-09-30
0001654847-24-000006,105921411,Salesforce Inc,COM,79466L302,,1089,3980,SH,,SOLE,,1089,0,0,salesforce inc,"Community Bank & Trust, Waco, Texas",30-SEP-2024,,2024-09-30
0001420506-24-002221,107887514,SALESFORCE INC,COM,79466L302,,102666749,375093,SH,,SOLE,,0,0,0,salesforce inc,"Empower Advisory Group, LLC",30-SEP-2024,,2024-09-30
0001172661-24-004477,107115509,SALESFORCE INC,COM,79466L302,,62564906,228581,SH,,SOLE,,228581,0,0,salesforce inc,CIBC Asset Management Inc,30-SEP-2024,,2024-09-30
0001034549-24-000004,107669232,SALESFORCE COM INC,COM,79466L302,,1820171,6650,SH,,SOLE,,4400,0,2250,salesforce com inc,PARADIGM ASSET MANAGEMENT CO LLC,30-SEP-2024,,2024-09-30
0001085146-24-005381,106535084,SALESFORCE INC,COM,79466L302,,1482413,5416,SH,,SOLE,,5416,0,0,salesforce inc,FUKOKU MUTUAL LIFE INSURANCE Co,30-SEP-2024,,2024-09-30
0001104659-24-114578,107222155,SALESFORCE INC COM,COM,79466L302,,1315724,4807,SH,,SOLE,,4807,0,0,salesforce inc com,CORNERCAP INVESTMENT COUNSEL INC,30-SEP-2024,,2024-09-30
0001398344-24-020030,107234941,SALESFORCE INC,COM,79466L302,,220610,806,SH,,SOLE,,0,0,806,salesforce inc,"Summit Asset Management, LLC",30-SEP-2024,,2024-09-30
0002009427-24-000006,106939859,SALESFORCE INC,COM,79466L302,,435199,1590,SH,,SOLE,0,0,0,1590,salesforce inc,"One Wealth Management Investment & Advisory Services, LLC",30-SEP-2024,,2024-09-30
0001674581-24-000006,108014437,Salesforce.Com Inc,Common Stock,79466L302,,2841427,10366,SH,,SOLE,-,0,0,10366,salesforce.com inc,"Cable Hill Partners, LLC",30-SEP-2024,,2024-09-30
0001398344-24-020028,107757430,SALESFORCE INC,COM,79466L302,,2951646,10784,SH,,SOLE,,10784,0,0,salesforce inc,Fortis Capital Management LLC,30-SEP-2024,,2024-09-30
0001062993-24-018364,106570227,SALESFORCE INC,COM,79466L302,,2352537,8595,SH,,SOLE,,8595,0,0,salesforce inc,Bell Bank,30-SEP-2024,,2024-09-30
