FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"AFT, FORSYTH & COMPANY, INC.",,,,,,,,,,,,inf,119.69,29.0,10.47,23.87,32.78,5.07,20.58,0.37
AGF INVESTMENTS INC.,,21.94,1.73,15.26,-31.29,-19.11,275.28,0.74,-33.15,-77.5,-12.45,-100.0,,,,,,,,
AGF Investments LLC,,,inf,-100.0,,,,inf,-100.0,,,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,-2.8,-9.1,-9.72,13.57,0.36,-12.53,43.35,1932.54
"AHL INVESTMENT MANAGEMENT, INC.",,,,,,,,inf,-100.0,,,,,,,,inf,-3.79,13.53,2.28
AIFG Consultants Ltd.,,,,,,,,,,,,,,,,,,,inf,-100.0
"AIGEN INVESTMENT MANAGEMENT, LP",,42.32,-16.53,93.49,-92.01,254.39,-44.55,2519.49,-100.0,,,,,,,,,,,
AIGH Capital Management LLC,,,,,,,,,,,,,inf,-100.0,,,,,,
"AIMZ Investment Advisors, LLC",,,,,,,,inf,35.04,-27.49,-15.15,-16.05,176015.22,34.89,3.32,17.21,39.74,2.11,7.4,-0.09
"AIRE ADVISORS, LLC",,,,,,,,inf,-15.71,-24.07,-19.83,91393.82,52.0,32.4,3.31,15.22,24.7,7.11,20.2,1.65
"AJ Advisors, LLC",,,,,,,,,,,,,inf,34.25,-21.24,27.58,43.11,-100.0,,
"AJ WEALTH STRATEGIES, LLC",,,,,,,,inf,-28.78,-10.15,3.34,-67.71,165863.87,78.66,-100.0,,,,,
"AJO, LP",,-93.47,67.3,-100.0,,,,,,,,,,,,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,37.18,3.84,-100.0,
AKUNA SECURITIES LLC,,,,,,,,,,inf,-95.21,-100.0,,,,,,,,
ALBERT D MASON INC,,,,,,,,,,,inf,-10.4,94.43,36.7,-30.23,14.27,21.18,102825.92,15.32,1.94
ALBION FINANCIAL GROUP /UT,,,,inf,-100.0,inf,-39.13,5564.29,-27.99,-96.15,-36.36,88435.71,76.12,1235.65,5.64,16.75,38.67,13.44,28.71,45.71
ALERUS FINANCIAL  NA,,,,,,,,,inf,-48.57,-84.11,57163.88,53.85,27.67,531.29,86.62,31.95,-0.75,-100.0,
ALERUS FINANCIAL NA,,,,,,,,,,,,,,,,,,,inf,-7.62
"ALEXANDER LABRUNERIE & CO., INC.",,,,,,,,,,,,,,,,,inf,8.06,13.07,3.35
ALGERT GLOBAL LLC,,,,,,,inf,1050.67,11.82,2.21,-16.39,-36.74,141.6,102.06,-34.7,5.51,-54.84,88.98,183.57,9.98
ALKEON CAPITAL MANAGEMENT LLC,,,,,,,,inf,26.81,3.88,-20.17,132848.98,48.38,35.59,7.42,-28.04,61.19,-13.6,-43.61,-5.36
ALLSTATE CORP,,53.95,1.83,25.23,10.22,-8.49,-5.14,2.41,2671.66,-30.46,-4.46,-100.0,inf,-100.0,,,,,,inf
ALPHA WINDWARD LLC,,-100.0,,,,,,,,,,,,,,,,,,
"ALPHASIMPLEX GROUP, LLC",,,,,inf,-100.0,,inf,-100.0,,,,,,,,,,,
ALPINE ASSOCIATES MANAGEMENT INC.,,,,,,,,,,,,,,,,,,,,inf
"ALPINE WOODS CAPITAL INVESTORS, LLC",,,,,,inf,-14.54,2615.35,-95.34,-24.26,-100.0,,,,,,inf,12.87,-3.67,-9.98
ALTA CAPITAL MANAGEMENT LLC/,,,,,,,inf,0.63,-28.01,-29.62,-14.12,1230.72,64.16,24.1,4.11,16.9,18.21,3.84,12.65,1.83
"ALTA FOX CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,,inf,2.28
ALTAROCK PARTNERS LLC,,,,,,,,,inf,-100.0,,,,,,,,,,
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,inf,-24.27,-27.45,-14.93,83646.15,69.55,-38.2,8.64,17.9,122.55,15.18,-10.73,5.18
ALTFEST L J & CO INC,,,,,,,,inf,766.52,-30.6,-85.05,-20.19,3.34,24.67,-0.15,18.62,24.15,17.9,7.81,109142.44
AM INVESTMENT STRATEGIES LLC,,,,,,,inf,3749.22,-31.24,-29.35,-14.37,-20.93,67.57,34.38,4.82,18.37,37.19,3.86,13.54,4.12
AM Squared Ltd,,,,,,,,,,,,inf,-100.0,inf,-66.84,-100.0,inf,-5.61,-100.0,
AMALGAMATED BANK,,-17.92,-1.53,15.3,20.19,862.88,-7.89,7738.25,-31.6,-66.72,-14.02,-9.25,66.72,35.86,1.91,12.09,18.8,2.1,16.89,-1.06
"AMARA FINANCIAL, LLC.",,,,,,,,,,,,,,,,,,,inf,-14.24
AMARILLO NATIONAL BANK,,,,,,,,inf,-34.0,-24.68,-100.0,,,,,,,,,
AMERICAN ASSET MANAGEMENT INC.,,,,,,,,,,,,,inf,35.41,-100.0,,,,,
AMERICAN INTERNATIONAL GROUP INC,,35.37,-2.01,-100.0,,,,,,,,,,,,,,,,
"AMERICAN INTERNATIONAL GROUP, INC.",,,,inf,28.04,-1.02,96.87,761.97,-35.3,-28.76,-16.39,88260.46,60.16,32.05,-0.33,19.64,-100.0,,,
AMERICAN NATIONAL BANK,,63.41,35.82,-7.69,-32.14,10.53,-30.16,-25.0,257.58,-28.81,71.43,50.69,158612.9,30.86,7.72,16.41,41.35,13.12,-100.0,
AMERICAN NATIONAL BANK & TRUST,,,,,,,,,,,,,,,,,,,inf,1.77
AMERICAN NATIONAL BANK & TRUST CO /VA/,,,,,,,,,,,,,,,,,inf,-100.0,,
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
AMF Pensionsforsakring AB,,37.89,43.17,-27.96,7.81,64.44,32.23,-100.0,,,,,,,,,,,,
AMF Tjanstepension AB,,,,,,,,inf,-0.92,-34.93,130.18,216026.2,0.33,-16.26,-91.31,21.43,987.47,105.63,178.64,-62.56
AMG National Trust Bank,,,,,,,inf,8575.99,-83.56,-33.69,-19.37,67832.04,82.49,37.03,1.79,24.05,41.3,29.65,11.3,5.02
AMH Equity Ltd,,,,,,,,,,,,,,,,,,,,inf
AMI ASSET MANAGEMENT CORP,,,,,,,,inf,51.31,-28.57,-31.53,-100.0,,,,,,,,
AMI INVESTMENT MANAGEMENT INC,,,,,,,,inf,107.8,-75.38,-17.07,89110.14,246.01,-46.14,-1.99,4.28,9.48,-1.49,11.63,0.23
AMICA MUTUAL INSURANCE CO,,,,,,,,,,,,,,inf,4.61,17.9,174.36,-48.08,3.84,-0.91
AMIRAL GESTION,,,,,,,,,,,,,,,,,,,,inf
AMJ Financial Wealth Management,,,,,,,,inf,-100.0,,,,,inf,7.64,18.25,-19.96,9.07,11.22,-1.43
AMS Capital Ltda,,,,,,,,,,,,,,inf,18.98,62.01,88.59,10.51,36.42,-6.73
"AMUNDI ASSET MANAGEMENT US, INC.",,,,,inf,-100.0,,,,,,,,,,,,,,
AMUSSEN HUNSAKER ASSOCIATES LLC,,,,,,,,inf,-55.34,-24.65,-8.31,49850.88,155.11,35.66,8.16,26.93,-100.0,,,
ANCHOR CAPITAL ADVISORS LLC,,,,,,,,inf,-20.24,-100.0,,,,,,,,,inf,2.28
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,inf,-29.04,-4.76,66956.11,130.55,43.69,22.15,157.65,35.36,13.14,-12.53,8.13
"ANGELO GORDON & CO., L.P.",,,,,,,,,,,,,,,inf,-26.32,-100.0,inf,-100.0,
ANTIPODES PARTNERS Ltd,,,,,,,,inf,-71.35,-11.35,25.01,-6.19,59.21,-13.46,9.42,-0.22,4.98,107134.08,-23.91,-100.0
"AO Asset Management, LP",,,,,,,,inf,-37.84,-100.0,,,,,,,,,,
APPALOOSA LP,,,,,,,,inf,-46.51,-18.52,-26.38,58184.62,114.4,190.64,35.77,11.86,-16.76,-13.51,-24.11,-19.81
"APPLETON GROUP, LLC",,,,,,,,inf,-19.37,-100.0,,,inf,-100.0,inf,-100.0,,,,
APPLETON PARTNERS INC/MA,,,,,,,,inf,-36.01,-32.04,-19.53,-23.88,69.97,33.39,4.14,12.94,30.5,246.86,24.13,6.12
"APPLIED RESEARCH INVESTMENTS, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
AR ASSET MANAGEMENT INC,,,,,,,,inf,-33.88,-28.11,-15.88,-23.74,-100.0,,,,,,,
ARBOR CAPITAL MANAGEMENT INC /ADV,,,,,,,,inf,-46.24,-100.0,,,inf,-11.66,-1.34,9.65,938.14,-89.47,722.01,-10.65
"ARBOR TRUST WEALTH ADVISORS, LLC",,,,,,,,inf,-100.0,inf,-36.25,61759.72,49.87,36.87,5.17,16.98,38.97,-2.53,0.0,23.89
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,,,,,,,inf,-34.06,-27.15,-53.64,50158.82,78.6,42.93,19.71,813.9,-84.53,302.15,267.72,21.63
"ARCH Venture Management, LLC",,,,,,,,,inf,-18.01,-2.99,92259.82,-100.0,,,,,,,
ARDSLEY ADVISORY PARTNERS LP,,,,,,,,,,,,inf,-8.89,118.48,25.1,-29.02,-100.0,inf,55.36,379.3
"ARGA Investment Management, LP",,,,,,,,,,,inf,2.62,-49.88,-98.12,-56.18,3.66,-3.3,-5.61,10.15,-7.37
ARGENT CAPITAL MANAGEMENT LLC,,,,,,,,inf,-34.62,-29.66,-15.65,-100.0,,,,,,,,
"ARGI Investment Services, LLC",,,,,,,,inf,-27.12,-22.82,-12.09,-21.15,-100.0,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,,,inf,4.61,17.67,302.74,5.14,15.08,3.46
"ARGUS INVESTORS' COUNSEL, INC.",,,,,,,,inf,-100.0,,,,,inf,7.74,131.01,-28.69,106.63,-37.74,1.48
"ARIEL INVESTMENTS, LLC",,37.42,2.95,28.91,27.49,-3.01,9.24,6.94,-14.42,-11.51,-11.5,113938.12,12.66,-0.22,-13.53,0.15,-5.7,-12.66,5.54,-13.92
ARISTEIA CAPITAL LLC,,,,inf,-100.0,,,,,,inf,137557.4,10.92,-100.0,inf,-100.0,,,,
"ARISTEIA CAPITAL, L.L.C.",,,,,,,,,,,,,,,,inf,419.2,-61.18,643.03,-25.56
ARK Investment Management LLC,,,,,inf,39.91,297.1,-73.42,-47.73,-66.67,54.99,50043.5,149.36,720.0,45.48,23.34,93.95,1.12,4.78,18.29
"ARMISTICE CAPITAL, LLC",,,,,,,,inf,65.27,-45.61,-31.57,-100.0,,,,,,,,inf
"ARMOR ADVISORS, L.L.C.",,,,,,,,inf,-12.32,-63.74,-100.0,,inf,7.78,-12.11,68.54,-4.48,-15.44,5.59,-100.0
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,8.43,40.17,-3.42,24.43,0.0,98.1,22.39,17.34
ARMSTRONG HENRY H ASSOCIATES INC,,,,,,,,,,inf,-15.59,-100.0,,,,,,,,
ARP AMERICAS LP,,-71.99,284.14,-100.0,,,,,,,,,,,,,,,,
"ARQ WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,27.71,9.76,53.08
ARROW FINANCIAL CORP,,,,,,,,inf,-18.63,-33.73,-27.27,-32.5,-100.0,,,,,,,
"ARS Investment Partners, LLC",,,,,,,inf,3190.62,-40.93,723.79,6.93,336474.19,-0.39,3.37,-8.36,22.66,12.21,-7.82,-7.78,-15.91
"ARS Wealth Advisors Group, LLC",,,,,,,,inf,-35.38,-30.22,36.57,18705.54,89.25,49.17,2.87,27.05,35.77,1.26,10.1,13.24
"ARTHUR M. COHEN & ASSOCIATES, LLC",,,,,,,,inf,-38.99,-27.45,-18.76,71559.59,69.41,35.83,4.65,3.34,65.62,28.87,19.28,4.58
"ARVEST INVESTMENTS, INC.",,,,,,,,,,,,,,,,inf,-4.5,11.25,16.52,-7.92
ARVEST TRUST CO N A,,,,,,,,inf,-49.23,-33.84,30.41,-100.0,,inf,6.65,72.23,76.03,1.81,-100.0,
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",,inf,-100.0,,,,inf,14673.23,-45.56,-54.04,-33.26,95416.21,63.46,8.46,105464.53,-99.98,48.39,-3.71,4.86,18.01
"ASB Consultores, LLC",,,,,,,,inf,-31.43,-42.48,-22.15,-100.0,,inf,6.34,-4.78,736.49,-34.41,12.68,-100.0
ASHFORD CAPITAL MANAGEMENT INC,,-100.0,,,,,,,,,,,,,,,,,,
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,inf,17.21,8.91
"ASPIRIANT, LLC",,,,,,,,inf,-34.47,-27.2,-16.16,86341.75,75.75,-65.11,8.64,14.05,56.3,-8.0,15.65,-3.8
ASSET MANAGEMENT CORP /IL/ /ADV,,,,inf,-40.49,-48.83,-52.44,1195.03,35.06,-27.89,-16.35,38276.3,16.37,-100.0,,,,,,
"ASSETMARK, INC",,201.55,56.01,-22.58,77.67,8.73,-91.75,188034.82,-19.93,-19.48,-15.5,-100.0,,,inf,110.05,32.1,4.85,33.26,14.71
"ATALANTA SOSNOFF CAPITAL, LLC",,,,,,,,inf,-64.37,10.95,-53.13,-100.0,inf,59.94,-2.59,28.81,36.43,-8.56,-30.95,34.33
ATLANTA CAPITAL MANAGEMENT CO L L C,,,,,,,,inf,-33.67,-26.14,-6.5,-100.0,,,,,,,,
ATLAS CAPITAL ADVISORS INC.,,,,,,,,,,,,,,,,,,,,inf
ATLAS CAPITAL ADVISORS LLC,,,,,inf,-27.4,-0.2,21.23,288.71,1041.1,-12.17,8.54,178.96,55.57,8.76,30.36,42.97,9.44,-4.02,-100.0
ATMOS CAPITAL GESTAO DE RECURSOS LTDA.,,,,,,,,inf,-50.43,-4.44,-8.29,78173.98,38.76,20.38,2.05,11.79,7.88,-25.59,38.69,-45.42
ATRIA INVESTMENTS LLC,,,,,,,,inf,-30.7,-38.13,-9.71,-100.0,,,,,,,,
"ATTICUS WEALTH MANAGEMENT, LLC",,,,,,,,inf,-5.61,-25.17,0.0,61250.93,-33.98,28.12,108.39,-33.01,85.07,2.85,31.66,3.24
ATW SPAC MANAGEMENT LLC,,,,,,,,inf,0.88,115.91,0.19,101474.54,-4.99,-98.58,5.03,-46.61,-5.61,32.18,17.15,-17.57
ATWOOD & PALMER INC,,,,,,,,inf,-36.04,-21.83,-21.83,88592.21,76.12,39.42,2.39,13.63,37.26,3.87,4.95,1.78
"AUA CAPITAL MANAGEMENT, LLC",,,inf,33.33,150.0,-50.0,-20.0,18475.0,175.37,-35.48,-18.33,85835.81,64.64,32.39,2.32,17.27,37.96,3.06,9.73,-5.71
AUGUSTINE ASSET MANAGEMENT INC,,,,,,,,,,,,,,,,inf,34.33,3.47,13.73,20.6
AUXIER ASSET MANAGEMENT,,,,,,,,inf,-33.89,-27.49,-17.37,89178.68,75.11,35.41,4.57,16.79,36.76,3.84,13.53,0.81
"AVAII WEALTH MANAGEMENT, LLC",,,,,,,,inf,-100.0,inf,-100.0,inf,-100.0,,,,,,,
