FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"ASPIRIANT, LLC",,,,,,,inf,42.18,-24.64,-28.57,-100.0,,,,,,,,,
ASSET MANAGEMENT CORP /IL/ /ADV,,,,,,,,,inf,54.84,-2.34,95172.27,29.37,-100.0,,,,,,
"ASSETMARK, INC",,inf,166.67,62.5,-17.95,43.75,619.57,1547.13,40.26,-3.41,-8.54,-100.0,,,inf,32.59,30.27,8.54,33.21,-32.5
"ATALANTA SOSNOFF CAPITAL, LLC",,,inf,2.85,-8.06,-57.43,65.9,70.82,21.07,-45.51,18.43,225645.86,-67.78,-39.33,-13.65,64.59,7.53,-35.33,7.82,-100.0
ATLAS CAPITAL ADVISORS INC.,,,,,,,,,,,,,,,,,,,,inf
ATLAS CAPITAL ADVISORS LLC,,inf,-100.0,inf,4.72,-75.3,9.55,185.88,-20.07,-45.03,-78.31,-61.16,51.32,16.22,-9.73,43.36,22.44,-10.12,1.15,-100.0
ATRIA INVESTMENTS LLC,,761.06,2.07,-59.74,-57.61,182.95,56.09,16.53,-26.04,-36.99,-17.41,-100.0,,,,,,,,
"ATTICUS WEALTH MANAGEMENT, LLC",,-14.52,56.6,109.64,-7.18,30.03,20.48,-42.29,-64.04,-55.24,0.0,83548.94,42.35,16.22,90.26,-31.98,-31.17,-9.85,8.38,-25.53
ATWOOD & PALMER INC,,,,inf,-100.0,inf,118.75,-30.0,-24.49,-29.73,-100.0,,,,inf,-56.99,22.46,479.02,18.59,-100.0
"AVAII WEALTH MANAGEMENT, LLC",,,,,,,,,,inf,-100.0,,,,,,,,,
AVALON CAPITAL MANAGEMENT,,,,,,,,,,,,,,,,inf,22.44,-9.85,1.15,-26.38
"AVANTAX ADVISORY SERVICES, INC.",,-47.07,535.73,-57.06,25.46,36.28,35.07,21.28,-3.48,8.79,-15.57,106072.1,48.29,30.3,-1.52,47.74,26.57,23.7,0.39,-19.88
AVISO WEALTH MANAGEMENT,,,,,,,,,,,,,,,,inf,31.23,-1.3,0.67,-66.82
AXIOM INTERNATIONAL INVESTORS LLC /DE,,,,inf,-100.0,,,,,,,,,,,,,,,
AXIOM INVESTORS LLC /DE,,,,,inf,164.49,-51.4,22.02,-41.81,-63.77,-51.16,102413.01,92.75,-99.41,35.85,-4.9,45.62,-29.75,-67.19,-100.0
"AXQ CAPITAL, LP",,,,,,,,,,,,inf,-100.0,,inf,-100.0,inf,58.03,-32.62,-100.0
AXS Investments LLC,,,,,inf,55.65,-100.0,inf,-70.67,147.23,0.0,111227.39,43.76,54.77,-16.53,37.65,72.16,-54.78,10.41,-20.41
"AXXCESS WEALTH MANAGEMENT, LLC",,,,,,,,inf,-18.88,-53.27,-19.26,88857.95,-9.17,229.59,33.26,82.34,22.26,15.13,-9.67,-21.87
AZZAD ASSET MANAGEMENT INC /ADV,,-100.0,inf,15.0,-28.65,-68.84,8.98,37.18,42.48,-23.71,-17.62,0.62,-22.68,20.82,-26.87,44.89,34.41,-15.68,5.67,-20.01
Aaron Wealth Advisors,,,,inf,-17.0,-100.0,,,,,,,,,,,,,,
Aaron Wealth Advisors LLC,,,,,,inf,10.37,32.58,742.97,-91.78,-13.2,100293.54,63.27,16.0,-17.11,54.56,50.94,-15.86,10.71,-32.8
"Abacus Planning Group, Inc.",,,,,,,,,inf,-100.0,,,inf,-100.0,,inf,20.42,-2.76,22.16,-33.19
"Abacus Wealth Partners, LLC",,,,,,,,,inf,-30.06,-17.14,-13.5,36.12,26.79,-9.74,167.81,-41.42,-10.91,4.67,-24.83
"Abbot Financial Management, Inc.",,,,,,,,,,,,,inf,13.61,15.18,54.14,22.16,3.51,16.02,-6.23
"Abbrea Capital, LLC",,20.97,-31.67,218.54,-8.73,-39.93,115.92,54.46,-48.16,-43.46,0.29,92164.96,-99.8,29.1,4.08,63.25,42.13,-22.34,-100.0,
"Abel Hall, LLC",,,,,,,,,,,,,,,,inf,23.65,-2.36,5.83,-34.24
Aberdeen Wealth Management LLC,,,,,,,,,,,,,,,,,,,inf,-100.0
Abich Financial Wealth Management LLC,,,,,,,,,,,,,,,,inf,-29.01,81.4,-27.35,-100.0
Able Wealth Management LLC,,,,,,,,,,,,,,,,inf,55.84,-100.0,,
Abound Wealth Management,,,,,,,,,inf,-100.0,inf,-42.29,43.27,-8.54,-12.66,46.06,-20.61,-14.46,18.15,-35.74
"Absolute Capital Management, LLC",,,,,,,,inf,-100.0,,inf,-100.0,,,,,,,,
Absolute Gestao de Investimentos Ltda.,,,,,,,,,,,,,,,,,,inf,12.05,-100.0
Abundance Wealth Counselors,,,,,inf,-100.0,,,,inf,-13.19,96.92,-14.29,-100.0,inf,50.9,21.86,-24.53,8.82,-18.6
Accel Wealth Management,,,,inf,18.72,37.69,-11.73,75.0,-24.95,-27.71,-16.67,79826.0,58.43,17.3,-16.79,42.09,24.7,-10.16,2.75,-27.46
Accordant Advisory Group Inc,,,,,,,,,,,,,,,,,inf,-100.0,,
Accredited Investors Inc.,,,,,,,,inf,-14.02,-100.0,,,inf,15.96,-9.33,49.72,19.84,-0.98,98.75,-62.32
"Accredited Wealth Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"Accretive Wealth Partners, LLC",,,,inf,-100.0,,,,,,,,,,,,,,,
"Accurate Wealth Management, LLC",,,,,,inf,-6.59,6.55,14.47,-100.0,inf,57001.73,57.26,-3.0,-12.85,33.19,14.55,21.66,-8.39,-25.2
Accuvest Global Advisors,,,,,,,,inf,91.69,-100.0,,,,,,,,,,
"Acorn Wealth Advisors, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"Acorns Advisers, LLC",,,,,,,,,,,,,,,,,inf,51.55,36.06,-0.21
"Acropolis Investment Management, LLC",,,,,,,inf,48.57,-16.35,-28.74,-18.55,103210.89,47.09,18.08,-13.2,15.35,52.28,21.63,101.1,-68.35
Activest Wealth Management,,,,,inf,150.0,-40.0,283.33,278.26,129.89,-100.0,,inf,96.82,-44.12,-100.0,inf,29.03,-2.44,48.48
Adalta Capital Management LLC,,,inf,35.25,-14.63,10.9,-1.97,23.5,-100.0,,,,,,,,,inf,1.15,-33.79
Adams Wealth Management,,inf,37.18,8.72,-8.02,27.73,7.8,45.02,-19.81,-11.28,1.54,152116.41,49.93,26.71,0.68,44.25,15.66,17.96,11.1,-3.63
Addison Advisors LLC,,,,,,,,inf,66.67,-66.67,20.0,-100.0,,,,,inf,-32.59,-49.42,-26.37
