FILINGMANAGER_NAME,AAPL,AMD,AMZN,ASML,CRM,GOOGL,META,MSFT,NVDA,PANW,PLTR,SHOP,SNOW,TSLA
ACCIDENT COMPENSATION CORP,0.5772135951270817,0.0,0.056766348517145765,0.0,0.0,0.0,0.0,0.3660200563557725,0.0,0.0,0.0,0.0,0.0,0.0
ACCOUNT MANAGEMENT LLC,0.0,0.0,0.038456856193571615,0.7838274225562802,0.02580421023416157,0.0,0.0,0.15185609043432333,0.0,0.0,0.0,0.0,5.5420581663254754e-05,0.0
"ACCREDITED INVESTOR SERVICES, LLC",0.41138568317511565,0.0,0.11670981392638538,0.0,0.0,0.0,0.0,0.18204047919673966,0.070009293383491,0.0,0.0,0.0,0.0,0.2198547303182683
"ACCURATE INVESTMENT SOLUTIONS, INC.",0.7160452729693741,0.0,0.0327896138482024,0.0,0.005825565912117177,0.0,0.0,0.2331890812250333,0.005992010652463382,0.0,0.0,0.004161118508655127,0.0,0.0019973368841544607
ACG Wealth,0.35001742896254967,0.004078300287558644,0.17349166372336505,0.0,0.046110955930502684,0.0,0.00801347531974259,0.23126886694814633,0.08634608148443974,0.053873577308029406,0.0009395480473790765,0.0023631056949231315,0.001125764777490245,0.042371231515873437
"ACIMA PRIVATE WEALTH, LLC",0.6732657472072391,0.0,0.050781000135151085,0.0,2.0805515428094942e-07,0.0,0.007656899728072683,0.2357502774396218,0.017798817924623483,0.0,0.0,0.014747049510137607,0.0,0.0
ACORN CREEK CAPITAL LLC,0.3110151981948861,0.07776277590102923,0.14055473031470248,0.0,0.020841372412423998,0.0,0.07711822921260131,0.1984043233151626,0.1245459551251751,0.0,0.0,0.0,0.0,0.04975741552401913
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,0.4408813672010351,0.012007828709119808,0.08803234830964045,0.0,0.041476558787244225,0.0,0.07566027278444132,0.11675781228624178,0.06428718799873795,0.031994872313966145,0.027998896862351994,0.05722564529666889,7.895974829431327e-06,0.043669313475722914
"ACR Alpine Capital Research, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACT Advisors, LLC.",0.356376343901089,0.0,0.08815417434907552,0.0,0.0,0.0,0.08499403505701753,0.31411569892899677,0.13591589901162596,0.0,0.0,0.0,0.0,0.020443848752195192
"ACT CAPITAL MANAGEMENT, LLC",0.0,0.0,0.17072001916856355,0.0,0.0,0.0,0.30226428657002513,0.0,0.5066490954834072,0.0,0.0,0.0,0.020366598778004074,0.0
"ACT Capital Management, LLC",0.0,0.0,0.48865248226950353,0.0,0.0,0.0,0.0,0.0,0.5113475177304965,0.0,0.0,0.0,0.0,0.0
"ACT Capital, L.L.C.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACT WEALTH MANAGEMENT, LLC",0.6658908654432185,0.0,0.02380817376818704,0.0,0.0,0.0,0.0,0.15403995740633716,0.03247086732157645,0.0,0.0,0.0,0.0,0.12379013606068082
ACTIAM N.V.,0.3835203134816964,0.0,0.1925482533648001,0.0,0.0,0.0,0.0,0.42393143315350346,0.0,0.0,0.0,0.0,0.0,0.0
"ACUTE INVESTMENT ADVISORY, LLC",0.7359225726712812,0.0,0.0,0.0,0.0,0.0,0.0,0.2640774273287187,0.0,0.0,0.0,0.0,0.0,0.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0.25308683820593314,0.018276103667839466,0.13754957529231468,0.0016704847470562323,0.022272141837170512,0.0,0.07978845113440303,0.24994053286550097,0.17042447252881424,0.006242878493177847,0.0025163577685490767,0.0005885957973219004,0.0007472072581736336,0.05689636040374528
ADAMCAPITAL Gestao de Recursos Ltda.,0.0,0.0,0.40818848708609956,0.0,0.0,0.0,0.132788419937452,0.45902309297644844,0.0,0.0,0.0,0.0,0.0,0.0
