FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"APPLIED RESEARCH INVESTMENTS, LLC",,,,,,,,inf,-85.33,-100.0,,,,,,,,,,
AR ASSET MANAGEMENT INC,,,,,,,,,,inf,7.4,-65.27,554.89,49.5,2.85,13.84,82.45,38.25,1.82,7.92
ARBOR CAPITAL MANAGEMENT INC /ADV,,,,,,,,inf,-100.0,,,,,inf,7.2,12.02,81.67,49.26,-5.33,-100.0
"ARBOR TRUST WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,54.09,0.0,54.67
ARCADIA INVESTMENT ADVISORS LLC,,,,,,inf,-100.0,,,,,,,,,,,,inf,14.55
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,44.64,-23.46,22.58,22.37,-48.39,4.17,42.0,322.54,3.0,320.39,154162.66,122.55,67.18,2.83,21.53,87.36,38.8,-2.72,8.78
ARDSLEY ADVISORY PARTNERS LP,,,,,,,,,,inf,16.23,66666.57,106.75,108.71,-48.59,-100.0,inf,81.39,-12.18,-29.83
ARGENT CAPITAL MANAGEMENT LLC,,66.42,51.45,5.08,-37.26,52.59,-25.82,42.96,-6.87,-66.53,-30.76,120294.17,90.07,49.71,2.99,-25.64,45.46,36.73,989.87,6.53
"ARGI Investment Services, LLC",,67.38,42.31,103.96,-45.89,62.53,12.91,43.99,-5.19,-44.71,-11.96,19.75,-100.0,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,inf,90.07,51.51,93.94,14.78,92.59,37.01,-1.06,10.92
"ARGUS INVESTORS' COUNSEL, INC.",,35.9,7.98,-19.5,-0.37,21.91,-38.45,21.49,-3.03,-41.33,-24.37,122417.01,71.34,18.89,-0.27,122.11,-45.25,85.81,-62.09,4.97
"ARK & TLK INVESTMENTS, LLC",,,,,,,,,,,,,,,,inf,94.57,53.75,8.1,15.14
ARK Investment Management LLC,,-45.14,106.18,101.9,126.83,-75.14,-96.99,-87.89,-9.18,70799.44,32.99,45454.72,50.52,8.7,-21.84,-25.0,-17.64,-14.56,-12.35,9.13
"ARMISTICE CAPITAL, LLC",,,,,,,,,,,,inf,-20.8,-8.63,2.14,27.21,13.74,19.49,36.1,-8.84
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,71.4,25.72,1.13,78.65,0.0,187.5,0.23,81.34
ARMSTRONG HENRY H ASSOCIATES INC,,,,,,,,,inf,-24.68,-100.0,inf,102.14,14.69,15.42,26.27,82.46,136.73,-43.22,10.58
"ARQ WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,283.9,4.13,5.47
ARROW FINANCIAL CORP,,25.33,17.02,-100.0,,,,,inf,6.98,-32.61,180.65,-100.0,,,,,,,
"ARS Investment Partners, LLC",,44.48,14.88,-3.03,3.62,50.41,-9.76,11.09,-47.02,5.43,-20.53,116086.09,84.0,-2.99,2.77,10.07,109.0,35.56,-13.65,13.77
"ARS Wealth Advisors Group, LLC",,,,,,,inf,64.97,-57.62,-4.37,65.22,56987.63,93.66,45.04,-0.53,10.09,80.9,94.48,-4.63,13.26
"ARS Wealth Advisors, LLC",,,,inf,50.27,20.73,-100.0,,,,,,,,,,,,,
"ARTHUR M. COHEN & ASSOCIATES, LLC",,147.73,163.49,12.03,18.57,70.52,6.2,42.74,-6.23,-48.4,-13.36,120415.29,86.01,42.63,1.77,21.6,93.02,47.51,-2.13,16.07
ARVEST TRUST CO N A,,,,,,,,,inf,27.05,-100.0,inf,205.36,188.27,-44.61,47.21,81.9,36.66,-100.0,
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",,84.71,23.03,-39.47,-5.62,96.31,25.14,29.04,-3.49,-56.51,-44.78,220097.49,44.53,57.42,89739.74,-99.89,90.41,27.34,1.83,21.13
"ASB Consultores, LLC",,,,,,,,inf,23.21,-58.7,-16.37,109760.49,65.58,18.47,7.47,-19.84,536.97,-6.94,-6.3,-100.0
ASHFORD CAPITAL MANAGEMENT INC,,,,,,,,,,,,,,,,,inf,-100.0,,
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,inf,23.49,41.06
"ASPIRIANT, LLC",,,,,,inf,40.74,76.64,-9.5,-7.82,-17.63,72123.31,104.98,37.24,17.26,27.76,103.93,4.83,11.06,18.22
ASSET MANAGEMENT CORP /IL/ /ADV,,,inf,-100.0,inf,182.12,-66.78,29.13,-42.35,-41.65,-21.67,111552.43,45.88,-100.0,,,,,,
ASSET PLANNING CORPORATION,,,,inf,-100.0,,,,,,,,,,,,inf,36.73,-9.89,5.56
ASSET PLANNING SERVICES INC /LA/ /ADV,,,,,,,,,,,inf,141.91,-5.95,52.86,2.92,12.5,82.28,34.54,-1.89,10.25
"ASSETMARK, INC",,117.67,44.19,4.87,-0.2,-5.1,-10.34,177.04,159.95,-31.89,-30.2,-100.0,,,inf,174.87,134.71,48.65,7.64,24.74
"ATALANTA SOSNOFF CAPITAL, LLC",,28.71,-1.78,-4.97,4.71,45.47,3.08,2.45,9.09,-52.88,-83.87,609183.74,-10.06,31.15,-23.08,28.86,59.98,26.96,-6.87,5.14
ATHENA CAPITAL ADVISORS LLC,,-100.0,,,,,,,,,,,,,,,,,,
"ATLANTIC FAMILY WEALTH, LLC",,,,,,,,,,,,,,,,,,,,inf
ATLAS CAPITAL ADVISORS INC.,,,,,,,,,,,,,,,,,,,,inf
ATLAS CAPITAL ADVISORS LLC,,inf,-100.0,inf,-1.73,39.94,-7.54,16.61,-19.68,37.12,-25.96,18.92,144.06,118.53,2.83,11.59,62.38,84.47,-31.38,-100.0
ATOMVEST Ltd,,,,,,,,,,,,,,inf,-71.47,-100.0,,,,
