ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001750086-25-000002,109172220,MICROSOFT CORP,COM,594918104,,10310846,24462,SH,,SOLE,,0,0,24462,microsoft corp,"HHM Wealth Advisors, LLC",31-DEC-2024,,2024-12-31
0001972750-25-000002,109277706,MICROSOFT CORP,COM,594918104,,59010,140,SH,,SOLE,,0,0,140,microsoft corp,MilWealth Group LLC,31-DEC-2024,,2024-12-31
0001080369-25-000002,109188774,MICROSOFT CORP,COM,594918104,,49305351,114584,SH,,SOLE,Henssler Financial,0,0,114584,microsoft corp,GW HENSSLER & ASSOCIATES LTD,31-DEC-2024,,2024-12-31
0001667731-25-000116,109115949,MICROSOFT CORP,COM,594918104,,7565925,17950,SH,,SOLE,,0,0,17950,microsoft corp,"Lynch Asset Management, Inc.",31-DEC-2024,,2024-12-31
0001667731-25-000117,109269249,MICROSOFT CORP,COM,594918104,,1122033,2662,SH,,SOLE,,0,0,2662,microsoft corp,"NavPoint Financial, Inc.",31-DEC-2024,,2024-12-31
0001951757-25-000124,109249314,MICROSOFT CORP,COM,594918104,,722872,1715,SH,,SOLE,,0,0,1715,microsoft corp,"GRAHAM CAPITAL WEALTH MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000125,109194552,MICROSOFT CORP,COM,594918104,,1262395,2995,SH,,SOLE,,0,0,2995,microsoft corp,"HFG Advisors, Inc.",31-DEC-2024,,2024-12-31
0001601348-25-000001,109186946,MICROSOFT CORP,COM,594918104,,7998655,18828,SH,,SOLE,,0,0,18828,microsoft corp,Riggs Asset Managment Co. Inc.,31-DEC-2024,,2024-12-31
0001085146-25-000478,109194453,MICROSOFT CORP,COM,594918104,BBG001S5TD05,6077926,14420,SH,,SOLE,,14420,0,0,microsoft corp,"Clay Northam Wealth Management, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000480,109267741,MICROSOFT CORP,COM,594918104,BBG001S5TD05,6073729,14410,SH,,SOLE,,14410,0,0,microsoft corp,"Columbus Macro, LLC",31-DEC-2024,,2024-12-31
0001085146-25-000481,109234172,MICROSOFT CORP,COM,594918104,BBG001S5TD05,257082,609,SH,,SOLE,,609,0,0,microsoft corp,"Grunden Financial Advisory, Inc.",31-DEC-2024,,2024-12-31
