ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED
0000019617-24-000671,108497799,APPLE INC,COMMON,037833100,,68126774,397287,SH,,SOLE,27.0,397287,0,0,JPMORGAN CHASE & CO,31-MAR-2024,
0000019617-24-000671,108497800,Apple Inc com,COMMON,037833100,,1089724124,6354818,SH,,SOLE,26.0,6313879,0,40939,JPMORGAN CHASE & CO,31-MAR-2024,
0000019617-24-000671,108520502,MAUI LD & PINEAPPLE INC,COMMON,577345101,,159786,7377,SH,,DFND,5.0,7377,0,0,JPMORGAN CHASE & CO,31-MAR-2024,
0000019617-24-000671,108520503,MAUI LD & PINEAPPLE INC,COMMON,577345101,,4072,188,SH,,DFND,6.0,188,0,0,JPMORGAN CHASE & CO,31-MAR-2024,
0000019617-24-000671,108520504,MAUI LD & PINEAPPLE INC,COMMON,577345101,,64049,2957,SH,,DFND,2.0,0,0,2957,JPMORGAN CHASE & CO,31-MAR-2024,
0002053050-25-000002,109389604,APPLE INC.,COM,037833100,,614487,4240,SH,,SOLE,,4240,0,0,LOUISBOURG INVESTMENTS INC.,31-MAR-2024,
0001214659-24-020386,108425646,APPLE INC,COM,037833100,,11963131,69764,SH,,SOLE,,0,0,69764,"Legacy Wealth Management, LLC / MS",31-MAR-2024,
0001214659-25-001060,108786906,APPLE INC,COM,037833100,,1475662,8605,SH,,SOLE,,0,0,8605,"LifePlan Investment Advisors, Inc.",31-MAR-2024,
0000950123-25-000946,109669256,APPLE INC,COM,037833100,,1482981,8246,SH,,SOLE,,0,0,8246,MMA ASSET MANAGEMENT LLC,31-MAR-2024,
0001420506-25-000417,110970767,APPLE INC,COM,037833100,,6873529,40084,SH,,SOLE,,0,0,40084,MSH Capital Advisors LLC,31-MAR-2024,
0001085146-25-001286,111284534,APPLE INC,COM,037833100,BBG001S5N8V8,7123910,41543,SH,,SOLE,,0,0,41543,"NFP Retirement, Inc.",31-MAR-2024,
0002044851-25-000002,109032729,APPLE INC,COM,037833100,,2827593,16489,SH,,SOLE,,0,0,0,Nabity-Jensen Investment Management Inc,31-MAR-2024,
0002010635-25-000002,109271977,APPLE INC,COM,037833100,BBG001S5N8V8,11514445,67147,SH,,SOLE,,0,0,67147,Northwest Financial Advisors,31-MAR-2024,
0002054264-25-000005,111836651,APPLE INC,COM,037833100,,1300282,7583,SH,,SOLE,,0,0,7583,Partners in Financial Planning,31-MAR-2024,
0001085146-24-006103,108462138,APPLE INC,COM,037833100,,1324825,7726,SH,,SOLE,,0,0,7726,"Penney Financial, LLC",31-MAR-2024,
0002056037-25-000002,110856089,APPLE INC,COM,037833100,,1114101,6497,SH,,SOLE,,0,0,6497,Prepared Retirement Institute LLC,31-MAR-2024,
0002048581-25-000002,111868878,APPLE INC,COM,037833100,,8305272,48433,SH,,SOLE,,0,0,48433,"REAP Financial Group, LLC",31-MAR-2024,
0001104659-25-015387,111813683,APPLE INC,COM,037833100,,833473396,4860470,SH,,OTR,"1,2",4860470,0,0,"Resona Asset Management Co.,Ltd.",31-MAR-2024,
0001104659-25-015387,111813684,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,,1363455,83239,SH,,OTR,"1,2",83239,0,0,"Resona Asset Management Co.,Ltd.",31-MAR-2024,
0001214659-24-020523,108440821,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,,173113,10569,SH,,SOLE,,0,0,10569,SMART Wealth LLC,31-MAR-2024,
0001214659-24-020523,108440822,APPLE INC,COM,037833100,,2370211,13822,SH,,SOLE,,0,0,13822,SMART Wealth LLC,31-MAR-2024,
0001951757-25-000254,111141768,APPLE INC,COM,037833100,,1010791,5895,SH,,SOLE,,0,0,5895,"STEPHEN J. GARRY & ASSOCIATES, LLC",31-MAR-2024,
