FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Persium Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
"Pinnacle Holdings, LLC",,,,inf,43.1,-100.0,inf,-100.0,inf,-13.35,0.0,-100.0,inf,-100.0,,,,,,
"Pinnacle Wealth Planning Services, Inc.",,-5.7,0.53,23.07,31.94,18.35,10.76,14.79,0.41,-15.07,-14.38,89294.27,19.86,23.65,8.99,7.62,5.79,25.04,-3.77,-100.0
Pointe Capital Management LLC,,21.98,3.36,8.38,20.66,17.12,6.47,8.7,-3.95,78.31,-61.43,-10.66,106002.94,19.08,9.32,14.6,10.2,20.69,-12.12,128.28
"Private Ocean, LLC",,18.41,-8.84,-100.0,inf,13.16,-100.0,,,,,,,,,,,,,
"RVW Wealth, LLC",,9.27,3.57,331.03,0.0,-100.0,,inf,-55.5,-18.89,-13.31,108503.03,-47.52,26.93,44.28,-24.2,-4.28,98.77,7.24,12.09
Raab & Moskowitz Asset Management LLC,,24.37,1.59,18.9,16.27,16.62,10.37,6.35,-4.69,-17.2,-14.14,-100.0,,,,,,,,
"Rather & Kittrell, Inc.",,,,,,,,inf,-100.0,,,,,,,,,,,
Richardson Capital Management LLC,,,,,,,,,,,,,,,,inf,69.85,32.56,-8.93,482.34
"Rock Point Advisors, LLC",,23.2,2.39,18.01,17.03,20.82,7.71,8.39,-10.27,9.21,-11.04,-2.75,18.62,102389.44,9.08,3.59,4.42,18.31,-10.71,10.47
Rockport Wealth LLC,,,,,,,,,,,,,,,,,inf,-100.0,,
"Rudd International, Inc.",,26.7,-100.0,,,,,,,,,,,,,,,,,
SAYBROOK CAPITAL /NC,,-21.56,4.44,18.94,17.52,19.55,6.61,8.4,-7.19,-20.99,-12.04,-7.13,18.61,14.99,7.16,6.21,7.19,7.52,84279.05,14.03
