,advanced_micro,amazon,apple,microsoft,palo_alto,salesforce,meta,google,Q
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06514071668365207
"Nicollet Investment Management, Inc.",0.0,0.4011945018992745,0.0,0.5988054981007254,0.0,0.0,0.0,0.0,0.05680416804222162
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"Old North State Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01194832859046463
PHILADELPHIA TRUST CO,0.0,0.0,0.543227785068336,0.456772214931664,0.0,0.0,0.0,0.0,0.08817974820498171
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0.44143149924145203,0.0,0.5585685007585479,0.0,0.0,0.0,0.0,0.05680416804222162
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.20495386185174191,0.4222072765766973,0.37283886157156076,0.0,0.0,0.0,0.0,0.07290830002657335
Pensionfund Sabic,0.0,0.0,0.5541675309029368,0.44583246909706314,0.0,0.0,0.0,0.0,0.08817974820498171
"Plotkin Financial Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"Reynders McVeigh Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.028615342778067782
S&CO INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.1923603980881857,0.42224397251356527,0.385395629398249,0.0,0.0,0.0,0.0,0.07290830002657335
SHIKIAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236540366975664
SILVERLAKE WEALTH MANAGEMENT LLC,0.0,0.0,0.4271472111951911,0.5728527888048089,0.0,0.0,0.0,0.0,0.02130637412433245
SIT INVESTMENT ASSOCIATES INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
SONATA CAPITAL GROUP INC,0.0,0.22472575582470591,0.3611058947289741,0.41416834944632,0.0,0.0,0.0,0.0,0.07290830002657335
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
STONERIDGE INVESTMENT PARTNERS LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
"Scott & Selber, Inc.",0.0,0.24061794511467166,0.0,0.4845043355893214,0.0,0.0,0.0,0.27487771929600685,0.05998398392876134
