,amazon,apple,microsoft,palo_alto,salesforce,meta,advanced_micro,google
Lester Murray Antman dba SimplyRich,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lipe & Dalton,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCDANIEL TERRY & CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MENLO ADVISORS LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOUNT VERNON ASSOCIATES INC /MD/,0.16961450265536326,0.5888567637681137,0.2415287335765231,0.0,0.0,0.0,0.0,0.0
MSH Capital Advisors LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mathes Company, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morton Capital Management LLC/CA,0.0,0.48396473280426805,0.516035267195732,0.0,0.0,0.0,0.0,0.0
NEVILLE RODIE & SHAW INC,0.0,0.7276482505884098,0.2723517494115902,0.0,0.0,0.0,0.0,0.0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.1350500682408513,0.46547711553390225,0.3994728162252464,0.0,0.0,0.0,0.0,0.0
NKCFO LLC,0.3685757767755898,0.30776538788384666,0.3236588353405635,0.0,0.0,0.0,0.0,0.0
NORTHSTAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nicollet Investment Management, Inc.",0.3809940582172897,0.0,0.6190059417827103,0.0,0.0,0.0,0.0,0.0
"Norman Fields, Gottscho Capital Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Old North State Wealth Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHILADELPHIA TRUST CO,0.0,0.5631409163789163,0.43685908362108367,0.0,0.0,0.0,0.0,0.0
"PHYSICIANS FINANCIAL SERVICES, INC.",0.42437012082753695,0.0,0.5756298791724631,0.0,0.0,0.0,0.0,0.0
PROFESSIONAL ADVISORY SERVICES INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.17588286347644216,0.4662070527570569,0.3579100837665009,0.0,0.0,0.0,0.0,0.0
