,microsoft,amazon,apple,palo_alto,salesforce,meta,advanced_micro,Q
"Reynders McVeigh Capital Management, LLC",0.36501588829115544,0.0,0.6349841117088445,0.0,0.0,0.0,0.0,0.12126233918438445
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.015415538189179512
S&CO INC,0.37327735814824,0.0,0.62672264185176,0.0,0.0,0.0,0.0,0.12126233918438445
SENTRY INVESTMENT MANAGEMENT LLC,0.17905570775713933,0.4720830511945255,0.3488612410483352,0.0,0.0,0.0,0.0,0.10584704488545565
SHIKIAR ASSET MANAGEMENT INC,0.5931581681813035,0.4068418318186965,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
SILVERLAKE WEALTH MANAGEMENT LLC,0.6077919926867973,0.0,0.39220800731320266,0.0,0.0,0.0,0.0,-0.04839976844369198
SIT INVESTMENT ASSOCIATES INC,0.4940180111682947,0.0,0.5059819888317053,0.0,0.0,0.0,0.0,0.12126233918438445
SONATA CAPITAL GROUP INC,0.41024744678044484,0.2117630910081016,0.3779894622114535,0.0,0.0,0.0,0.0,0.10584704488545565
STONEBRIDGE CAPITAL MANAGEMENT INC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
STONERIDGE INVESTMENT PARTNERS LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
"Scott & Selber, Inc.",0.7912582855265891,0.20874171447341094,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
South Dakota Investment Council,0.43172919045379893,0.18125347805810524,0.38701733148809586,0.0,0.0,0.0,0.0,0.10584704488545565
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06422099471510542
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
"State of Alaska, Department of Revenue",0.4122862148216575,0.1158894247682763,0.4718243604100662,0.0,0.0,0.0,0.0,0.10584704488545565
"Stephens Consulting, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.015415538189179512
Sutton Wealth Advisors Inc.,0.29060695799724784,0.0,0.7093930420027522,0.0,0.0,0.0,0.0,0.12126233918438445
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02230856894883959
THOMAS STORY & SON LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.3185601700728261,0.15568822199138393,0.5257516079357899,0.0,0.0,0.0,0.0,0.10584704488545565
TOWER BRIDGE ADVISORS,0.5654034863359507,0.0,0.4345965136640493,0.0,0.0,0.0,0.0,0.12126233918438445
TRAPHAGEN INVESTMENT ADVISORS LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
TRUST CO OF OKLAHOMA,0.4238578594564952,0.0,0.5761421405435049,0.0,0.0,0.0,0.0,0.12126233918438445
"TSFG, LLC",0.0,0.48830343740869714,0.5116965625913028,0.0,0.0,0.0,0.0,0.11122121171136233
Te Ahumairangi Investment Management Ltd,0.6568827114603799,0.0,0.3431172885396201,0.0,0.0,0.0,0.0,0.074971311445033
Thrivent Financial for Lutherans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Tower View Investment Management & Research LLC,0.7803935782961364,0.21960642170386363,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
Treasurer of the State of North Carolina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
"Ulland Investment Advisors, LLC",0.0,0.3975606933875822,0.6024393066124178,0.0,0.0,0.0,0.0,-0.01886205356900955
VALICENTI ADVISORY SERVICES INC,0.3233149138845732,0.2023905258161205,0.47429456029930633,0.0,0.0,0.0,0.0,0.10584704488545565
VALLEY NATIONAL ADVISERS INC,0.3904576228740853,0.0,0.6095423771259147,0.0,0.0,0.0,0.0,0.12126233918438445
Vestcor Inc,0.5622289042685072,0.0,0.4377710957314926,0.0,0.0,0.0,0.0,0.12126233918438445
"Vigilant Capital Management, LLC",0.3319632310492645,0.30704375315492755,0.3609930157958079,0.0,0.0,0.0,0.0,0.10584704488545565
"Violich Capital Management, Inc.",0.5226252855313034,0.0,0.47737471446869667,0.0,0.0,0.0,0.0,0.12126233918438445
"Vishria Bird Financial Group, LLC",0.33709074969553393,0.14869301189372489,0.5142162384107413,0.0,0.0,0.0,0.0,0.10584704488545565
WADE G W & INC,0.40789582654123,0.0,0.59210417345877,0.0,0.0,0.0,0.0,0.12126233918438445
WEDBUSH SECURITIES INC,0.2191917633388417,0.20325112505821144,0.5775571116029468,0.0,0.0,0.0,0.0,0.10584704488545565
WEST PACES ADVISORS INC.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
WESTWOOD MANAGEMENT CORP /IL/,0.7489715298562968,0.2510284701437033,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
WFA Asset Management Corp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.015415538189179512
"Wallington Asset Management, LLC",0.5455572767554211,0.0,0.4544427232445789,0.0,0.0,0.0,0.0,0.12126233918438445
"Wayfinding Financial, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08138399869820445
"Werlinich Asset Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11258266916537324
Wesleyan Assurance Society,0.6053948858674753,0.0,0.3946051141325247,0.0,0.0,0.0,0.0,0.12126233918438445
"Westbourne Investment Advisors, Inc.",0.707289883779418,0.0,0.0,0.0,0.0,0.29271011622058196,0.0,-0.121902141376519
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07501645628759807
