,advanced_micro,microsoft,apple,palo_alto,salesforce,amazon,meta
"Independent Solutions Wealth Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
JACOBS & CO/CA,0.0,0.5084820833267261,0.49151791667327394,0.0,0.0,0.0,0.0
"Jarislowsky, Fraser Ltd",0.0,1.0,0.0,0.0,0.0,0.0,0.0
King Wealth,0.0,0.6854733469333889,0.31452665306661115,0.0,0.0,0.0,0.0
LATHROP INVESTMENT MANAGEMENT CORP,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.4605372518808891,0.539462748119111,0.0,0.0,0.0,0.0
LVM CAPITAL MANAGEMENT LTD/MI,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lakehouse Capital Pty Ltd,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Legacy Wealth Management, LLC / MS",0.0,0.5234773252073067,0.4765226747926933,0.0,0.0,0.0,0.0
Lesa Sroufe & Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lester Murray Antman dba SimplyRich,0.0,0.4193341034623561,0.5806658965376438,0.0,0.0,0.0,0.0
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCDANIEL TERRY & CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MENLO ADVISORS LLC,0.0,0.585865615727674,0.414134384272326,0.0,0.0,0.0,0.0
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.32604958626318536,0.3900317378309965,0.0,0.0,0.28391867590581815,0.0
"Mathes Company, Inc.",0.0,0.0,0.5743910322701089,0.0,0.0,0.4256089677298911,0.0
Meridian Financial Partners LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NEVILLE RODIE & SHAW INC,0.0,0.3513733563574723,0.6486266436425276,0.0,0.0,0.0,0.0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.4154566268366168,0.38766507460973565,0.0,0.0,0.19687829855364755,0.0
NKCFO LLC,0.0,0.41738372440013244,0.30168501016988136,0.0,0.0,0.28093126542998614,0.0
