,advanced_micro,amazon,apple,microsoft,palo_alto,salesforce,meta,google
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.17755220513458728,0.4249444384892987,0.39750335637611406,0.0,0.0,0.0,0.0
NKCFO LLC,0.0,0.37519701107956405,0.25622834619426305,0.3685746427261729,0.0,0.0,0.0,0.0
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Nicollet Investment Management, Inc.",0.0,0.4011945018992745,0.0,0.5988054981007254,0.0,0.0,0.0,0.0
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Old North State Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PHILADELPHIA TRUST CO,0.0,0.0,0.543227785068336,0.456772214931664,0.0,0.0,0.0,0.0
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0.44143149924145203,0.0,0.5585685007585479,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.20495386185174191,0.4222072765766973,0.37283886157156076,0.0,0.0,0.0,0.0
Pensionfund Sabic,0.0,0.0,0.5541675309029368,0.44583246909706314,0.0,0.0,0.0,0.0
"Plotkin Financial Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Reynders McVeigh Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
S&CO INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.1923603980881857,0.42224397251356527,0.385395629398249,0.0,0.0,0.0,0.0
SHIKIAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SILVERLAKE WEALTH MANAGEMENT LLC,0.0,0.0,0.4271472111951911,0.5728527888048089,0.0,0.0,0.0,0.0
SIT INVESTMENT ASSOCIATES INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SONATA CAPITAL GROUP INC,0.0,0.22472575582470591,0.3611058947289741,0.41416834944632,0.0,0.0,0.0,0.0
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STONERIDGE INVESTMENT PARTNERS LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Scott & Selber, Inc.",0.0,0.24061794511467166,0.0,0.4845043355893214,0.0,0.0,0.0,0.27487771929600685
South Dakota Investment Council,0.0,0.21086847458064759,0.3809451247698775,0.408186400649475,0.0,0.0,0.0,0.0
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"State of Alaska, Department of Revenue",0.0,0.18309965339618833,0.4297045654698612,0.3871957811339504,0.0,0.0,0.0,0.0
Sutton Wealth Advisors Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.22670883503348246,0.3595841530151434,0.4137070119513742,0.0,0.0,0.0,0.0
THOMAS STORY & SON LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.16824258108310478,0.5175035428930501,0.31425387602384514,0.0,0.0,0.0,0.0
TOWER BRIDGE ADVISORS,0.0,0.0,0.4429526334689421,0.5570473665310579,0.0,0.0,0.0,0.0
TRUST CO OF OKLAHOMA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
