,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta,google
"Jarislowsky, Fraser Ltd",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
King Wealth,0.0,0.5471896487957181,0.0,0.45281035120428204,0.0,0.0,0.0,0.0
LATHROP INVESTMENT MANAGEMENT CORP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.3543738606636959,0.11762478026228704,0.528001359074017,0.0,0.0,0.0,0.0
LVM CAPITAL MANAGEMENT LTD/MI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakehouse Capital Pty Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Legacy Wealth Management, LLC / MS",0.0,0.45252156985196895,0.0,0.4095732214148859,0.13790520873314516,0.0,0.0,0.0
Lesa Sroufe & Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lester Murray Antman dba SimplyRich,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lipe & Dalton,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lumina Fund Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCDANIEL TERRY & CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MENLO ADVISORS LLC,0.0,0.46280620739793504,0.0,0.5371937926020649,0.0,0.0,0.0,0.0
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.27155210745113084,0.23561027858517394,0.49283761396369524,0.0,0.0,0.0,0.0
MSH Capital Advisors LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Mathes Company, Inc.",0.0,0.0,0.34809864667642626,0.6519013533235738,0.0,0.0,0.0,0.0
Meridian Financial Partners LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Morton Capital Management LLC/CA,0.0,0.5635355480038979,0.0,0.43646445199610207,0.0,0.0,0.0,0.0
NEVILLE RODIE & SHAW INC,0.0,0.31137733863221495,0.0,0.6886226613677852,0.0,0.0,0.0,0.0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.37798742995443085,0.18096029371635,0.4410522763292191,0.0,0.0,0.0,0.0
NKCFO LLC,0.0,0.33957982591367997,0.41174602359535917,0.2486741504909608,0.0,0.0,0.0,0.0
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Nicollet Investment Management, Inc.",0.0,0.5656436823093701,0.43435631769062977,0.0,0.0,0.0,0.0,0.0
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Old North State Wealth Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PHILADELPHIA TRUST CO,0.0,0.4454828070963599,0.0,0.5545171929036402,0.0,0.0,0.0,0.0
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0.5432060744318524,0.4567939255681475,0.0,0.0,0.0,0.0,0.0
