,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta,google,Q
"State of Alaska, Department of Revenue",0.0,0.4017607153196493,0.15311510723337873,0.445124177446972,0.0,0.0,0.0,0.0,0.06165697197284494
Sutton Wealth Advisors Inc.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0990486024378006
"TAGStone Capital, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0667539902427375
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.3962193161655049,0.24417884371859475,0.35960184011590035,0.0,0.0,0.0,0.0,0.06165697197284494
THOMAS STORY & SON LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0990486024378006
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.29546248273051295,0.177383489190141,0.5271540280793461,0.0,0.0,0.0,0.0,0.06165697197284494
TOWER BRIDGE ADVISORS,0.0,0.5558905664163181,0.0,0.44410943358368193,0.0,0.0,0.0,0.0,0.08045753012443671
TRUST CO OF OKLAHOMA,0.0,0.38629675746283854,0.0,0.6137032425371614,0.0,0.0,0.0,0.0,0.08045753012443671
"TSFG, LLC",0.0,0.0,0.368999017562766,0.6310009824372341,0.0,0.0,0.0,0.0,0.06155222905373099
Te Ahumairangi Investment Management Ltd,0.0,0.5905327112912391,0.0,0.4094672887087608,0.0,0.0,0.0,0.0,0.044521951668836296
Treasurer of the State of North Carolina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061866457811072834
Triple Frond Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.05312765732019855
"Ulland Investment Advisors, LLC",0.0,0.0,0.4399589114712759,0.5600410885287241,0.0,0.0,0.0,0.0,-0.03400099972302726
VALICENTI ADVISORY SERVICES INC,0.0,0.27375113502773984,0.34018781698538175,0.38606104798687846,0.0,0.0,0.0,0.0,0.06165697197284494
VALLEY NATIONAL ADVISERS INC,0.0,0.38264931579464706,0.0,0.6173506842053529,0.0,0.0,0.0,0.0,0.08045753012443671
Vestcor Inc,0.0,0.5011715088203206,0.0,0.4988284911796794,0.0,0.0,0.0,0.0,0.08045753012443671
"Vigilant Capital Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06165697197284494
"Violich Capital Management, Inc.",0.0,0.5296993006818447,0.0,0.4703006993181554,0.0,0.0,0.0,0.0,0.08045753012443671
"Vishria Bird Financial Group, LLC",0.0,0.28794150577851296,0.23420019218645202,0.4778583020350351,0.0,0.0,0.0,0.0,0.06165697197284494
WADE G W & INC,0.0,0.4073238658437819,0.0,0.5926761341562181,0.0,0.0,0.0,0.0,0.08045753012443671
WEDBUSH SECURITIES INC,0.0,0.21871350989285865,0.18807710994934576,0.5932093801577957,0.0,0.0,0.0,0.0,0.06165697197284494
WESTWOOD MANAGEMENT CORP /IL/,0.0,0.5756969619645067,0.4243030380354933,0.0,0.0,0.0,0.0,0.0,0.04296115674036711
WFA Asset Management Corp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0012480092033170243
"Wallington Asset Management, LLC",0.0,0.5773417620913879,0.0,0.4226582379086121,0.0,0.0,0.0,0.0,0.08045753012443671
"Wayfinding Financial, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019955238966893794
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0642147456911349
Wesleyan Assurance Society,0.0,0.6134121555390184,0.0,0.3865878444609815,0.0,0.0,0.0,0.0,0.08045753012443671
"Westbourne Investment Advisors, Inc.",0.0,0.36851460491866495,0.0,0.41753855168999604,0.0,0.0,0.21394684339133907,0.0,0.04535926840857554
"Whetstone Capital Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024055855669661386
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.022190813120785153
ZEVIN ASSET MANAGEMENT LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024055855669661386
