,advanced_micro,microsoft,apple,palo_alto,salesforce,amazon,meta,Q
DEROY & DEVEREAUX PRIVATE INVESTMENT COUNSEL INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Dixon Mitchell Investment Counsel Inc.,0.0,0.5909209549439595,0.4090790450560406,0.0,0.0,0.0,0.0,0.13209333871046375
E. Ohman J:or Asset Management AB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
EVERENCE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Endurance Wealth Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Erste Asset Management GmbH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
Estabrook Capital Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
FRONT BARNETT ASSOCIATES LLC,0.0,0.0,0.0,0.0,0.3349982346615692,0.6650017653384308,0.0,0.11257591933173322
Farmers & Merchants Trust Co of Chambersburg PA,0.0,0.6211718888298814,0.3788281111701186,0.0,0.0,0.0,0.0,0.13209333871046375
"First Fiduciary Investment Counsel, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Focus Financial Network, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Frisch Financial Group, Inc.",0.0,0.33822934404927507,0.6617706559507249,0.0,0.0,0.0,0.0,0.13209333871046375
Fruth Investment Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
GFI Investment Counsel Ltd.,0.0,0.4878243189325191,0.5121756810674809,0.0,0.0,0.0,0.0,0.13209333871046375
GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
Gifford Fong Associates,0.06824466959743893,0.32336363053287864,0.29847629439163836,0.0,0.0,0.3099154054780441,0.0,0.13226421203244565
"Glen Eagle Advisors, LLC",0.0,0.6200444916072042,0.3799555083927958,0.0,0.0,0.0,0.0,0.13209333871046375
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Grassi Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
Greenwich Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Gulf International Bank (UK) Ltd,0.0,0.709200480803321,0.0,0.0,0.0,0.29079951919667907,0.0,0.10453927881606329
HALL LAURIE J TRUSTEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"HANTZ FINANCIAL SERVICES, INC.",0.0,0.4723902619656237,0.5276097380343763,0.0,0.0,0.0,0.0,0.13209333871046375
HBW Advisory Services LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
HENDLEY & CO INC,0.0,0.4999495111466435,0.5000504888533565,0.0,0.0,0.0,0.0,0.13209333871046375
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.34455725744000953,0.30032943684665586,0.2368769838045926,0.11823632190874209,0.0,0.0,0.14984681054954288
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
